detector,params_M,placement,group,size,L_multistream
yolo11s,9.4,SizeAware+Oracle,large-rich,l,0.020800000000000013
yolo11s,9.4,SizeAware+Oracle,large-rich,m,0.0104
yolo11s,9.4,SizeAware+Oracle,large-rich,s,-4.99999999999997e-05
yolo11s,9.4,SizeBlindRev+Oracle,small-rich,l,0.005800000000000027
yolo11s,9.4,SizeBlindRev+Oracle,small-rich,m,0.006650000000000003
yolo11s,9.4,SizeBlindRev+Oracle,small-rich,s,0.00010000000000000113
yolov8l,43.7,SizeAware,large-rich,l,0.021600000000000008
yolov8l,43.7,SizeAware,large-rich,m,0.007800000000000008
yolov8l,43.7,SizeAware,large-rich,s,0.0014500000000000003
yolov8l,43.7,SizeBlindRev,small-rich,l,0.019449999999999967
yolov8l,43.7,SizeBlindRev,small-rich,m,0.009449999999999986
yolov8l,43.7,SizeBlindRev,small-rich,s,0.0007500000000000007
yolov8m,25.9,SizeAware,large-rich,l,0.018349999999999977
yolov8m,25.9,SizeAware,large-rich,m,0.0077000000000000055
yolov8m,25.9,SizeAware,large-rich,s,0.0002999999999999999
yolov8m,25.9,SizeBlindRev,small-rich,l,0.008099999999999996
yolov8m,25.9,SizeBlindRev,small-rich,m,0.0035499999999999837
yolov8m,25.9,SizeBlindRev,small-rich,s,-0.0004500000000000025
yolov8n,3.2,SizeAware,large-rich,l,0.01465000000000001
yolov8n,3.2,SizeAware,large-rich,m,0.0020499999999999997
yolov8n,3.2,SizeAware,large-rich,s,0.0
yolov8n,3.2,SizeBlindRev,small-rich,l,0.00495000000000001
yolov8n,3.2,SizeBlindRev,small-rich,m,0.0007999999999999952
yolov8n,3.2,SizeBlindRev,small-rich,s,-5.000000000000013e-05
yolov8s,11.2,SizeAware,large-rich,l,0.010249999999999995
yolov8s,11.2,SizeAware,large-rich,m,0.0010000000000000044
yolov8s,11.2,SizeAware,large-rich,s,-0.00014999999999999996
yolov8s,11.2,SizeBlindRev,small-rich,l,0.005549999999999999
yolov8s,11.2,SizeBlindRev,small-rich,m,0.002699999999999994
yolov8s,11.2,SizeBlindRev,small-rich,s,0.00010000000000000026
yolov8x,68.2,SizeAware,large-rich,l,0.033149999999999985
yolov8x,68.2,SizeAware,large-rich,m,0.01590000000000001
yolov8x,68.2,SizeAware,large-rich,s,0.0006999999999999992
yolov8x,68.2,SizeBlindRev,small-rich,l,0.021550000000000014
yolov8x,68.2,SizeBlindRev,small-rich,m,0.011800000000000005
yolov8x,68.2,SizeBlindRev,small-rich,s,0.0011499999999999982
