detector,params_M,placement,stream_idx,sid,group,size,N1_GPU_L1_sAP,N4_GPU_sAP,L_multistream
yolov8n,3.2,SizeAware,2,3,large-rich,s,0.0008,0.0008,0.0
yolov8n,3.2,SizeAware,2,3,large-rich,m,0.1151,0.1147,0.0003999999999999976
yolov8n,3.2,SizeAware,2,3,large-rich,l,0.3417,0.3157,0.026000000000000023
yolov8n,3.2,SizeAware,3,21,large-rich,s,0.0035,0.0035,0.0
yolov8n,3.2,SizeAware,3,21,large-rich,m,0.025,0.0213,0.003700000000000002
yolov8n,3.2,SizeAware,3,21,large-rich,l,0.1913,0.188,0.0032999999999999974
yolov8n,3.2,SizeBlindRev,0,2,small-rich,s,0.0046,0.0047,-0.00010000000000000026
yolov8n,3.2,SizeBlindRev,0,2,small-rich,m,0.121,0.119,0.0020000000000000018
yolov8n,3.2,SizeBlindRev,0,2,small-rich,l,0.5486,0.5395,0.009099999999999997
yolov8n,3.2,SizeBlindRev,1,22,small-rich,s,0.0002,0.0002,0.0
yolov8n,3.2,SizeBlindRev,1,22,small-rich,m,0.1328,0.1332,-0.00040000000000001146
yolov8n,3.2,SizeBlindRev,1,22,small-rich,l,0.6413,0.6405,0.0008000000000000229
yolov8s,11.2,SizeAware,2,3,large-rich,s,0.002,0.002,0.0
yolov8s,11.2,SizeAware,2,3,large-rich,m,0.2391,0.2397,-0.0005999999999999894
yolov8s,11.2,SizeAware,2,3,large-rich,l,0.3509,0.3346,0.01629999999999998
yolov8s,11.2,SizeAware,3,21,large-rich,s,0.0078,0.0081,-0.0002999999999999999
yolov8s,11.2,SizeAware,3,21,large-rich,m,0.0405,0.0379,0.002599999999999998
yolov8s,11.2,SizeAware,3,21,large-rich,l,0.2412,0.237,0.004200000000000009
yolov8s,11.2,SizeBlindRev,0,2,small-rich,s,0.0129,0.0128,9.99999999999994e-05
yolov8s,11.2,SizeBlindRev,0,2,small-rich,m,0.1651,0.1597,0.005399999999999988
yolov8s,11.2,SizeBlindRev,0,2,small-rich,l,0.5733,0.5661,0.007199999999999984
yolov8s,11.2,SizeBlindRev,1,22,small-rich,s,0.0137,0.0136,0.00010000000000000113
yolov8s,11.2,SizeBlindRev,1,22,small-rich,m,0.1988,0.1988,0.0
yolov8s,11.2,SizeBlindRev,1,22,small-rich,l,0.6897,0.6858,0.0039000000000000146
yolov8m,25.9,SizeAware,2,3,large-rich,s,0.0041,0.0039,0.00020000000000000052
yolov8m,25.9,SizeAware,2,3,large-rich,m,0.3499,0.3434,0.006500000000000006
yolov8m,25.9,SizeAware,2,3,large-rich,l,0.3598,0.3296,0.030200000000000005
yolov8m,25.9,SizeAware,3,21,large-rich,s,0.0138,0.0134,0.0003999999999999993
