detector,group,size,onset_bg,L_at_onset,threshold
yolo11s,large-rich,small,L3_vlm,0.0076625,0.005
yolo11s,large-rich,medium,L2_lm,0.01645,0.005
yolo11s,large-rich,large,L1_light,-0.01058749999999999,0.005
yolo11s,medium-mixed,small,L3_vlm,0.0110625,0.005
yolo11s,medium-mixed,medium,L2_lm,0.024100000000000007,0.005
yolo11s,medium-mixed,large,L2_lm,0.069225,0.005
yolo11s,small-rich,small,L3_vlm,0.0116875,0.005
yolo11s,small-rich,medium,L2_lm,0.027250000000000003,0.005
yolo11s,small-rich,large,L2_lm,0.0596125,0.005
yolov8l,large-rich,small,L3_vlm,0.0189875,0.005
yolov8l,large-rich,medium,L2_lm,0.04792500000000001,0.005
yolov8l,large-rich,large,L1_heavy,0.010374999999999981,0.005
yolov8l,medium-mixed,small,L2_lm,0.0078125,0.005
yolov8l,medium-mixed,medium,L2_lm,0.06185,0.005
yolov8l,medium-mixed,large,L1_heavy,0.012612499999999992,0.005
yolov8l,small-rich,small,L2_lm,0.0072,0.005
yolov8l,small-rich,medium,L1_heavy,0.010700000000000001,0.005
yolov8l,small-rich,large,L1_heavy,0.011137500000000002,0.005
yolov8m,large-rich,small,L3_vlm,0.014487500000000002,0.005
yolov8m,large-rich,medium,L2_lm,0.03761249999999999,0.005
yolov8m,large-rich,large,L2_lm,0.077825,0.005
yolov8m,medium-mixed,small,L2_lm,0.0060374999999999995,0.005
yolov8m,medium-mixed,medium,L2_lm,0.050875,0.005
yolov8m,medium-mixed,large,L1_heavy,0.005075000000000024,0.005
yolov8m,small-rich,small,L2_lm,0.005025000000000001,0.005
yolov8m,small-rich,medium,L2_lm,0.053737499999999994,0.005
yolov8m,small-rich,large,L1_heavy,0.005174999999999992,0.005
yolov8n,large-rich,small,,,0.005
yolov8n,large-rich,medium,L3_vlm,0.0718375,0.005
yolov8n,large-rich,large,L2_lm,0.013312499999999991,0.005
yolov8n,medium-mixed,small,,,0.005
yolov8n,medium-mixed,medium,L2_lm,0.006437499999999999,0.005
yolov8n,medium-mixed,large,L2_lm,0.028375000000000004,0.005
yolov8n,small-rich,small,,,0.005
yolov8n,small-rich,medium,L2_lm,0.005649999999999995,0.005
yolov8n,small-rich,large,L2_lm,0.024775000000000002,0.005
yolov8s,large-rich,small,L3_vlm,0.01005,0.005
yolov8s,large-rich,medium,L2_lm,0.011562500000000003,0.005
yolov8s,large-rich,large,L2_lm,0.03310000000000001,0.005
yolov8s,medium-mixed,small,L3_vlm,0.010374999999999999,0.005
yolov8s,medium-mixed,medium,L2_lm,0.018287499999999998,0.005
yolov8s,medium-mixed,large,L2_lm,0.05068749999999999,0.005
yolov8s,small-rich,small,L3_vlm,0.009899999999999999,0.005
yolov8s,small-rich,medium,L2_lm,0.01672500000000001,0.005
yolov8s,small-rich,large,L2_lm,0.0524625,0.005
yolov8x,large-rich,small,L3_vlm,0.024249999999999997,0.005
yolov8x,large-rich,medium,L1_heavy,0.007087500000000002,0.005
yolov8x,large-rich,large,L1_heavy,0.011925000000000012,0.005
yolov8x,medium-mixed,small,L2_lm,0.00955,0.005
yolov8x,medium-mixed,medium,L1_heavy,0.006537500000000003,0.005
yolov8x,medium-mixed,large,L1_heavy,0.021174999999999986,0.005
yolov8x,small-rich,small,L2_lm,0.009099999999999999,0.005
yolov8x,small-rich,medium,L1_heavy,0.006687499999999992,0.005
yolov8x,small-rich,large,L1_heavy,0.016712499999999998,0.005
