detector,params_M,group,bg_level,L_small,L_medium,L_large
yolov8n,3.2,small-rich,L1_light,0.0,2.499999999999898e-05,0.0
yolov8n,3.2,small-rich,L1_heavy,0.0,7.499999999999868e-05,0.0009124999999999897
yolov8n,3.2,small-rich,L2_lm,0.00021249999999999974,0.005649999999999995,0.024775000000000002
yolov8n,3.2,small-rich,L3_vlm,0.0040999999999999995,0.07743749999999999,0.34158750000000004
yolov8n,3.2,medium-mixed,L1_light,0.0,0.0,1.2500000000005562e-05
yolov8n,3.2,medium-mixed,L1_heavy,1.2499999999999924e-05,0.00012500000000000185,0.00028750000000000303
yolov8n,3.2,medium-mixed,L2_lm,0.00015000000000000012,0.006437499999999999,0.028375000000000004
yolov8n,3.2,medium-mixed,L3_vlm,0.0037,0.0743625,0.29657500000000003
yolov8n,3.2,large-rich,L1_light,0.0,0.0,4.999999999999449e-05
yolov8n,3.2,large-rich,L1_heavy,0.0,2.499999999999898e-05,0.0001999999999999988
yolov8n,3.2,large-rich,L2_lm,7.500000000000005e-05,0.004100000000000003,0.013312499999999991
yolov8n,3.2,large-rich,L3_vlm,0.002175,0.0718375,0.2762
yolov8s,11.2,small-rich,L1_light,0.0,6.250000000000006e-05,6.250000000000006e-05
yolov8s,11.2,small-rich,L1_heavy,-1.2499999999999924e-05,0.00037500000000000207,0.0003374999999999975
yolov8s,11.2,small-rich,L2_lm,0.0010249999999999997,0.01672500000000001,0.0524625
yolov8s,11.2,small-rich,L3_vlm,0.009899999999999999,0.1556375,0.3999625
yolov8s,11.2,medium-mixed,L1_light,-1.2499999999999979e-05,1.2499999999996889e-05,1.2500000000005562e-05
yolov8s,11.2,medium-mixed,L1_heavy,3.749999999999977e-05,0.00011249999999999628,0.001337499999999988
yolov8s,11.2,medium-mixed,L2_lm,0.0011375,0.018287499999999998,0.05068749999999999
yolov8s,11.2,medium-mixed,L3_vlm,0.010374999999999999,0.11902500000000002,0.33787500000000004
yolov8s,11.2,large-rich,L1_light,0.0,2.5000000000000716e-05,1.2500000000002093e-05
yolov8s,11.2,large-rich,L1_heavy,-3.749999999999999e-05,0.0005999999999999998,7.500000000000909e-05
yolov8s,11.2,large-rich,L2_lm,0.00020000000000000012,0.011562500000000003,0.03310000000000001
yolov8s,11.2,large-rich,L3_vlm,0.01005,0.11529999999999999,0.31184999999999996
yolov8m,25.9,small-rich,L1_light,0.0,3.749999999999934e-05,6.249999999999312e-05
yolov8m,25.9,small-rich,L1_heavy,9.999999999999961e-05,0.0012125000000000018,0.005174999999999992
yolov8m,25.9,small-rich,L2_lm,0.005025000000000001,0.053737499999999994,0.10771249999999999
yolov8m,25.9,small-rich,L3_vlm,0.021025000000000002,0.2119125,0.4399375
yolov8m,25.9,medium-mixed,L1_light,0.0,4.999999999999796e-05,0.00045000000000001983
yolov8m,25.9,medium-mixed,L1_heavy,0.00023750000000000008,0.0014124999999999954,0.005075000000000024
yolov8m,25.9,medium-mixed,L2_lm,0.0060374999999999995,0.050875,0.13587500000000002
yolov8m,25.9,medium-mixed,L3_vlm,0.0205,0.15439999999999998,0.4005
yolov8m,25.9,large-rich,L1_light,2.499999999999985e-05,0.00017500000000000154,0.00019999999999999185
yolov8m,25.9,large-rich,L1_heavy,0.00010000000000000113,0.0004000000000000002,0.0014375000000000013
yolov8m,25.9,large-rich,L2_lm,0.0023875000000000007,0.03761249999999999,0.077825
yolov8m,25.9,large-rich,L3_vlm,0.014487500000000002,0.1547125,0.3581
yolov8l,43.7,small-rich,L1_light,4.99999999999997e-05,0.00011250000000000149,0.00018750000000000017
yolov8l,43.7,small-rich,L1_heavy,0.0003125000000000003,0.010700000000000001,0.011137500000000002
yolov8l,43.7,small-rich,L2_lm,0.0072,0.0629875,0.1166875
yolov8l,43.7,small-rich,L3_vlm,0.025599999999999998,0.21105000000000002,0.432925
yolov8l,43.7,medium-mixed,L1_light,0.0,0.00010000000000000113,0.000387499999999992
yolov8l,43.7,medium-mixed,L1_heavy,0.0003500000000000009,0.004337499999999999,0.012612499999999992
yolov8l,43.7,medium-mixed,L2_lm,0.0078125,0.06185,0.16269999999999998
yolov8l,43.7,medium-mixed,L3_vlm,0.025575,0.172325,0.45268749999999996
yolov8l,43.7,large-rich,L1_light,0.0,0.00012500000000000878,0.0005624999999999866
yolov8l,43.7,large-rich,L1_heavy,0.00048749999999999954,0.0038250000000000124,0.010374999999999981
yolov8l,43.7,large-rich,L2_lm,0.00345,0.04792500000000001,0.10059999999999998
yolov8l,43.7,large-rich,L3_vlm,0.0189875,0.168225,0.3897999999999999
yolov8x,68.2,small-rich,L1_light,0.0,0.00016249999999999598,0.0002124999999999974
yolov8x,68.2,small-rich,L1_heavy,0.0011749999999999998,0.006687499999999992,0.016712499999999998
yolov8x,68.2,small-rich,L2_lm,0.009099999999999999,0.06139999999999999,0.11913750000000001
yolov8x,68.2,small-rich,L3_vlm,0.028187499999999997,0.24138749999999998,0.448975
yolov8x,68.2,medium-mixed,L1_light,2.499999999999985e-05,0.00011250000000000149,0.0006874999999999937
yolov8x,68.2,medium-mixed,L1_heavy,0.0008750000000000003,0.006537500000000003,0.021174999999999986
yolov8x,68.2,medium-mixed,L2_lm,0.00955,0.0639125,0.15912500000000002
yolov8x,68.2,medium-mixed,L3_vlm,0.030675,0.17621250000000002,0.44665
yolov8x,68.2,large-rich,L1_light,-1.2499999999999924e-05,9.999999999999593e-05,0.0008000000000000021
yolov8x,68.2,large-rich,L1_heavy,0.0009999999999999985,0.007087500000000002,0.011925000000000012
yolov8x,68.2,large-rich,L2_lm,0.0046375,0.046212500000000004,0.09650000000000002
yolov8x,68.2,large-rich,L3_vlm,0.024249999999999997,0.179325,0.39305
yolo11s,9.4,small-rich,L1_light,-0.0007999999999999998,0.0035125,-0.0006000000000000102
yolo11s,9.4,small-rich,L1_heavy,-0.0007499999999999999,0.0035375000000000024,-0.0020750000000000143
yolo11s,9.4,small-rich,L2_lm,0.0005374999999999999,0.027250000000000003,0.0596125
yolo11s,9.4,small-rich,L3_vlm,0.0116875,0.189425,0.3992375
yolo11s,9.4,medium-mixed,L1_light,-0.00011249999999999964,0.002375000000000009,0.00267499999999999
yolo11s,9.4,medium-mixed,L1_heavy,-0.00021249999999999926,0.0023125000000000073,0.0022625000000000076
yolo11s,9.4,medium-mixed,L2_lm,0.0011250000000000006,0.024100000000000007,0.069225
yolo11s,9.4,medium-mixed,L3_vlm,0.0110625,0.12491250000000001,0.35226250000000003
yolo11s,9.4,large-rich,L1_light,-0.0006000000000000005,-0.0020374999999999968,-0.01058749999999999
yolo11s,9.4,large-rich,L1_heavy,-0.0005875000000000006,-0.0026750000000000038,-0.009225000000000011
yolo11s,9.4,large-rich,L2_lm,0.0001750000000000005,0.01645,0.031450000000000006
yolo11s,9.4,large-rich,L3_vlm,0.0076625,0.11557499999999998,0.3188875
