detector,tag,path,sha256,size_bytes,mtime
yolo11s,hf_cache,/home/msyu/.cache/huggingface/hub/models--mobilint--YOLO11s/snapshots/8e62b1a90172d70b9292afbc883fdade8de0df24/aries/yolo11s.mxq,b2441f9da7ec7dd65100b9cd36475834f605f37b7c341f6d5ee5963aacb77cd8,11871629,1779874221.375342
yolo11s,model_zoo:global8,/home/msyu/.mblt_model_zoo/vision/aries/global8/yolo11s.mxq,4ff08b089d4ced5c6570ef0e1faddffe9e77f728361c858145edaf920d4c878b,10674203,1780363579.3978388
yolo11s,model_zoo:single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11s.mxq,3ade8e507e51a77128e9303fba1498031aaab2416201474b73a83d9184f882fc,10256747,1780365934.730269
yolo11s,legacy,models/mobilint_backup/yolo11s.mxq,b2441f9da7ec7dd65100b9cd36475834f605f37b7c341f6d5ee5963aacb77cd8,11871629,1779874221.3883421
yolo11m,model_zoo:global8,/home/msyu/.mblt_model_zoo/vision/aries/global8/yolo11m.mxq,c6c50bb7160bb42343fa870f5b18c79faadb46f0aa4c678fd17e102fb4b466e6,21515951,1779790206.6075048
yolo11m,model_zoo:single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b7fab602f3dd132537942a2e62e6c1311729d7f8fdf40254e90161530,20904043,1780368552.175516
yolo11l,model_zoo:global8,/home/msyu/.mblt_model_zoo/vision/aries/global8/yolo11l.mxq,4f3f1cf3e083bf682787b98e0b23e239677c56321b865850193d8032b8ab5abd,27399451,1780363415.0128603
yolo11l,model_zoo:single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,471971b3086946b53be6f2a091b9969770501b4ee53251d7b7afcd7a1b01dd6f,26556711,1780371386.4882944
yolo11x,model_zoo:global8,/home/msyu/.mblt_model_zoo/vision/aries/global8/yolo11x.mxq,c8250b5137caca7ff2119183b8c5ae2e3c9df6e0fca857f1d7e65f244c1fc6aa,61503271,1780363420.612897
yolo11x,model_zoo:single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,11ccf20f18439799420aa29fd0537e4cb5a69f85d53cbb61db1738fa947fb46a,60430415,1780374328.9979727
