detector,sid,log_id,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
YOLOv11s,0,00c561b9-2057-358d-82c6-5b06d76cebcf,GPU,L1_heavy,0.0674,0.1164,0.0178,0.1352,0.4473,0.0822,0.0204,0.1555,0.559,21.0943,21.2356,1.4977,19.0882
YOLOv11s,0,00c561b9-2057-358d-82c6-5b06d76cebcf,GPU,L2_lm,0.0592,0.1125,0.0141,0.1206,0.3968,0.0823,0.0204,0.155,0.5601,30.169,30.199,29.3441,27.1814
YOLOv11s,0,00c561b9-2057-358d-82c6-5b06d76cebcf,GPU,L3_vlm,0.0031,0.0109,0.0009,0.0012,0.0337,0.0092,0.0029,0.0184,0.047,460.921,464.9237,100.0,30.2222
YOLOv11s,1,033669d3-3d6b-3d3d-bd93-7985d86653ea,GPU,L1_heavy,0.0736,0.1543,0.0033,0.084,0.2529,0.107,0.0033,0.1086,0.4311,20.8577,20.828,0.9185,18.7838
YOLOv11s,1,033669d3-3d6b-3d3d-bd93-7985d86653ea,GPU,L2_lm,0.0633,0.1343,0.0031,0.0755,0.207,0.107,0.0033,0.1086,0.4305,29.951,29.9324,26.5589,26.8623
YOLOv11s,1,033669d3-3d6b-3d3d-bd93-7985d86653ea,GPU,L3_vlm,0.0023,0.0106,0.001,0.0034,0.0045,0.0116,0.0012,0.0129,0.0369,398.868,432.9874,100.0,30.7444
YOLOv11s,2,1d676737-4110-3f7e-bec0-0c90f74c248f,GPU,L1_heavy,0.1208,0.1896,0.0164,0.1736,0.5772,0.1492,0.0182,0.2557,0.7927,21.4027,21.3928,1.139,10.0426
YOLOv11s,2,1d676737-4110-3f7e-bec0-0c90f74c248f,GPU,L2_lm,0.1013,0.1594,0.015,0.1234,0.4486,0.1478,0.0179,0.2541,0.7858,31.9665,32.0034,40.4598,14.8911
YOLOv11s,2,1d676737-4110-3f7e-bec0-0c90f74c248f,GPU,L3_vlm,0.0188,0.0509,0.0031,0.0145,0.0924,0.0149,0.0039,0.0219,0.0674,376.9021,437.871,100.0,15.7646
YOLOv11s,3,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,GPU,L1_heavy,0.1551,0.3729,0.0034,0.256,0.3345,0.3315,0.005,0.3534,0.5203,21.0483,21.2902,0.6742,10.122
YOLOv11s,3,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,GPU,L2_lm,0.1241,0.3086,0.0022,0.2209,0.2554,0.3278,0.005,0.3498,0.516,31.2381,31.2933,34.4671,14.7652
YOLOv11s,3,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,GPU,L3_vlm,0.0138,0.0524,0.0002,0.03,0.0161,0.0321,0.0006,0.0371,0.0648,475.0316,479.0184,100.0,16.2878
YOLOv11s,4,33737504-3373-3373-3373-633738571776,GPU,L1_heavy,0.2134,0.2832,0.0,0.1327,0.5322,0.2133,0.0,0.1327,0.5324,21.226,21.1824,0.7812,14.2052
YOLOv11s,4,33737504-3373-3373-3373-633738571776,GPU,L2_lm,0.2131,0.2831,0.0,0.1312,0.5317,0.2129,0.0,0.1322,0.5318,30.8093,30.7976,34.7418,20.6242
YOLOv11s,4,33737504-3373-3373-3373-633738571776,GPU,L3_vlm,0.2272,0.313,0.0,0.1295,0.5547,0.0199,0.0,0.0122,0.0459,427.0781,454.8845,100.0,22.7459
YOLOv11s,5,39556000-3955-3955-3955-039557148672,GPU,L1_heavy,0.4342,0.5272,0.0179,0.2175,0.5946,0.4607,0.019,0.231,0.6421,20.978,20.8755,1.699,9.2355
YOLOv11s,5,39556000-3955-3955-3955-039557148672,GPU,L2_lm,0.4104,0.5231,0.0157,0.2046,0.5567,0.4576,0.019,0.2295,0.6375,31.8006,31.6982,36.3415,13.9634
YOLOv11s,5,39556000-3955-3955-3955-039557148672,GPU,L3_vlm,0.03,0.117,0.0012,0.0286,0.0368,0.0393,0.0038,0.0201,0.0566,690.485,469.6036,100.0,15.498
YOLOv11s,6,5ab2697b-6e3e-3454-a36a-aba2c6f27818,GPU,L1_heavy,0.0953,0.1803,0.0113,0.0825,0.3378,0.1493,0.0139,0.1396,0.5766,21.0664,21.0342,2.0501,9.8743
YOLOv11s,6,5ab2697b-6e3e-3454-a36a-aba2c6f27818,GPU,L2_lm,0.0785,0.1565,0.0103,0.0682,0.2647,0.1484,0.0139,0.1385,0.5722,30.4036,30.4852,28.5057,14.1982
YOLOv11s,6,5ab2697b-6e3e-3454-a36a-aba2c6f27818,GPU,L3_vlm,0.0045,0.0162,0.0008,0.0036,0.0127,0.0151,0.0028,0.0144,0.0458,478.6396,436.6255,100.0,15.7197
YOLOv11s,7,5f317f5f-3ce9-355b-acf9-386a8c682252,GPU,L1_heavy,0.2214,0.3798,0.0005,0.1776,0.4117,0.2845,0.0035,0.2164,0.5623,21.1109,21.1133,0.6849,9.891
YOLOv11s,7,5f317f5f-3ce9-355b-acf9-386a8c682252,GPU,L2_lm,0.1849,0.3474,0.0005,0.1487,0.3411,0.2801,0.0035,0.2143,0.5535,31.7982,31.7356,36.4896,14.7224
YOLOv11s,7,5f317f5f-3ce9-355b-acf9-386a8c682252,GPU,L3_vlm,0.0141,0.0477,0.0,0.0123,0.0253,0.0256,0.0,0.0177,0.0519,389.0822,479.9447,100.0,15.8393
YOLOv11s,8,64724064-6472-6472-6472-764725145600,GPU,L1_heavy,0.1012,0.1778,0.0089,0.1518,0.4317,0.1269,0.0121,0.1874,0.5863,21.4245,21.3923,0.9302,19.0565
YOLOv11s,8,64724064-6472-6472-6472-764725145600,GPU,L2_lm,0.0821,0.1607,0.0078,0.1201,0.3301,0.125,0.0107,0.1869,0.5796,32.2346,32.1689,39.4582,28.3131
YOLOv11s,8,64724064-6472-6472-6472-764725145600,GPU,L3_vlm,0.0024,0.0096,0.0009,0.0011,0.0111,0.0122,0.0023,0.0168,0.0406,425.3246,430.4331,97.5,30.1326
YOLOv11s,9,6db21fda-80cd-3f85-b4a7-0aadeb14724d,GPU,L1_heavy,0.1129,0.1734,0.0044,0.1275,0.2346,0.1443,0.0063,0.1889,0.3525,21.3197,21.4029,1.1164,14.0744
YOLOv11s,9,6db21fda-80cd-3f85-b4a7-0aadeb14724d,GPU,L2_lm,0.0956,0.1568,0.0036,0.0896,0.1987,0.1426,0.0063,0.1863,0.3504,31.5887,31.598,37.76,20.7395
YOLOv11s,9,6db21fda-80cd-3f85-b4a7-0aadeb14724d,GPU,L3_vlm,0.0053,0.023,0.0005,0.0036,0.0099,0.0149,0.0016,0.0194,0.0367,498.1673,468.3983,100.0,22.4847
YOLOv11s,10,70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,GPU,L1_heavy,0.1535,0.2741,0.023,0.142,0.334,0.2113,0.028,0.2429,0.4881,20.8961,20.8522,0.4587,9.726
YOLOv11s,10,70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,GPU,L2_lm,0.1338,0.2519,0.021,0.1148,0.2841,0.2113,0.028,0.2429,0.4881,30.0018,30.0331,27.7523,14.0127
YOLOv11s,10,70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,GPU,L3_vlm,0.0077,0.0339,0.0012,0.0036,0.0155,0.0227,0.0042,0.0239,0.0439,457.3941,421.4107,100.0,16.0148
