detector,params_M,group,sap_npu_g,Cstar_ms
yolov8n,3.2,small-rich,0.1059625,149.111383019638
yolov8n,3.2,medium-mixed,0.06746250000000001,152.04983877215548
yolov8n,3.2,large-rich,0.140825,122.47318939925543
yolov8s,11.2,small-rich,0.15805,112.30697006935759
yolov8s,11.2,medium-mixed,0.096125,135.03417971566262
yolov8s,11.2,large-rich,0.16828749999999998,125.22296547468179
yolov8m,25.9,small-rich,0.1712,141.72438160691487
yolov8m,25.9,medium-mixed,0.10245,149.75600038752248
yolov8m,25.9,large-rich,0.201275,113.97410520141872
yolov8l,43.7,small-rich,0.17570000000000002,143.56392235252977
yolov8l,43.7,medium-mixed,0.10086250000000001,178.65145388548063
yolov8l,43.7,large-rich,0.2037625,139.0446340351369
yolov8x,68.2,small-rich,0.16897500000000001,217.56052194690392
yolov8x,68.2,medium-mixed,0.0930125,231.22131548205968
yolov8x,68.2,large-rich,0.18560000000000001,204.62382959916744
yolo11s,9.4,small-rich,0.20584999999999998,21.257446495623135
yolo11s,9.4,medium-mixed,0.1266,30.01797337146788
yolo11s,9.4,large-rich,0.21357500000000001,40.37595762515531
