group,bg,C_ms,sap_npu_g,sap_gpu_g,delta_g
small-rich,L0,7.95,0.2058,0.2112,-0.0054
small-rich,L1_light,18.46,0.2058,0.2066,-0.0007
small-rich,L1_heavy,21.06,0.2058,0.2062,-0.0004
small-rich,L2_lm,31.12,0.2058,0.1881,0.0177
small-rich,L3_vlm,449.42,0.2058,0.0625,0.1434
medium-mixed,L0,7.95,0.1266,0.1404,-0.0139
medium-mixed,L1_light,18.46,0.1266,0.1412,-0.0146
medium-mixed,L1_heavy,21.06,0.1266,0.1414,-0.0148
medium-mixed,L2_lm,31.12,0.1266,0.1248,0.0018
medium-mixed,L3_vlm,449.42,0.1266,0.0306,0.096
large-rich,L0,7.95,0.2136,0.2274,-0.0138
large-rich,L1_light,18.46,0.2136,0.2375,-0.0239
large-rich,L1_heavy,21.06,0.2136,0.2381,-0.0246
large-rich,L2_lm,31.12,0.2136,0.217,-0.0034
large-rich,L3_vlm,449.42,0.2136,0.0628,0.1508
