detector,params_M,family,group,sap_npu_g,Cstar_ms
yolo11s,9.4,YOLO11,small-rich,0.1770625,67.82180504061348
yolo11s,9.4,YOLO11,medium-mixed,0.10181249999999999,115.79574092091343
yolo11s,9.4,YOLO11,large-rich,0.194175,88.5736966761729
yolo11m,20.1,YOLO11,small-rich,0.19768750000000002,54.42475889561065
yolo11m,20.1,YOLO11,medium-mixed,0.12003749999999999,97.62403454733499
yolo11m,20.1,YOLO11,large-rich,0.2154375,72.62964808196472
yolo11l,25.3,YOLO11,small-rich,0.197275,73.57605298738008
yolo11l,25.3,YOLO11,medium-mixed,0.1194875,88.03478668791163
yolo11l,25.3,YOLO11,large-rich,0.22752499999999998,89.28241551292535
yolo11x,56.9,YOLO11,small-rich,0.1908375,138.96296418488757
yolo11x,56.9,YOLO11,medium-mixed,0.1213875,133.77970509957348
yolo11x,56.9,YOLO11,large-rich,0.2325375,107.37088327649812
yolov8n,3.2,YOLOv8,small-rich,0.1059625,149.111383019638
yolov8n,3.2,YOLOv8,medium-mixed,0.06746250000000001,152.04983877215548
yolov8n,3.2,YOLOv8,large-rich,0.140825,122.47318939925543
yolov8s,11.2,YOLOv8,small-rich,0.15805,112.30697006935759
yolov8s,11.2,YOLOv8,medium-mixed,0.096125,135.03417971566262
yolov8s,11.2,YOLOv8,large-rich,0.16828749999999998,125.22296547468179
yolov8m,25.9,YOLOv8,small-rich,0.1712,141.72438160691487
yolov8m,25.9,YOLOv8,medium-mixed,0.10245,149.75600038752248
yolov8m,25.9,YOLOv8,large-rich,0.201275,113.97410520141872
yolov8l,43.7,YOLOv8,small-rich,0.17570000000000002,143.56392235252977
yolov8l,43.7,YOLOv8,medium-mixed,0.10086250000000001,178.65145388548063
yolov8l,43.7,YOLOv8,large-rich,0.2037625,139.0446340351369
yolov8x,68.2,YOLOv8,small-rich,0.16897500000000001,217.56052194690392
yolov8x,68.2,YOLOv8,medium-mixed,0.0930125,231.22131548205968
yolov8x,68.2,YOLOv8,large-rich,0.18560000000000001,204.62382959916744
