detector,params_M,group,sap_npu_g,Cstar_ms
yolo11s,9.4,small-rich,0.1748625,59.19390629724363
yolo11s,9.4,medium-mixed,0.1015625,119.77317161200142
yolo11s,9.4,large-rich,0.190525,85.76140709863664
yolo11m,20.1,small-rich,0.1801,113.9854325623244
yolo11m,20.1,medium-mixed,0.10447499999999998,165.23251986736054
yolo11m,20.1,large-rich,0.1967875,127.34368781678296
yolo11l,25.3,small-rich,0.1798125,132.88931060488997
yolo11l,25.3,medium-mixed,0.1050375,174.74960078065976
yolo11l,25.3,large-rich,0.2068375,165.00141779759662
yolo11x,56.9,small-rich,0.1655625,225.24157180144346
yolo11x,56.9,medium-mixed,0.0987875,247.42363658829368
yolo11x,56.9,large-rich,0.2033,195.37404646037027
