cell,repeat,log_or_stream_id,sap,sap_small,sap_medium,sap_large,offline_map,infer_ms_mean,skip_pct,model_sha,run_timestamp,notes
fp32_coco,0,0,0.0677,0.0178,0.1355,0.4507,0.0823,7.71,0.0,85a76fe86dd8afe3,1781334778,
fp32_coco,0,1,0.0739,0.0033,0.084,0.2553,0.107,7.53,0.0,85a76fe86dd8afe3,1781334785,
fp32_coco,0,2,0.1214,0.0164,0.175,0.5772,0.1492,8.1,0.0,85a76fe86dd8afe3,1781334790,
fp32_coco,0,3,0.1555,0.0034,0.2573,0.3488,0.3316,8.07,0.0,85a76fe86dd8afe3,1781334795,
fp32_coco,0,4,0.2133,0.0,0.1327,0.5318,0.2135,8.07,0.0,85a76fe86dd8afe3,1781334801,
fp32_coco,0,5,0.4338,0.0179,0.2182,0.5963,0.4608,8.07,0.0,85a76fe86dd8afe3,1781334805,
fp32_coco,0,6,0.0972,0.0117,0.0832,0.3489,0.1493,7.71,0.0,85a76fe86dd8afe3,1781334810,
fp32_coco,0,7,0.2219,0.0005,0.178,0.4123,0.2844,7.95,0.0,85a76fe86dd8afe3,1781334814,
fp32_coco,0,8,0.1021,0.0089,0.1537,0.4327,0.1269,8.23,0.0,85a76fe86dd8afe3,1781334822,
fp32_coco,0,9,0.1136,0.0045,0.1278,0.2362,0.1443,8.31,0.0,85a76fe86dd8afe3,1781334829,
fp32_coco,0,10,0.1536,0.023,0.1421,0.334,0.2113,7.76,0.0,85a76fe86dd8afe3,1781334833,
fp32_coco,0,11,0.288,0.006,0.1852,0.6156,0.3014,8.15,0.0,85a76fe86dd8afe3,1781334843,
fp32_coco,0,12,0.4827,0.0678,0.4788,0.8861,0.4938,8.23,0.0,85a76fe86dd8afe3,1781334847,
fp32_coco,0,13,0.1987,0.0096,0.1104,0.4074,0.2415,7.74,0.0,85a76fe86dd8afe3,1781334855,
fp32_coco,0,14,0.4503,0.0568,0.2154,0.6734,0.4964,7.53,0.0,85a76fe86dd8afe3,1781334863,
fp32_coco,0,15,0.1173,0.0196,0.1353,0.3797,0.1787,7.82,0.0,85a76fe86dd8afe3,1781334871,
fp32_coco,0,16,0.2459,0.0078,0.6425,0.4914,0.2698,7.96,0.0,85a76fe86dd8afe3,1781334875,
fp32_coco,0,17,0.248,0.0213,0.2501,0.6279,0.2769,7.98,0.0,85a76fe86dd8afe3,1781334879,
fp32_coco,0,18,0.2034,0.0179,0.0974,0.756,0.2208,7.57,0.0,85a76fe86dd8afe3,1781334887,
fp32_coco,0,19,0.1208,0.0127,0.1224,0.3753,0.183,7.81,0.0,85a76fe86dd8afe3,1781334892,
fp32_coco,0,20,0.1058,0.0084,0.0795,0.3137,0.1607,7.76,0.0,85a76fe86dd8afe3,1781334896,
fp32_coco,0,21,0.1149,0.01,0.0469,0.2614,0.2865,7.88,0.0,85a76fe86dd8afe3,1781334901,
fp32_coco,0,22,0.2111,0.0014,0.193,0.6469,0.2188,8.18,0.0,85a76fe86dd8afe3,1781334906,
fp32_coco,0,23,0.1554,0.0344,0.169,0.4839,0.2616,7.86,0.0,85a76fe86dd8afe3,1781334910,
fp32_coco,1,0,0.0677,0.0178,0.1355,0.4507,0.0823,7.75,0.0,85a76fe86dd8afe3,1781334918,
fp32_coco,1,1,0.0739,0.0033,0.084,0.2553,0.107,7.57,0.0,85a76fe86dd8afe3,1781334926,
fp32_coco,1,2,0.1214,0.0164,0.175,0.5772,0.1492,8.13,0.0,85a76fe86dd8afe3,1781334930,
fp32_coco,1,3,0.1555,0.0034,0.2573,0.3488,0.3316,8.0,0.0,85a76fe86dd8afe3,1781334935,
fp32_coco,1,4,0.2133,0.0,0.1327,0.5318,0.2135,8.06,0.0,85a76fe86dd8afe3,1781334941,
fp32_coco,1,5,0.4338,0.0179,0.2182,0.5963,0.4608,8.09,0.0,85a76fe86dd8afe3,1781334945,
fp32_coco,1,6,0.0972,0.0117,0.0832,0.3489,0.1493,7.75,0.0,85a76fe86dd8afe3,1781334950,
fp32_coco,1,7,0.2219,0.0005,0.178,0.4123,0.2844,7.88,0.0,85a76fe86dd8afe3,1781334954,
fp32_coco,1,8,0.1021,0.0089,0.1537,0.4327,0.1269,8.29,0.0,85a76fe86dd8afe3,1781334962,
fp32_coco,1,9,0.1136,0.0045,0.1278,0.2362,0.1443,8.19,0.0,85a76fe86dd8afe3,1781334969,
fp32_coco,1,10,0.1536,0.023,0.1421,0.334,0.2113,7.79,0.0,85a76fe86dd8afe3,1781334973,
fp32_coco,1,11,0.288,0.006,0.1852,0.6156,0.3014,8.14,0.0,85a76fe86dd8afe3,1781334983,
fp32_coco,1,12,0.4827,0.0678,0.4788,0.8861,0.4938,8.01,0.0,85a76fe86dd8afe3,1781334987,
fp32_coco,1,13,0.1987,0.0096,0.1104,0.4074,0.2415,7.67,0.0,85a76fe86dd8afe3,1781334995,
fp32_coco,1,14,0.4503,0.0568,0.2154,0.6734,0.4964,7.48,0.0,85a76fe86dd8afe3,1781335003,
fp32_coco,1,15,0.1173,0.0196,0.1353,0.3797,0.1787,7.78,0.0,85a76fe86dd8afe3,1781335010,
fp32_coco,1,16,0.2459,0.0078,0.6425,0.4914,0.2698,8.02,0.0,85a76fe86dd8afe3,1781335015,
fp32_coco,1,17,0.248,0.0213,0.2501,0.6279,0.2769,8.01,0.0,85a76fe86dd8afe3,1781335019,
fp32_coco,1,18,0.2034,0.0179,0.0974,0.756,0.2208,7.62,0.0,85a76fe86dd8afe3,1781335027,
fp32_coco,1,19,0.1208,0.0127,0.1224,0.3753,0.183,7.84,0.0,85a76fe86dd8afe3,1781335031,
fp32_coco,1,20,0.1058,0.0084,0.0795,0.3137,0.1607,7.78,0.0,85a76fe86dd8afe3,1781335036,
fp32_coco,1,21,0.1149,0.01,0.0469,0.2614,0.2865,7.88,0.0,85a76fe86dd8afe3,1781335041,
fp32_coco,1,22,0.2111,0.0014,0.193,0.6469,0.2188,8.21,0.0,85a76fe86dd8afe3,1781335045,
fp32_coco,1,23,0.1554,0.0344,0.169,0.4839,0.2616,7.88,0.0,85a76fe86dd8afe3,1781335050,
fp32_coco,2,0,0.0677,0.0178,0.1355,0.4507,0.0823,7.77,0.0,85a76fe86dd8afe3,1781335058,
fp32_coco,2,1,0.0739,0.0033,0.084,0.2553,0.107,7.58,0.0,85a76fe86dd8afe3,1781335065,
fp32_coco,2,2,0.1214,0.0164,0.175,0.5772,0.1492,8.14,0.0,85a76fe86dd8afe3,1781335070,
fp32_coco,2,3,0.1555,0.0034,0.2573,0.3488,0.3316,8.03,0.0,85a76fe86dd8afe3,1781335075,
fp32_coco,2,4,0.2133,0.0,0.1327,0.5318,0.2135,8.11,0.0,85a76fe86dd8afe3,1781335081,
fp32_coco,2,5,0.4338,0.0179,0.2182,0.5963,0.4608,8.1,0.0,85a76fe86dd8afe3,1781335085,
fp32_coco,2,6,0.0972,0.0117,0.0832,0.3489,0.1493,7.75,0.0,85a76fe86dd8afe3,1781335090,
fp32_coco,2,7,0.2219,0.0005,0.178,0.4123,0.2844,7.79,0.0,85a76fe86dd8afe3,1781335094,
fp32_coco,2,8,0.1021,0.0089,0.1537,0.4327,0.1269,8.24,0.0,85a76fe86dd8afe3,1781335102,
fp32_coco,2,9,0.1136,0.0045,0.1278,0.2362,0.1443,8.17,0.0,85a76fe86dd8afe3,1781335109,
fp32_coco,2,10,0.1536,0.023,0.1421,0.334,0.2113,7.75,0.0,85a76fe86dd8afe3,1781335113,
fp32_coco,2,11,0.288,0.006,0.1852,0.6156,0.3014,8.1,0.0,85a76fe86dd8afe3,1781335122,
fp32_coco,2,12,0.4827,0.0678,0.4788,0.8861,0.4938,8.05,0.0,85a76fe86dd8afe3,1781335127,
fp32_coco,2,13,0.1987,0.0096,0.1104,0.4074,0.2415,7.66,0.0,85a76fe86dd8afe3,1781335135,
fp32_coco,2,14,0.4503,0.0568,0.2154,0.6734,0.4964,7.42,0.0,85a76fe86dd8afe3,1781335143,
fp32_coco,2,15,0.1173,0.0196,0.1353,0.3797,0.1787,7.7,0.0,85a76fe86dd8afe3,1781335150,
