cell_id,placement,resnet_k,repeat,stream_id,log_name,sap,sap_small,sap_medium,sap_large,fg_skip_pct,data_source,run_timestamp,notes
U-GPU,All-GPU,0,0,0,1d676737-4110-3f7e-bec0-0c90f74c248f,0.1214,0.0164,0.1745,0.5773,0.2,measured,1781254983,
U-GPU,All-GPU,0,0,1,f1008c18-e76e-3c24-adcc-da9858fac145,0.211,0.0014,0.1931,0.6469,0.2,measured,1781254983,
U-GPU,All-GPU,0,0,2,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,0.1556,0.0034,0.2582,0.3488,0.2,measured,1781254983,
U-GPU,All-GPU,0,0,3,e9a96218-365b-3ecd-a800-ed2c4c306c78,0.1143,0.01,0.0457,0.261,0.2,measured,1781254983,
U-GPU,All-GPU,0,1,0,1d676737-4110-3f7e-bec0-0c90f74c248f,0.1214,0.0164,0.1749,0.5773,0.0,measured,1781254993,
U-GPU,All-GPU,0,1,1,f1008c18-e76e-3c24-adcc-da9858fac145,0.211,0.0014,0.193,0.647,0.0,measured,1781254993,
U-GPU,All-GPU,0,1,2,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,0.1557,0.0034,0.2575,0.3488,0.0,measured,1781254993,
U-GPU,All-GPU,0,1,3,e9a96218-365b-3ecd-a800-ed2c4c306c78,0.1149,0.01,0.0469,0.2617,0.0,measured,1781254993,
U-GPU,All-GPU,0,2,0,1d676737-4110-3f7e-bec0-0c90f74c248f,0.1214,0.0164,0.1749,0.5773,0.0,measured,1781255004,
U-GPU,All-GPU,0,2,1,f1008c18-e76e-3c24-adcc-da9858fac145,0.211,0.0014,0.193,0.647,0.0,measured,1781255004,
U-GPU,All-GPU,0,2,2,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,0.1557,0.0034,0.2575,0.3488,0.0,measured,1781255004,
U-GPU,All-GPU,0,2,3,e9a96218-365b-3ecd-a800-ed2c4c306c78,0.1149,0.01,0.0469,0.2617,0.0,measured,1781255004,
U-NPU,All-NPU,0,0,0,1d676737-4110-3f7e-bec0-0c90f74c248f,0.1087,0.0113,0.1415,0.5653,0.9,measured,1781255017,
U-NPU,All-NPU,0,0,1,f1008c18-e76e-3c24-adcc-da9858fac145,0.1912,0.001,0.1734,0.6139,0.2,measured,1781255017,
U-NPU,All-NPU,0,0,2,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,0.1214,0.0005,0.1816,0.3389,0.9,measured,1781255017,
U-NPU,All-NPU,0,0,3,e9a96218-365b-3ecd-a800-ed2c4c306c78,0.0837,0.0014,0.0245,0.2128,0.2,measured,1781255017,
U-NPU,All-NPU,0,1,0,1d676737-4110-3f7e-bec0-0c90f74c248f,0.109,0.0113,0.1425,0.5659,0.2,measured,1781255028,
U-NPU,All-NPU,0,1,1,f1008c18-e76e-3c24-adcc-da9858fac145,0.1914,0.001,0.1733,0.6141,0.4,measured,1781255028,
U-NPU,All-NPU,0,1,2,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,0.1215,0.0005,0.1816,0.3391,0.4,measured,1781255028,
U-NPU,All-NPU,0,1,3,e9a96218-365b-3ecd-a800-ed2c4c306c78,0.0836,0.0014,0.0244,0.2127,0.2,measured,1781255028,
U-NPU,All-NPU,0,2,0,1d676737-4110-3f7e-bec0-0c90f74c248f,0.109,0.0113,0.1426,0.5659,0.0,measured,1781255041,
U-NPU,All-NPU,0,2,1,f1008c18-e76e-3c24-adcc-da9858fac145,0.1912,0.001,0.1733,0.614,0.0,measured,1781255041,
U-NPU,All-NPU,0,2,2,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,0.1213,0.0005,0.1816,0.3389,0.4,measured,1781255041,
U-NPU,All-NPU,0,2,3,e9a96218-365b-3ecd-a800-ed2c4c306c78,0.0832,0.0014,0.0246,0.2118,0.9,measured,1781255041,
C-GPU,All-GPU,8,0,0,1d676737-4110-3f7e-bec0-0c90f74c248f,0.0884,0.0116,0.0965,0.3999,69.3,measured,1781255060,
C-GPU,All-GPU,8,0,1,f1008c18-e76e-3c24-adcc-da9858fac145,0.196,0.0015,0.1885,0.5955,69.8,measured,1781255060,
C-GPU,All-GPU,8,0,2,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,0.0887,0.0018,0.1764,0.1352,70.0,measured,1781255060,
C-GPU,All-GPU,8,0,3,e9a96218-365b-3ecd-a800-ed2c4c306c78,0.0671,0.0076,0.0131,0.1804,73.7,measured,1781255060,
C-GPU,All-GPU,8,1,0,1d676737-4110-3f7e-bec0-0c90f74c248f,0.088,0.0122,0.0959,0.3976,71.7,measured,1781255079,
C-GPU,All-GPU,8,1,1,f1008c18-e76e-3c24-adcc-da9858fac145,0.1891,0.0012,0.1881,0.5719,72.4,measured,1781255079,
C-GPU,All-GPU,8,1,2,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,0.0925,0.0017,0.1811,0.1486,71.8,measured,1781255079,
C-GPU,All-GPU,8,1,3,e9a96218-365b-3ecd-a800-ed2c4c306c78,0.0688,0.0075,0.013,0.1821,71.8,measured,1781255079,
C-GPU,All-GPU,8,2,0,1d676737-4110-3f7e-bec0-0c90f74c248f,0.0853,0.0112,0.0899,0.3886,75.6,measured,1781255098,
C-GPU,All-GPU,8,2,1,f1008c18-e76e-3c24-adcc-da9858fac145,0.1874,0.001,0.1841,0.5705,78.6,measured,1781255098,
C-GPU,All-GPU,8,2,2,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,0.0897,0.0026,0.1793,0.1445,73.4,measured,1781255098,
C-GPU,All-GPU,8,2,3,e9a96218-365b-3ecd-a800-ed2c4c306c78,0.0688,0.0076,0.0128,0.184,74.0,measured,1781255098,
C-NPU,All-NPU,8,0,0,1d676737-4110-3f7e-bec0-0c90f74c248f,0.1089,0.0113,0.142,0.5659,0.5,measured,1781255110,
C-NPU,All-NPU,8,0,1,f1008c18-e76e-3c24-adcc-da9858fac145,0.1913,0.001,0.1734,0.6139,0.7,measured,1781255110,
C-NPU,All-NPU,8,0,2,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,0.1217,0.0005,0.1816,0.3393,0.7,measured,1781255110,
C-NPU,All-NPU,8,0,3,e9a96218-365b-3ecd-a800-ed2c4c306c78,0.083,0.0006,0.0235,0.2124,0.7,measured,1781255110,
C-NPU,All-NPU,8,1,0,1d676737-4110-3f7e-bec0-0c90f74c248f,0.1089,0.0113,0.1423,0.565,0.7,measured,1781255122,
C-NPU,All-NPU,8,1,1,f1008c18-e76e-3c24-adcc-da9858fac145,0.1912,0.0011,0.1735,0.614,0.7,measured,1781255122,
C-NPU,All-NPU,8,1,2,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,0.1214,0.0005,0.1814,0.3389,0.2,measured,1781255122,
C-NPU,All-NPU,8,1,3,e9a96218-365b-3ecd-a800-ed2c4c306c78,0.0836,0.0014,0.0244,0.2127,0.2,measured,1781255122,
C-NPU,All-NPU,8,2,0,1d676737-4110-3f7e-bec0-0c90f74c248f,0.1088,0.0113,0.1418,0.5618,0.7,measured,1781255133,
C-NPU,All-NPU,8,2,1,f1008c18-e76e-3c24-adcc-da9858fac145,0.1912,0.001,0.1733,0.6139,0.2,measured,1781255133,
C-NPU,All-NPU,8,2,2,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,0.1215,0.0005,0.1814,0.3386,0.7,measured,1781255133,
C-NPU,All-NPU,8,2,3,e9a96218-365b-3ecd-a800-ed2c4c306c78,0.0835,0.0014,0.0244,0.2126,0.2,measured,1781255133,
