exp_id,mechanism,cotenant,resnet_k_or_vlm,baseline_skip_ref_pct,repeat,stream_id,log_name,sap,sap_small,sap_medium,sap_large,fg_gpu_skip_pct,infer_ms_p50,infer_ms_p99,e2e_delivery_ms_p50,e2e_delivery_ms_p99,priority_value_used,stream_topology,run_timestamp,notes
EXP-QOS-v2,base,resnet50x2,2,55.7,0,0,1d676737-4110-3f7e-bec0-0c90f74c248f,0.0928,0.0134,0.1047,0.4191,61.9,37.77,72.22,37.77,72.22,,,1781254186,k2 sanity re-measure
EXP-QOS-v2,base,resnet50x2,2,55.7,0,1,f1008c18-e76e-3c24-adcc-da9858fac145,0.1968,0.001,0.1886,0.6015,58.9,37.12,73.7,37.12,73.7,,,1781254186,k2 sanity re-measure
EXP-QOS-v2,base,resnet50x2,2,55.7,0,2,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,0.1028,0.0019,0.2002,0.2176,57.7,36.38,70.72,36.38,70.72,,,1781254186,k2 sanity re-measure
EXP-QOS-v2,base,resnet50x2,2,55.7,0,3,e9a96218-365b-3ecd-a800-ed2c4c306c78,0.0766,0.0084,0.0158,0.2017,60.5,37.18,71.29,37.18,71.29,,,1781254186,k2 sanity re-measure
EXP-QOS-v2,base,resnet50x2,2,55.7,1,0,1d676737-4110-3f7e-bec0-0c90f74c248f,0.0934,0.0138,0.1096,0.4249,58.6,36.58,81.93,36.58,81.93,,,1781254203,k2 sanity re-measure
EXP-QOS-v2,base,resnet50x2,2,55.7,1,1,f1008c18-e76e-3c24-adcc-da9858fac145,0.1959,0.0012,0.1903,0.5981,55.1,35.35,77.8,35.35,77.8,,,1781254203,k2 sanity re-measure
EXP-QOS-v2,base,resnet50x2,2,55.7,1,2,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,0.1054,0.0025,0.2129,0.212,54.9,34.78,74.15,34.78,74.15,,,1781254203,k2 sanity re-measure
EXP-QOS-v2,base,resnet50x2,2,55.7,1,3,e9a96218-365b-3ecd-a800-ed2c4c306c78,0.0749,0.0084,0.0155,0.1974,59.8,36.22,77.14,36.22,77.14,,,1781254203,k2 sanity re-measure
EXP-QOS-v2,base,resnet50x2,2,55.7,2,0,1d676737-4110-3f7e-bec0-0c90f74c248f,0.0949,0.0131,0.1088,0.4389,55.6,35.07,68.1,35.07,68.1,,,1781254221,k2 sanity re-measure
EXP-QOS-v2,base,resnet50x2,2,55.7,2,1,f1008c18-e76e-3c24-adcc-da9858fac145,0.1995,0.0016,0.1899,0.6086,48.2,32.83,66.09,32.83,66.09,,,1781254221,k2 sanity re-measure
EXP-QOS-v2,base,resnet50x2,2,55.7,2,2,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,0.1053,0.0025,0.2115,0.2207,54.8,34.91,73.63,34.91,73.63,,,1781254221,k2 sanity re-measure
