detector,sid,log_id,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_50,map_s,map_m,map_l,latency_mean,frame_skip_pct,wall_sec
YOLOv11s,0,00c561b9-2057-358d-82c6-5b06d76cebcf,GPU,L0,0.0677,0.1161,0.0178,0.1355,0.4507,0.0823,0.1198,0.0204,0.1552,0.5601,8.3885,0.0,7.6227
YOLOv11s,0,00c561b9-2057-358d-82c6-5b06d76cebcf,NPU,L0,0.0378,0.0785,0.0059,0.0644,0.3011,0.059,0.0793,0.0112,0.0965,0.4469,39.556,64.8876,29.4855
YOLOv11s,0,00c561b9-2057-358d-82c6-5b06d76cebcf,GPU,L1_light,0.0674,0.116,0.0177,0.1364,0.4473,0.0823,0.1198,0.0204,0.1552,0.5601,18.4992,2.1814,16.6633
YOLOv11s,1,033669d3-3d6b-3d3d-bd93-7985d86653ea,GPU,L0,0.0739,0.156,0.0033,0.0838,0.2553,0.107,0.1746,0.0033,0.1086,0.4311,8.1147,0.0,7.3338
YOLOv11s,1,033669d3-3d6b-3d3d-bd93-7985d86653ea,NPU,L0,0.0339,0.0761,0.0011,0.0382,0.0959,0.073,0.1143,0.0014,0.061,0.3301,41.1077,70.6647,29.7008
YOLOv11s,1,033669d3-3d6b-3d3d-bd93-7985d86653ea,GPU,L1_light,0.0727,0.1533,0.0033,0.0831,0.2503,0.107,0.1746,0.0033,0.1086,0.4311,18.4214,2.2962,16.6061
YOLOv11s,2,1d676737-4110-3f7e-bec0-0c90f74c248f,GPU,L0,0.1214,0.1914,0.0164,0.1749,0.5773,0.1492,0.2003,0.0182,0.2557,0.7927,8.7901,0.0,4.1332
YOLOv11s,2,1d676737-4110-3f7e-bec0-0c90f74c248f,NPU,L0,0.0844,0.1285,0.0085,0.0886,0.4007,0.1103,0.1453,0.0107,0.1776,0.6263,39.1774,58.8732,15.2985
YOLOv11s,2,1d676737-4110-3f7e-bec0-0c90f74c248f,GPU,L1_light,0.1207,0.1893,0.0164,0.1732,0.5613,0.1492,0.2003,0.0182,0.2557,0.7927,18.5594,1.5945,8.7344
YOLOv11s,3,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,GPU,L0,0.1557,0.375,0.0034,0.2575,0.3488,0.3315,0.5304,0.005,0.3534,0.5203,8.5291,0.0,4.0592
YOLOv11s,3,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,NPU,L0,0.0772,0.1856,0.0002,0.1445,0.2209,0.2309,0.3524,0.0008,0.2049,0.4154,41.2625,69.3878,15.5589
YOLOv11s,3,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,GPU,L1_light,0.1542,0.3678,0.0035,0.2546,0.3458,0.3315,0.5304,0.005,0.3534,0.5203,18.3629,2.6966,8.7462
YOLOv11s,4,33737504-3373-3373-3373-633738571776,GPU,L0,0.2133,0.283,0.0,0.1327,0.532,0.2133,0.2828,0.0,0.1327,0.5324,8.5536,0.0,5.7427
YOLOv11s,4,33737504-3373-3373-3373-633738571776,NPU,L0,0.203,0.2431,0.0,0.0815,0.5435,0.1612,0.1939,0.0,0.0646,0.427,42.5283,73.7166,22.0543
YOLOv11s,4,33737504-3373-3373-3373-633738571776,GPU,L1_light,0.2132,0.2831,0.0,0.1326,0.5321,0.2133,0.2828,0.0,0.1327,0.5324,18.2493,2.1875,12.2707
YOLOv11s,5,39556000-3955-3955-3955-039557148672,GPU,L0,0.4337,0.5258,0.0179,0.2182,0.5954,0.4607,0.5243,0.019,0.231,0.6421,8.6647,0.0,3.8375
YOLOv11s,5,39556000-3955-3955-3955-039557148672,NPU,L0,0.38,0.5202,0.0085,0.1521,0.5288,0.3619,0.4109,0.007,0.1426,0.5258,41.751,73.7342,14.585
YOLOv11s,5,39556000-3955-3955-3955-039557148672,GPU,L1_light,0.432,0.5255,0.0178,0.2181,0.5932,0.4607,0.5243,0.019,0.231,0.6421,18.4315,2.1845,8.1473
YOLOv11s,6,5ab2697b-6e3e-3454-a36a-aba2c6f27818,GPU,L0,0.0971,0.1826,0.0117,0.0831,0.3483,0.1493,0.207,0.0139,0.1396,0.5766,8.2415,0.0,3.8871
YOLOv11s,6,5ab2697b-6e3e-3454-a36a-aba2c6f27818,NPU,L0,0.0572,0.1173,0.0061,0.0553,0.179,0.1129,0.1522,0.009,0.1084,0.4394,41.1418,69.5402,15.3703
YOLOv11s,6,5ab2697b-6e3e-3454-a36a-aba2c6f27818,GPU,L1_light,0.0957,0.1806,0.0117,0.0822,0.3416,0.1493,0.207,0.0139,0.1396,0.5766,18.2543,2.2779,8.5711
YOLOv11s,7,5f317f5f-3ce9-355b-acf9-386a8c682252,GPU,L0,0.2219,0.3798,0.0005,0.1781,0.4125,0.2845,0.3974,0.0035,0.2164,0.5623,8.3561,0.0,3.922
YOLOv11s,7,5f317f5f-3ce9-355b-acf9-386a8c682252,NPU,L0,0.1481,0.2846,0.0005,0.1087,0.2946,0.2099,0.291,0.0,0.1418,0.4745,39.4927,66.289,15.3219
YOLOv11s,7,5f317f5f-3ce9-355b-acf9-386a8c682252,GPU,L1_light,0.221,0.3794,0.0005,0.1765,0.41,0.2845,0.3974,0.0035,0.2164,0.5623,18.2868,2.0548,8.5375
YOLOv11s,8,64724064-6472-6472-6472-764725145600,GPU,L0,0.102,0.1779,0.0089,0.1535,0.4327,0.1269,0.1855,0.0121,0.1874,0.5863,8.7716,0.0,7.8228
YOLOv11s,8,64724064-6472-6472-6472-764725145600,NPU,L0,0.0493,0.1066,0.0062,0.0497,0.255,0.0737,0.1111,0.0085,0.081,0.4256,39.5385,63.9716,29.1631
YOLOv11s,8,64724064-6472-6472-6472-764725145600,GPU,L1_light,0.1012,0.1774,0.0079,0.1528,0.4283,0.1269,0.1855,0.0121,0.1874,0.5863,18.9802,2.7907,16.9033
YOLOv11s,9,6db21fda-80cd-3f85-b4a7-0aadeb14724d,GPU,L0,0.1136,0.1749,0.0044,0.1278,0.2362,0.1443,0.1879,0.0063,0.1889,0.3525,8.7325,0.0,5.7363
YOLOv11s,9,6db21fda-80cd-3f85-b4a7-0aadeb14724d,NPU,L0,0.1156,0.1809,0.0011,0.0687,0.2374,0.1445,0.179,0.0022,0.1485,0.3281,41.1719,67.7485,21.5564
YOLOv11s,9,6db21fda-80cd-3f85-b4a7-0aadeb14724d,GPU,L1_light,0.1124,0.171,0.0045,0.1254,0.2343,0.1443,0.1879,0.0063,0.1889,0.3525,18.7707,2.2329,12.346
YOLOv11s,10,70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,GPU,L0,0.1536,0.2742,0.023,0.1421,0.3341,0.2113,0.3104,0.028,0.2429,0.4881,8.3425,0.0,3.8901
YOLOv11s,10,70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,NPU,L0,0.0978,0.2061,0.0124,0.0791,0.2143,0.1663,0.238,0.0159,0.1914,0.3769,40.7021,69.7406,15.2371
YOLOv11s,10,70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,GPU,L1_light,0.1528,0.2742,0.023,0.1415,0.331,0.2113,0.3104,0.028,0.2429,0.4881,18.0837,1.8349,8.4398
YOLOv11s,11,7d37fc6b-1028-3f6f-b980-adb5fa73021e,GPU,L0,0.288,0.3989,0.006,0.1851,0.6158,0.3017,0.4014,0.0065,0.2226,0.7415,8.6574,0.0,7.8167
YOLOv11s,11,7d37fc6b-1028-3f6f-b980-adb5fa73021e,NPU,L0,0.2621,0.3566,0.003,0.1213,0.4981,0.234,0.3012,0.0045,0.1599,0.5878,41.3555,70.7602,29.5178
YOLOv11s,11,7d37fc6b-1028-3f6f-b980-adb5fa73021e,GPU,L1_light,0.2874,0.3987,0.006,0.1838,0.6147,0.3017,0.4014,0.0065,0.2226,0.7415,18.4775,1.9518,16.6901
YOLOv11s,12,85bc130b-97ae-37fb-a129-4fc07c80cca7,GPU,L0,0.4825,0.6272,0.0678,0.4786,0.8864,0.4935,0.629,0.0686,0.4349,0.9175,8.5478,0.0,4.0164
YOLOv11s,12,85bc130b-97ae-37fb-a129-4fc07c80cca7,NPU,L0,0.4199,0.5514,0.0283,0.366,0.8435,0.3539,0.4344,0.0237,0.2761,0.7373,40.449,70.1149,15.5064
