cohort,size,delta,frac_below,coverage,n
per,small,1,0.2784,0.989,96424
per,small,2,0.4297,0.981,95197
per,small,3,0.5247,0.974,94041
per,small,5,0.631,0.961,91832
per,small,8,0.7046,0.944,88796
per,small,12,0.7495,0.923,85082
per,medium,1,0.212,0.994,103099
per,medium,2,0.3421,0.986,102547
per,medium,3,0.4258,0.979,101963
per,medium,5,0.5297,0.965,100807
per,medium,8,0.6169,0.945,99140
per,medium,12,0.6799,0.921,96968
per,large,1,0.1129,0.996,52464
per,large,2,0.2229,0.989,52354
per,large,3,0.3096,0.982,52233
per,large,5,0.4375,0.964,51948
per,large,8,0.5573,0.935,51431
per,large,12,0.643,0.895,50720
fixed,small,1,0.2635,,89020
fixed,small,2,0.4153,,88446
fixed,small,3,0.5118,,87929
fixed,small,5,0.6212,,86971
fixed,small,8,0.6981,,85677
fixed,small,12,0.7482,,84587
fixed,medium,1,0.192,,95336
fixed,medium,2,0.3219,,95484
fixed,medium,3,0.408,,95589
fixed,medium,5,0.5168,,95781
fixed,medium,8,0.6097,,96117
fixed,medium,12,0.6785,,96541
fixed,large,1,0.0907,,47458
fixed,large,2,0.194,,47884
fixed,large,3,0.281,,48296
fixed,large,5,0.4159,,49062
fixed,large,8,0.5488,,50020
fixed,large,12,0.6427,,50686
