detector,params_M,phase,sid,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolov8l,43.7,baseline,0,GPU,L0,0.0958,0.1686,0.0269,0.179,0.5696,0.1211,0.0326,0.2185,0.7078,11.3392,11.3395,0.0,10.2318
yolov8l,43.7,baseline,0,NPU,L0,0.04,0.0946,0.006,0.0769,0.2899,0.063,0.0168,0.1096,0.3845,58.2356,58.5858,100.0,30.0683
yolov8l,43.7,baseline,1,GPU,L0,0.1192,0.229,0.0119,0.1372,0.3883,0.1789,0.0125,0.2123,0.643,11.155,11.174,0.0,10.0824
yolov8l,43.7,baseline,1,NPU,L0,0.0387,0.0941,0.0055,0.0526,0.1013,0.0719,0.0045,0.0757,0.2772,58.7251,58.7661,100.0,30.1025
yolov8l,43.7,baseline,2,GPU,L0,0.1481,0.2419,0.0405,0.2397,0.5837,0.1878,0.0448,0.3549,0.8228,11.7077,11.7336,0.0,5.5107
yolov8l,43.7,baseline,2,NPU,L0,0.0852,0.1391,0.0183,0.0981,0.3612,0.0931,0.0211,0.1669,0.4274,62.0473,62.2064,100.0,15.6828
yolov8l,43.7,baseline,3,GPU,L0,0.2364,0.4856,0.0061,0.3674,0.4041,0.4537,0.0079,0.4957,0.6664,11.5638,11.5874,0.0,5.5116
yolov8l,43.7,baseline,3,NPU,L0,0.1189,0.2589,0.0,0.2,0.1883,0.2528,0.0023,0.2496,0.3676,58.4888,58.4553,100.0,15.8485
yolov8l,43.7,baseline,4,GPU,L0,0.221,0.265,0.0013,0.1461,0.5719,0.221,0.0013,0.146,0.5725,11.6679,11.6786,0.0,7.8353
yolov8l,43.7,baseline,4,NPU,L0,0.2351,0.2779,0.0002,0.1511,0.595,0.1327,0.0002,0.084,0.3329,60.4242,60.4833,100.0,22.3887
yolov8l,43.7,baseline,5,GPU,L0,0.5459,0.6459,0.0498,0.2553,0.6613,0.5841,0.0529,0.2692,0.7177,11.6959,11.7141,0.0,5.1849
yolov8l,43.7,baseline,5,NPU,L0,0.4203,0.6241,0.0256,0.1835,0.5163,0.3155,0.0196,0.1348,0.4029,61.9437,61.9246,100.0,14.7445
