detector,params_M,phase,sid,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolov8m,25.9,baseline,0,GPU,L0,0.0844,0.1547,0.0267,0.1601,0.5162,0.1061,0.0325,0.1939,0.6425,9.7916,9.8016,0.0,8.8457
yolov8m,25.9,baseline,0,NPU,L0,0.0378,0.0876,0.006,0.0717,0.2882,0.0607,0.0134,0.1155,0.3899,52.2711,52.5661,93.3579,30.0826
yolov8m,25.9,baseline,1,GPU,L0,0.0964,0.2002,0.0075,0.1169,0.2982,0.1453,0.0079,0.1722,0.5323,9.5303,9.5494,0.0,8.6182
yolov8m,25.9,baseline,1,NPU,L0,0.039,0.0881,0.0029,0.0509,0.1079,0.0716,0.0027,0.0693,0.2907,49.965,50.0433,91.2281,30.0416
yolov8m,25.9,baseline,2,GPU,L0,0.1405,0.2287,0.0274,0.2416,0.5813,0.1753,0.0301,0.3461,0.8203,10.0898,10.1209,0.0,4.7541
yolov8m,25.9,baseline,2,NPU,L0,0.087,0.1358,0.013,0.1091,0.3736,0.101,0.0154,0.1834,0.5007,52.3645,52.3026,93.3086,15.6461
yolov8m,25.9,baseline,3,GPU,L0,0.2014,0.4454,0.0042,0.3513,0.3599,0.3998,0.0057,0.4701,0.5785,9.9484,9.9736,0.0,4.7449
yolov8m,25.9,baseline,3,NPU,L0,0.0965,0.2279,0.0003,0.1636,0.1677,0.2315,0.0015,0.2109,0.3987,51.1268,51.2826,92.4731,15.8542
yolov8m,25.9,baseline,4,GPU,L0,0.2673,0.329,0.0,0.1216,0.6485,0.2674,0.0,0.1215,0.6486,10.0522,10.066,0.0,6.7548
yolov8m,25.9,baseline,4,NPU,L0,0.2704,0.3302,0.0,0.13,0.6473,0.1833,0.0,0.0866,0.4336,50.0615,50.5418,91.5049,22.3508
yolov8m,25.9,baseline,5,GPU,L0,0.4454,0.5378,0.0415,0.2275,0.558,0.4716,0.045,0.241,0.6007,10.1214,10.1392,0.0,4.4885
yolov8m,25.9,baseline,5,NPU,L0,0.4124,0.5828,0.0227,0.1943,0.5424,0.3364,0.022,0.1586,0.4621,51.6881,51.953,95.2756,14.7617
yolov8m,25.9,baseline,6,GPU,L0,0.1221,0.2227,0.0202,0.1063,0.4061,0.1924,0.0245,0.1948,0.6703,9.6241,9.6306,0.0,4.524
yolov8m,25.9,baseline,6,NPU,L0,0.0554,0.1316,0.0088,0.0489,0.1738,0.1175,0.014,0.1129,0.434,51.2897,51.8884,91.8819,15.6259
yolov8m,25.9,baseline,7,GPU,L0,0.281,0.4601,0.002,0.2595,0.5099,0.3591,0.0022,0.3162,0.685,9.7112,9.731,0.0,4.5614
yolov8m,25.9,baseline,7,NPU,L0,0.1437,0.3058,0.0,0.1216,0.2583,0.2012,0.0,0.1602,0.4162,50.9508,50.9998,92.029,15.6136
yolov8m,25.9,baseline,8,GPU,L0,0.152,0.2822,0.0436,0.2081,0.5318,0.1832,0.0491,0.2562,0.7009,10.2032,10.1969,0.0,9.0891
yolov8m,25.9,baseline,8,NPU,L0,0.0626,0.1563,0.0076,0.0758,0.2655,0.0911,0.0103,0.135,0.4017,53.3296,53.4662,95.619,29.6874
yolov8m,25.9,baseline,9,GPU,L0,0.181,0.2563,0.0088,0.1757,0.3433,0.2189,0.0122,0.2505,0.4694,10.0892,10.1081,0.0,6.6514
yolov8m,25.9,baseline,9,NPU,L0,0.1304,0.2072,0.0019,0.0941,0.2418,0.1481,0.0045,0.1778,0.3094,51.1588,51.5517,93.4177,21.9203
yolov8m,25.9,baseline,10,GPU,L0,0.1857,0.3238,0.0395,0.1835,0.3638,0.2606,0.0508,0.312,0.5227,9.741,9.7594,0.0,4.5554
yolov8m,25.9,baseline,10,NPU,L0,0.1034,0.2194,0.0156,0.0709,0.2181,0.1548,0.0239,0.1719,0.3507,51.6487,51.6365,93.7269,15.5504
yolov8m,25.9,baseline,11,GPU,L0,0.2993,0.4289,0.0095,0.2229,0.6256,0.3163,0.0119,0.2712,0.7544,10.0694,10.0801,0.0,9.0965
yolov8m,25.9,baseline,11,NPU,L0,0.2511,0.356,0.0036,0.1124,0.4589,0.1937,0.0058,0.1525,0.4755,51.689,51.4727,94.7559,30.0233
yolov8m,25.9,baseline,12,GPU,L0,0.4738,0.6245,0.0784,0.4538,0.8916,0.4871,0.0785,0.5239,0.9307,10.0004,10.0192,0.0,4.7065
yolov8m,25.9,baseline,12,NPU,L0,0.3889,0.5177,0.0653,0.294,0.8276,0.2682,0.0448,0.2033,0.5895,51.9474,52.115,95.9259,15.6421
yolov8m,25.9,baseline,13,GPU,L0,0.251,0.3678,0.0208,0.1633,0.483,0.301,0.022,0.2246,0.6257,9.5653,9.5722,0.0,8.5811
yolov8m,25.9,baseline,13,NPU,L0,0.1694,0.2965,0.0087,0.0892,0.3338,0.1893,0.0089,0.122,0.3646,52.1581,51.8374,91.7279,29.7689
yolov8m,25.9,baseline,14,GPU,L0,0.4818,0.602,0.0903,0.2112,0.5552,0.5338,0.0931,0.2306,0.6194,9.3233,9.3356,0.0,8.4256
yolov8m,25.9,baseline,14,NPU,L0,0.3422,0.555,0.066,0.1601,0.3947,0.3355,0.0492,0.1401,0.3983,50.0998,50.0019,89.4737,30.0164
yolov8m,25.9,baseline,15,GPU,L0,0.1343,0.2459,0.0244,0.1496,0.4057,0.2137,0.0337,0.2506,0.6932,9.6331,9.6498,0.0,8.5925
yolov8m,25.9,baseline,15,NPU,L0,0.061,0.1497,0.0055,0.0606,0.1799,0.1295,0.0113,0.1474,0.4417,51.1743,51.1744,94.5355,29.6447
yolov8m,25.9,baseline,16,GPU,L0,0.3053,0.453,0.014,0.6811,0.5666,0.3332,0.0162,0.6978,0.6772,9.9128,9.9437,0.0,4.6711
yolov8m,25.9,baseline,16,NPU,L0,0.2635,0.4486,0.0075,0.5681,0.4374,0.2384,0.0082,0.4164,0.4953,48.6623,48.9782,88.2353,15.6322
yolov8m,25.9,baseline,17,GPU,L0,0.2776,0.4197,0.026,0.3056,0.6138,0.3093,0.0288,0.3389,0.6831,9.9987,9.9999,0.0,4.7574
yolov8m,25.9,baseline,17,NPU,L0,0.1954,0.3511,0.0163,0.2041,0.4742,0.1939,0.0165,0.2011,0.4581,50.7099,50.8861,92.9078,15.8844
yolov8m,25.9,baseline,18,GPU,L0,0.2085,0.2643,0.0234,0.1101,0.7602,0.2366,0.0267,0.1816,0.8523,9.5187,9.5404,0.0,8.6102
yolov8m,25.9,baseline,18,NPU,L0,0.1657,0.237,0.008,0.0645,0.6005,0.148,0.0103,0.1048,0.5517,51.3243,51.1789,93.5368,30.0567
yolov8m,25.9,baseline,19,GPU,L0,0.1386,0.2438,0.0245,0.1505,0.3939,0.221,0.0358,0.3127,0.6636,9.6982,9.712,0.0,4.533
yolov8m,25.9,baseline,19,NPU,L0,0.0709,0.1534,0.0166,0.0567,0.2064,0.1135,0.0177,0.1383,0.3894,52.4531,51.5337,92.9889,15.5192
yolov8m,25.9,baseline,20,GPU,L0,0.12,0.2079,0.0125,0.0972,0.3684,0.1866,0.0124,0.2286,0.6265,9.745,9.7725,0.0,4.5907
yolov8m,25.9,baseline,20,NPU,L0,0.0749,0.146,0.0137,0.0645,0.179,0.1108,0.0085,0.1278,0.348,53.5889,53.5586,95.0382,15.6466
yolov8m,25.9,baseline,21,GPU,L0,0.1292,0.3232,0.0138,0.0609,0.2744,0.3269,0.0159,0.3545,0.5393,9.7625,9.7749,0.0,4.5918
yolov8m,25.9,baseline,21,NPU,L0,0.0489,0.1124,0.0006,0.0094,0.151,0.159,0.002,0.1727,0.2693,51.1493,51.3643,95.2727,15.6737
yolov8m,25.9,baseline,22,GPU,L0,0.3312,0.5015,0.0314,0.3,0.7241,0.3427,0.0317,0.3022,0.7653,10.2339,10.24,0.0,4.8723
yolov8m,25.9,baseline,22,NPU,L0,0.2474,0.4114,0.0128,0.2277,0.5973,0.188,0.009,0.1479,0.4788,52.592,53.3538,93.633,15.8538
