detector,params_M,phase,sid,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolov8n,3.2,baseline,0,GPU,L0,0.049,0.0809,0.0068,0.0947,0.3825,0.06,0.0086,0.1076,0.4729,7.9828,8.0129,0.0,7.2345
yolov8n,3.2,baseline,0,NPU,L0,0.0304,0.0619,0.0029,0.0484,0.2633,0.0454,0.0037,0.0731,0.3833,37.0115,36.9251,56.4926,28.7137
yolov8n,3.2,baseline,1,GPU,L0,0.0475,0.1021,0.0006,0.042,0.1911,0.0676,0.0006,0.0533,0.3263,7.7094,7.7205,0.0,6.9712
yolov8n,3.2,baseline,1,NPU,L0,0.028,0.0635,0.0005,0.0257,0.0952,0.0538,0.0005,0.0378,0.2826,35.4414,35.6066,51.6088,28.7596
yolov8n,3.2,baseline,2,GPU,L0,0.0985,0.1454,0.0046,0.121,0.5486,0.1162,0.0048,0.1717,0.7534,8.307,8.359,0.0,3.9283
yolov8n,3.2,baseline,2,NPU,L0,0.0796,0.1116,0.0035,0.0798,0.4178,0.0969,0.0032,0.1395,0.6224,36.6743,36.6063,56.0,14.8374
yolov8n,3.2,baseline,3,GPU,L0,0.109,0.2789,0.0008,0.1151,0.3417,0.2474,0.001,0.1751,0.4997,8.2691,8.2788,0.0,3.9404
yolov8n,3.2,baseline,3,NPU,L0,0.0482,0.1211,0.001,0.0508,0.1603,0.1663,0.0001,0.0829,0.3434,40.125,39.9348,67.6966,15.4262
yolov8n,3.2,baseline,4,GPU,L0,0.2129,0.2798,0.0,0.0394,0.5173,0.2129,0.0,0.0389,0.5187,8.4186,8.4265,0.0,5.6573
yolov8n,3.2,baseline,4,NPU,L0,0.1666,0.1972,0.0,0.0312,0.4425,0.1449,0.0,0.0264,0.3843,36.9921,37.0279,57.7413,21.4553
yolov8n,3.2,baseline,5,GPU,L0,0.3354,0.4309,0.0058,0.137,0.5433,0.3487,0.0063,0.1423,0.5718,7.6588,7.697,0.0,3.4092
yolov8n,3.2,baseline,5,NPU,L0,0.3157,0.4382,0.0,0.1122,0.5141,0.2975,0.0,0.1069,0.5079,37.3242,37.231,57.3066,14.1195
yolov8n,3.2,baseline,6,GPU,L0,0.075,0.1459,0.0023,0.0492,0.3202,0.1136,0.0022,0.0831,0.5144,7.3176,7.3197,0.0,3.4404
yolov8n,3.2,baseline,6,NPU,L0,0.0432,0.0916,0.0013,0.0274,0.1721,0.0871,0.0018,0.0631,0.4047,34.9979,35.2192,51.928,14.7663
yolov8n,3.2,baseline,7,GPU,L0,0.1601,0.296,0.0015,0.1109,0.3085,0.1927,0.0015,0.1335,0.3891,7.3284,7.3445,0.0,3.4446
yolov8n,3.2,baseline,7,NPU,L0,0.1107,0.1966,0.0,0.0761,0.2202,0.1454,0.0,0.0883,0.3237,37.0991,36.7286,58.5561,14.8479
yolov8n,3.2,baseline,8,GPU,L0,0.0664,0.1182,0.0049,0.087,0.3439,0.0801,0.0074,0.1035,0.4442,7.9838,7.9802,0.0,7.1166
yolov8n,3.2,baseline,8,NPU,L0,0.0441,0.0912,0.0045,0.0466,0.2369,0.0602,0.0052,0.063,0.3648,37.6758,37.797,61.8457,28.5921
yolov8n,3.2,baseline,9,GPU,L0,0.0929,0.147,0.0022,0.0953,0.2097,0.116,0.0027,0.1469,0.3254,7.73,7.7393,0.0,5.0953
yolov8n,3.2,baseline,9,NPU,L0,0.0578,0.1065,0.0015,0.0447,0.1319,0.0854,0.0015,0.1107,0.2464,38.3833,38.6808,60.8949,21.0558
yolov8n,3.2,baseline,10,GPU,L0,0.0977,0.1799,0.0059,0.0943,0.2392,0.1285,0.0072,0.156,0.3441,7.2995,7.3159,0.0,3.4166
yolov8n,3.2,baseline,10,NPU,L0,0.0601,0.1276,0.0042,0.0501,0.1435,0.0906,0.0041,0.1111,0.2169,38.0576,38.0115,61.2022,15.0619
yolov8n,3.2,baseline,11,GPU,L0,0.2046,0.2831,0.0028,0.1058,0.5249,0.2142,0.0028,0.1309,0.6327,7.6323,7.6404,0.0,6.8983
yolov8n,3.2,baseline,11,NPU,L0,0.1631,0.2234,0.0019,0.047,0.3478,0.1609,0.0024,0.0819,0.4909,36.8988,37.2716,59.0848,28.8288
yolov8n,3.2,baseline,12,GPU,L0,0.3538,0.4848,0.025,0.244,0.8272,0.3593,0.0251,0.2449,0.8502,7.5892,7.6123,0.0,3.5777
yolov8n,3.2,baseline,12,NPU,L0,0.2702,0.3513,0.0211,0.1217,0.5641,0.2474,0.0187,0.1032,0.5409,36.3646,36.4322,55.291,14.8744
yolov8n,3.2,baseline,13,GPU,L0,0.1037,0.1866,0.0033,0.0592,0.2357,0.12,0.0033,0.075,0.2845,7.2928,7.3009,0.0,6.5489
yolov8n,3.2,baseline,13,NPU,L0,0.0934,0.1831,0.0015,0.0338,0.1654,0.1111,0.0014,0.0498,0.2157,35.4534,35.5065,52.4246,28.1749
yolov8n,3.2,baseline,14,GPU,L0,0.3644,0.4705,0.0023,0.15,0.4695,0.4008,0.0044,0.1627,0.5148,6.9865,7.0048,0.0,6.3258
yolov8n,3.2,baseline,14,NPU,L0,0.3071,0.4601,0.0007,0.1345,0.398,0.3464,0.001,0.1341,0.4484,35.4899,35.3549,52.6042,28.2319
yolov8n,3.2,baseline,15,GPU,L0,0.0786,0.1457,0.0029,0.0866,0.3257,0.1249,0.004,0.1401,0.5329,7.2437,7.2589,0.0,6.4672
yolov8n,3.2,baseline,15,NPU,L0,0.0416,0.0937,0.0008,0.0378,0.1752,0.0904,0.0009,0.0917,0.4059,35.6215,35.6891,54.3883,27.9275
yolov8n,3.2,baseline,16,GPU,L0,0.1315,0.2264,0.0034,0.143,0.3883,0.1499,0.0041,0.1471,0.4878,7.5038,7.5265,0.0,3.5373
yolov8n,3.2,baseline,16,NPU,L0,0.094,0.1679,0.0013,0.0838,0.2803,0.1154,0.0021,0.0815,0.412,38.3062,37.9382,63.8587,15.1087
yolov8n,3.2,baseline,17,GPU,L0,0.1768,0.2785,0.0125,0.1568,0.4801,0.1992,0.0129,0.1769,0.5393,7.5134,7.5191,0.0,3.5791
yolov8n,3.2,baseline,17,NPU,L0,0.1127,0.2153,0.0042,0.0884,0.3076,0.1387,0.005,0.1109,0.3791,39.7729,40.0815,63.4831,15.4805
yolov8n,3.2,baseline,18,GPU,L0,0.1041,0.1415,0.0059,0.0747,0.4809,0.1169,0.0066,0.0886,0.5554,7.1413,7.1558,0.0,6.4616
yolov8n,3.2,baseline,18,NPU,L0,0.081,0.1225,0.002,0.0539,0.3866,0.0955,0.0026,0.0684,0.4801,35.2383,35.3159,52.2021,28.3414
yolov8n,3.2,baseline,19,GPU,L0,0.0969,0.1576,0.0084,0.076,0.3377,0.135,0.0086,0.1397,0.5313,7.342,7.3575,0.0,3.436
yolov8n,3.2,baseline,19,NPU,L0,0.0704,0.1241,0.0048,0.0509,0.2471,0.1028,0.0041,0.0927,0.4079,34.7392,35.2521,48.5714,14.6392
yolov8n,3.2,baseline,20,GPU,L0,0.0775,0.138,0.0036,0.0426,0.2611,0.1143,0.0037,0.1015,0.4005,7.2984,7.2955,0.0,3.4291
yolov8n,3.2,baseline,20,NPU,L0,0.0581,0.1059,0.0053,0.0287,0.1635,0.0912,0.0041,0.0719,0.3139,37.0667,36.7439,54.5213,14.9273
yolov8n,3.2,baseline,21,GPU,L0,0.0765,0.1947,0.0035,0.025,0.1913,0.1877,0.004,0.1905,0.3559,7.4577,7.4624,0.0,3.5074
yolov8n,3.2,baseline,21,NPU,L0,0.0395,0.0923,0.0005,0.0048,0.1174,0.1295,0.0007,0.1352,0.216,36.0991,36.2122,55.5556,14.7842
