detector,params_M,phase,sid,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolov8s,11.2,baseline,0,GPU,L0,0.0652,0.111,0.0166,0.1379,0.42,0.0784,0.0194,0.1499,0.5244,7.8992,7.9105,0.0,7.1416
yolov8s,11.2,baseline,0,NPU,L0,0.0411,0.0841,0.007,0.0876,0.2962,0.0585,0.0118,0.1152,0.4283,40.0829,40.1648,64.9073,29.3782
yolov8s,11.2,baseline,1,GPU,L0,0.076,0.1619,0.0011,0.0891,0.2557,0.1121,0.0012,0.1199,0.4527,7.7545,7.7659,0.0,7.0115
yolov8s,11.2,baseline,1,NPU,L0,0.0378,0.0866,0.001,0.0446,0.1155,0.0784,0.001,0.0727,0.3393,40.0366,40.0576,67.5676,29.3802
yolov8s,11.2,baseline,2,GPU,L0,0.1165,0.1838,0.0129,0.1651,0.5733,0.1432,0.0133,0.2444,0.7864,8.2388,8.2695,0.0,3.8858
yolov8s,11.2,baseline,2,NPU,L0,0.0848,0.1259,0.0091,0.0927,0.4193,0.1053,0.0088,0.1703,0.6196,41.51,42.0535,69.0476,15.4005
yolov8s,11.2,baseline,3,GPU,L0,0.1587,0.3862,0.002,0.2391,0.3509,0.3344,0.0023,0.3419,0.5615,8.264,8.2893,0.0,3.945
yolov8s,11.2,baseline,3,NPU,L0,0.0757,0.1955,0.0,0.1019,0.1691,0.224,0.0013,0.1672,0.4095,41.9866,42.1555,73.7609,15.733
yolov8s,11.2,baseline,4,GPU,L0,0.2502,0.3057,0.0,0.0898,0.633,0.2504,0.0,0.0898,0.6334,8.2059,8.2175,0.0,5.5163
yolov8s,11.2,baseline,4,NPU,L0,0.2593,0.3179,0.0,0.082,0.6282,0.2084,0.0,0.065,0.5052,41.1132,41.453,70.9742,22.1073
yolov8s,11.2,baseline,5,GPU,L0,0.3618,0.4477,0.0292,0.2223,0.5102,0.3811,0.0321,0.2332,0.546,8.2984,8.3123,0.0,3.681
yolov8s,11.2,baseline,5,NPU,L0,0.2566,0.3593,0.0123,0.1771,0.3881,0.2471,0.0124,0.1656,0.3917,40.152,40.3569,68.7879,14.5369
yolov8s,11.2,baseline,6,GPU,L0,0.1012,0.1906,0.01,0.0882,0.3709,0.1549,0.0115,0.144,0.6125,7.8694,7.8744,0.0,3.7004
yolov8s,11.2,baseline,6,NPU,L0,0.0617,0.127,0.0046,0.0542,0.2025,0.1229,0.0069,0.1089,0.4995,38.7463,38.7968,63.1868,15.2955
yolov8s,11.2,baseline,7,GPU,L0,0.2119,0.3696,0.0015,0.1689,0.4067,0.2678,0.0008,0.2042,0.5459,8.0251,8.043,0.0,3.7716
yolov8s,11.2,baseline,7,NPU,L0,0.1332,0.2509,0.0,0.1066,0.2292,0.1899,0.0,0.1403,0.3714,39.503,39.9484,67.2365,15.2295
yolov8s,11.2,baseline,8,GPU,L0,0.0982,0.1684,0.0079,0.1317,0.4501,0.1199,0.0106,0.1604,0.5869,8.3817,8.3797,0.0,7.4717
