detector,params_M,phase,sid,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolov8x,68.2,baseline,0,GPU,L0,0.1,0.1831,0.0325,0.1853,0.5505,0.1318,0.0397,0.2438,0.6896,12.9239,12.9285,0.0,11.6631
yolov8x,68.2,baseline,0,NPU,L0,0.0317,0.0823,0.0065,0.0628,0.2318,0.0551,0.0137,0.111,0.2939,77.6467,78.0729,100.0,30.0686
yolov8x,68.2,baseline,1,GPU,L0,0.1251,0.2361,0.0128,0.1423,0.4173,0.1877,0.0131,0.2337,0.6627,12.8335,12.848,0.0,11.5905
yolov8x,68.2,baseline,1,NPU,L0,0.0309,0.0905,0.0044,0.0464,0.0828,0.0597,0.0032,0.0597,0.2476,78.3342,78.6367,100.0,30.0502
yolov8x,68.2,baseline,2,GPU,L0,0.1563,0.261,0.0452,0.2601,0.5916,0.1995,0.0503,0.3816,0.848,13.4123,13.4391,0.0,6.3108
yolov8x,68.2,baseline,2,NPU,L0,0.0776,0.1311,0.0163,0.0836,0.3296,0.076,0.0182,0.1364,0.3423,78.3409,78.6895,100.0,15.6647
yolov8x,68.2,baseline,3,GPU,L0,0.2563,0.5239,0.0219,0.4036,0.4231,0.4786,0.0272,0.5414,0.6446,13.2633,13.2858,0.0,6.3184
yolov8x,68.2,baseline,3,NPU,L0,0.0962,0.2371,0.0011,0.1668,0.1322,0.1885,0.002,0.1904,0.2755,80.7498,80.7825,100.0,15.9196
yolov8x,68.2,baseline,4,GPU,L0,0.2633,0.3191,0.001,0.1646,0.6222,0.2633,0.001,0.1646,0.6222,13.308,13.3225,0.0,8.9367
yolov8x,68.2,baseline,4,NPU,L0,0.2599,0.3264,0.0,0.1576,0.6243,0.1116,0.0,0.067,0.2693,77.7524,78.6672,100.0,22.3494
yolov8x,68.2,baseline,5,GPU,L0,0.5526,0.6543,0.0547,0.2479,0.6699,0.5967,0.0578,0.2632,0.7312,13.2822,13.3029,0.0,5.8869
yolov8x,68.2,baseline,5,NPU,L0,0.4035,0.6477,0.026,0.1679,0.5111,0.2581,0.0201,0.1074,0.3392,78.6504,78.778,100.0,14.8155
yolov8x,68.2,baseline,6,GPU,L0,0.1462,0.2658,0.0334,0.1359,0.4464,0.229,0.0388,0.2512,0.7258,12.9886,12.9917,0.0,6.1018
yolov8x,68.2,baseline,6,NPU,L0,0.045,0.1295,0.0098,0.0396,0.1314,0.0964,0.0152,0.1082,0.3062,79.4251,80.0043,100.0,15.6863
yolov8x,68.2,baseline,7,GPU,L0,0.3225,0.4921,0.0107,0.3133,0.518,0.4139,0.0098,0.3867,0.7091,13.0455,13.0742,0.0,6.1263
yolov8x,68.2,baseline,7,NPU,L0,0.106,0.2446,0.0,0.089,0.1781,0.1423,0.0025,0.1226,0.2708,76.902,76.9639,100.0,15.6293
yolov8x,68.2,baseline,8,GPU,L0,0.1723,0.3249,0.0608,0.234,0.5708,0.2064,0.0713,0.2839,0.7566,13.5101,13.5043,0.0,12.0333
yolov8x,68.2,baseline,8,NPU,L0,0.056,0.1643,0.0154,0.055,0.2205,0.0746,0.02,0.104,0.301,76.5704,77.0854,100.0,29.7655
yolov8x,68.2,baseline,9,GPU,L0,0.1929,0.2722,0.0123,0.2031,0.3493,0.235,0.0144,0.2873,0.4744,13.4024,13.4115,0.0,8.8225
yolov8x,68.2,baseline,9,NPU,L0,0.1102,0.2004,0.0042,0.0785,0.1969,0.1005,0.005,0.1188,0.203,79.6452,79.5969,100.0,21.9765
yolov8x,68.2,baseline,10,GPU,L0,0.2042,0.356,0.0574,0.1962,0.3976,0.2934,0.075,0.3388,0.5807,13.0279,13.036,0.0,6.0824
yolov8x,68.2,baseline,10,NPU,L0,0.0791,0.1852,0.0138,0.0444,0.1631,0.1112,0.0271,0.1195,0.2322,82.0929,82.7083,100.0,15.5544
yolov8x,68.2,baseline,11,GPU,L0,0.3042,0.4254,0.0114,0.2293,0.6199,0.3232,0.0138,0.2809,0.7516,13.3287,13.3417,0.0,12.0352
yolov8x,68.2,baseline,11,NPU,L0,0.2574,0.3562,0.0026,0.1095,0.4493,0.1372,0.0058,0.1101,0.3238,79.3751,79.6388,100.0,30.114
yolov8x,68.2,baseline,12,GPU,L0,0.5197,0.6557,0.0852,0.5181,0.9211,0.5315,0.0862,0.5989,0.9549,13.2645,13.2869,0.0,6.2391
yolov8x,68.2,baseline,12,NPU,L0,0.4621,0.6165,0.0719,0.434,0.7927,0.2208,0.0346,0.2012,0.3985,77.9898,78.4694,100.0,15.6995
yolov8x,68.2,baseline,13,GPU,L0,0.2947,0.4338,0.0372,0.2176,0.5236,0.3572,0.0419,0.3028,0.6504,12.8383,12.8451,0.0,11.5107
yolov8x,68.2,baseline,13,NPU,L0,0.1448,0.3059,0.0163,0.0813,0.2927,0.1376,0.0147,0.1069,0.2614,78.5702,79.1695,100.0,29.8573
yolov8x,68.2,baseline,14,GPU,L0,0.5099,0.6399,0.092,0.2581,0.5937,0.5686,0.0973,0.2867,0.6637,12.6374,12.6499,0.0,11.4122
yolov8x,68.2,baseline,14,NPU,L0,0.292,0.5562,0.075,0.169,0.3943,0.2357,0.04,0.0974,0.3134,77.0853,77.022,100.0,30.0496
