detector,params_M,phase,sid,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolov8l,43.7,ladder,0,GPU,L1_light,0.0958,0.1686,0.0269,0.179,0.5696,0.1211,0.0326,0.2185,0.7078,21.3855,21.3926,0.0,19.2925
yolov8l,43.7,ladder,0,GPU,L1_heavy,0.0943,0.1684,0.0263,0.1779,0.5607,0.1211,0.0326,0.2185,0.7078,25.1912,25.1206,4.822,22.6528
yolov8l,43.7,ladder,0,GPU,L2_lm,0.0622,0.1307,0.0144,0.1092,0.4165,0.1126,0.0306,0.2053,0.6584,35.3283,35.4746,58.4464,29.8607
yolov8l,43.7,ladder,0,GPU,L3_vlm,0.0027,0.0092,0.0005,0.0015,0.029,0.0112,0.0054,0.0168,0.058,469.2875,462.2692,100.0,30.0497
yolov8l,43.7,ladder,1,GPU,L1_light,0.119,0.229,0.0119,0.1372,0.3876,0.1789,0.0125,0.2123,0.643,21.9465,21.962,0.3444,19.8061
yolov8l,43.7,ladder,1,GPU,L1_heavy,0.1154,0.2261,0.0117,0.1331,0.3813,0.1789,0.0125,0.2123,0.643,24.8507,24.8663,4.9369,22.4239
yolov8l,43.7,ladder,1,GPU,L2_lm,0.0675,0.1568,0.0108,0.0856,0.1932,0.1682,0.0116,0.1992,0.6075,35.5601,35.553,60.2469,29.8873
yolov8l,43.7,ladder,1,GPU,L3_vlm,0.0032,0.0134,0.001,0.0053,0.006,0.0159,0.0017,0.0201,0.0472,507.4186,502.6847,100.0,30.6659
yolov8l,43.7,ladder,2,GPU,L1_light,0.1481,0.2419,0.0405,0.2397,0.5837,0.1878,0.0448,0.3549,0.8228,21.9877,22.043,0.0,10.3481
yolov8l,43.7,ladder,2,GPU,L1_heavy,0.1452,0.2399,0.04,0.2309,0.569,0.1878,0.0448,0.3549,0.8228,25.3183,25.3988,5.6948,11.9221
yolov8l,43.7,ladder,2,GPU,L2_lm,0.1087,0.1833,0.0309,0.145,0.4215,0.1694,0.0405,0.3193,0.7437,37.0264,37.0721,69.1327,15.6596
yolov8l,43.7,ladder,2,GPU,L3_vlm,0.0199,0.0544,0.0033,0.0188,0.0914,0.0173,0.0057,0.0303,0.0915,487.6511,445.8639,100.0,16.0524
yolov8l,43.7,ladder,3,GPU,L1_light,0.2364,0.4856,0.0061,0.3674,0.4041,0.4537,0.0079,0.4957,0.6664,22.0045,22.0181,0.0,10.468
yolov8l,43.7,ladder,3,GPU,L1_heavy,0.2293,0.4664,0.0061,0.3636,0.3747,0.4537,0.0079,0.4957,0.6664,25.4204,25.3816,5.8427,12.0668
yolov8l,43.7,ladder,3,GPU,L2_lm,0.1557,0.3268,0.0039,0.284,0.2419,0.414,0.0078,0.4476,0.592,36.3572,36.3421,61.8812,15.7946
yolov8l,43.7,ladder,3,GPU,L3_vlm,0.0162,0.0612,0.0001,0.0178,0.0181,0.0391,0.002,0.0418,0.0369,487.7576,430.8598,100.0,15.9431
yolov8l,43.7,ladder,4,GPU,L1_light,0.221,0.265,0.0013,0.1461,0.5719,0.221,0.0013,0.146,0.5725,22.2792,22.2565,0.4688,14.9258
yolov8l,43.7,ladder,4,GPU,L1_heavy,0.2211,0.2649,0.0013,0.1461,0.5726,0.221,0.0013,0.146,0.5725,25.9063,25.8978,8.125,17.3671
yolov8l,43.7,ladder,4,GPU,L2_lm,0.2207,0.2649,0.0013,0.1461,0.5723,0.1985,0.001,0.13,0.5134,37.1745,37.084,67.951,22.302
yolov8l,43.7,ladder,4,GPU,L3_vlm,0.2191,0.2638,0.0007,0.1449,0.5651,0.0176,0.0007,0.0129,0.0415,486.0989,478.4349,100.0,22.4881
yolov8l,43.7,ladder,5,GPU,L1_light,0.5446,0.6459,0.0498,0.2552,0.6591,0.5841,0.0529,0.2692,0.7177,22.2343,22.2527,0.9709,9.8446
yolov8l,43.7,ladder,5,GPU,L1_heavy,0.5382,0.6452,0.0494,0.2535,0.6495,0.5841,0.0529,0.2692,0.7177,25.6953,25.5255,9.2233,11.2926
yolov8l,43.7,ladder,5,GPU,L2_lm,0.4839,0.6458,0.0444,0.2262,0.5766,0.5176,0.0484,0.2382,0.6339,37.6318,37.649,71.9444,14.694
yolov8l,43.7,ladder,5,GPU,L3_vlm,0.0422,0.164,0.002,0.0336,0.0391,0.0448,0.0062,0.0207,0.0545,546.4889,482.308,100.0,15.435
yolov8l,43.7,ladder,6,GPU,L1_light,0.1399,0.2553,0.0291,0.1231,0.4485,0.2173,0.0317,0.2274,0.7243,21.9697,21.9863,0.0,10.3212
yolov8l,43.7,ladder,6,GPU,L1_heavy,0.135,0.2464,0.0278,0.1174,0.4317,0.2173,0.0317,0.2274,0.7243,25.178,25.1713,6.1503,11.8155
yolov8l,43.7,ladder,6,GPU,L2_lm,0.0905,0.1943,0.0208,0.0804,0.2632,0.2026,0.0291,0.2152,0.6657,36.06,36.0377,63.9303,15.5834
yolov8l,43.7,ladder,6,GPU,L3_vlm,0.0041,0.0167,0.0015,0.0026,0.0123,0.0211,0.0035,0.0227,0.0631,434.7777,404.7083,100.0,15.7851
yolov8l,43.7,ladder,7,GPU,L1_light,0.3109,0.4801,0.002,0.3053,0.5126,0.3978,0.0022,0.3759,0.6973,23.0363,23.0147,0.6849,10.7809
yolov8l,43.7,ladder,7,GPU,L1_heavy,0.3028,0.4699,0.001,0.2995,0.4951,0.3978,0.0022,0.3759,0.6973,25.4941,25.6056,7.3059,11.9957
yolov8l,43.7,ladder,7,GPU,L2_lm,0.2129,0.4128,0.0,0.2195,0.3214,0.3457,0.0025,0.3224,0.612,39.3808,39.211,72.6776,15.5426
yolov8l,43.7,ladder,7,GPU,L3_vlm,0.0155,0.052,0.0,0.0137,0.0266,0.0338,0.0,0.03,0.0599,453.7259,467.6234,100.0,15.9004
yolov8l,43.7,ladder,8,GPU,L1_light,0.166,0.3019,0.0488,0.2142,0.5848,0.1996,0.0563,0.2655,0.7719,22.8529,22.8385,1.1628,20.3454
yolov8l,43.7,ladder,8,GPU,L1_heavy,0.1627,0.2983,0.0491,0.2089,0.5614,0.1996,0.0563,0.2655,0.7719,25.8684,25.904,7.4419,23.0755
yolov8l,43.7,ladder,8,GPU,L2_lm,0.107,0.249,0.0369,0.118,0.3557,0.1509,0.0442,0.1991,0.5795,43.1277,43.0368,83.1563,29.684
yolov8l,43.7,ladder,8,GPU,L3_vlm,0.0028,0.0134,0.001,0.0032,0.0098,0.0187,0.0068,0.021,0.0634,478.5956,466.2262,100.0,29.8408
yolov8l,43.7,ladder,9,GPU,L1_light,0.186,0.2637,0.0126,0.1761,0.3554,0.224,0.0163,0.2507,0.4788,22.2606,22.276,0.0,14.6492
yolov8l,43.7,ladder,9,GPU,L1_heavy,0.183,0.2662,0.0126,0.1648,0.3514,0.224,0.0163,0.2507,0.4788,26.0022,26.0632,8.9314,17.1396
yolov8l,43.7,ladder,9,GPU,L2_lm,0.1294,0.2101,0.0105,0.0848,0.2372,0.1484,0.0125,0.159,0.2946,48.8889,48.0904,87.7647,21.8927
yolov8l,43.7,ladder,9,GPU,L3_vlm,0.0187,0.0577,0.0027,0.0119,0.0336,0.0177,0.0024,0.023,0.0249,543.6822,503.1445,100.0,22.1399
yolov8l,43.7,ladder,10,GPU,L1_light,0.2138,0.3772,0.0461,0.2008,0.4286,0.3076,0.0603,0.3406,0.6274,21.3326,21.3551,0.0,9.9608
yolov8l,43.7,ladder,10,GPU,L1_heavy,0.2104,0.3761,0.0455,0.1966,0.4219,0.3076,0.0603,0.3406,0.6274,25.0784,25.0462,5.2752,11.6818
yolov8l,43.7,ladder,10,GPU,L2_lm,0.1518,0.3013,0.0294,0.1221,0.2943,0.2869,0.0558,0.3175,0.5847,35.6372,35.7701,64.8379,15.4262
yolov8l,43.7,ladder,10,GPU,L3_vlm,0.0069,0.0281,0.0024,0.0042,0.0136,0.0233,0.0069,0.0261,0.039,0.0,529.1012,0.0,15.8741
yolov8l,43.7,ladder,11,GPU,L1_light,0.2724,0.3763,0.0101,0.225,0.5661,0.2892,0.0124,0.2736,0.6952,22.1364,22.1253,0.2296,19.953
yolov8l,43.7,ladder,11,GPU,L1_heavy,0.2705,0.376,0.01,0.2191,0.555,0.2892,0.0124,0.2736,0.6952,25.5201,25.5349,6.7738,23.0273
yolov8l,43.7,ladder,11,GPU,L2_lm,0.2461,0.3474,0.0057,0.1572,0.4322,0.2626,0.0116,0.2466,0.6172,36.3949,36.3917,64.1318,29.8308
