detector,params_M,phase,sid,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolov8m,25.9,ladder,0,GPU,L1_light,0.0843,0.1547,0.0267,0.1598,0.5154,0.1061,0.0325,0.1939,0.6425,19.6283,19.6079,0.3444,17.6837
yolov8m,25.9,ladder,0,GPU,L1_heavy,0.0828,0.1528,0.0258,0.1566,0.5105,0.1061,0.0325,0.1939,0.6425,22.7697,22.7209,3.0999,20.4919
yolov8m,25.9,ladder,0,GPU,L2_lm,0.0559,0.121,0.0156,0.0976,0.3859,0.0988,0.0314,0.1747,0.6055,34.759,34.6604,54.7879,29.6557
yolov8m,25.9,ladder,0,GPU,L3_vlm,0.0035,0.0115,0.0007,0.0018,0.0356,0.0101,0.0036,0.017,0.0571,424.9929,430.8672,100.0,30.5941
yolov8m,25.9,ladder,1,GPU,L1_light,0.0964,0.2002,0.0075,0.1169,0.2982,0.1453,0.0079,0.1722,0.5323,19.7876,19.7974,0.1148,17.8549
yolov8m,25.9,ladder,1,GPU,L1_heavy,0.0955,0.1995,0.0075,0.1165,0.2943,0.1453,0.0079,0.1722,0.5323,22.1715,22.1909,1.7222,20.013
yolov8m,25.9,ladder,1,GPU,L2_lm,0.061,0.1324,0.0069,0.0827,0.1507,0.1428,0.0078,0.1676,0.5249,33.6205,33.6137,48.2311,29.546
yolov8m,25.9,ladder,1,GPU,L3_vlm,0.0035,0.0154,0.0008,0.0048,0.01,0.0151,0.002,0.0176,0.0403,442.335,443.9182,100.0,30.1889
yolov8m,25.9,ladder,2,GPU,L1_light,0.1405,0.2287,0.0274,0.2416,0.5813,0.1753,0.0301,0.3461,0.8203,19.921,19.9391,0.0,9.3604
yolov8m,25.9,ladder,2,GPU,L1_heavy,0.1402,0.2273,0.0275,0.2402,0.5588,0.1751,0.0301,0.345,0.8203,23.1293,23.1613,2.2831,10.85
yolov8m,25.9,ladder,2,GPU,L2_lm,0.106,0.1747,0.0215,0.1507,0.4311,0.1629,0.0285,0.3221,0.7665,35.5193,35.6758,59.8522,15.5699
yolov8m,25.9,ladder,2,GPU,L3_vlm,0.0222,0.0582,0.0025,0.0232,0.1033,0.0163,0.004,0.0314,0.0496,417.755,434.6214,100.0,15.6477
yolov8m,25.9,ladder,3,GPU,L1_light,0.2012,0.4454,0.0041,0.3499,0.3598,0.3998,0.0057,0.4701,0.5785,19.8828,19.8858,0.2247,9.4548
yolov8m,25.9,ladder,3,GPU,L1_heavy,0.1999,0.4385,0.0041,0.3497,0.3586,0.3998,0.0057,0.4701,0.5785,22.5263,22.4562,2.0225,10.6765
yolov8m,25.9,ladder,3,GPU,L2_lm,0.1384,0.3019,0.0028,0.2797,0.2374,0.3703,0.0044,0.4341,0.5565,35.6591,35.6709,59.3674,15.7418
yolov8m,25.9,ladder,3,GPU,L3_vlm,0.018,0.0727,0.0001,0.021,0.0189,0.0421,0.0024,0.044,0.0767,457.5759,414.3017,100.0,16.1591
yolov8m,25.9,ladder,4,GPU,L1_light,0.2672,0.3289,0.0,0.1216,0.6483,0.2674,0.0,0.1215,0.6486,19.7351,19.7341,0.3125,13.2349
yolov8m,25.9,ladder,4,GPU,L1_heavy,0.2671,0.3289,0.0,0.1215,0.6483,0.2675,0.0,0.1215,0.6475,23.2367,23.1934,3.2864,15.5316
yolov8m,25.9,ladder,4,GPU,L2_lm,0.2681,0.33,0.0,0.1217,0.6496,0.2504,0.0,0.1123,0.6071,35.1049,35.0925,57.9299,22.0864
yolov8m,25.9,ladder,4,GPU,L3_vlm,0.2733,0.3332,0.0,0.1233,0.6543,0.0247,0.0,0.0104,0.0558,420.4618,444.0889,100.0,22.6503
yolov8m,25.9,ladder,5,GPU,L1_light,0.4454,0.5378,0.0415,0.2275,0.558,0.4716,0.045,0.241,0.6007,19.4672,19.4715,0.0,8.6147
yolov8m,25.9,ladder,5,GPU,L1_heavy,0.4449,0.5376,0.0416,0.2272,0.557,0.4716,0.045,0.241,0.6007,22.8994,22.867,2.1845,10.1164
yolov8m,25.9,ladder,5,GPU,L2_lm,0.4048,0.5345,0.0368,0.2038,0.499,0.4333,0.0412,0.2196,0.5501,36.2689,36.2698,61.6622,14.6346
yolov8m,25.9,ladder,5,GPU,L3_vlm,0.0677,0.2262,0.0029,0.0364,0.0694,0.047,0.007,0.0207,0.0577,366.4851,403.5264,100.0,14.9318
yolov8m,25.9,ladder,6,GPU,L1_light,0.1218,0.2218,0.0202,0.1063,0.4034,0.1924,0.0245,0.1948,0.6703,19.8709,19.8683,0.4556,9.3277
yolov8m,25.9,ladder,6,GPU,L1_heavy,0.1206,0.2209,0.0199,0.1049,0.3979,0.1924,0.0245,0.1948,0.6703,22.5619,22.5358,2.5057,10.5791
yolov8m,25.9,ladder,6,GPU,L2_lm,0.0817,0.1688,0.014,0.0735,0.2446,0.1864,0.0241,0.1901,0.6467,34.1774,34.2402,49.1686,15.4581
yolov8m,25.9,ladder,6,GPU,L3_vlm,0.0043,0.0182,0.0015,0.0033,0.0119,0.0173,0.0036,0.0158,0.0569,447.9095,426.5697,100.0,15.7843
yolov8m,25.9,ladder,7,GPU,L1_light,0.281,0.4601,0.002,0.2595,0.5099,0.3591,0.0022,0.3162,0.685,20.2216,20.1298,0.0,9.4302
yolov8m,25.9,ladder,7,GPU,L1_heavy,0.28,0.4579,0.002,0.2591,0.5066,0.3591,0.0022,0.3162,0.685,22.5757,22.5042,1.3699,10.5418
yolov8m,25.9,ladder,7,GPU,L2_lm,0.2098,0.4128,0.0,0.2004,0.3565,0.3432,0.0022,0.3003,0.6588,34.5786,34.6499,53.9759,15.4289
yolov8m,25.9,ladder,7,GPU,L3_vlm,0.0168,0.0529,0.0,0.014,0.0307,0.0349,0.0,0.029,0.0646,358.944,424.2959,100.0,15.7003
yolov8m,25.9,ladder,8,GPU,L1_light,0.152,0.2822,0.0436,0.2081,0.5318,0.1832,0.0491,0.2562,0.7009,19.3324,19.3506,0.0,17.2392
yolov8m,25.9,ladder,8,GPU,L1_heavy,0.151,0.2811,0.0435,0.2072,0.5221,0.1832,0.0491,0.2562,0.7009,23.1332,23.1169,2.5581,20.5927
yolov8m,25.9,ladder,8,GPU,L2_lm,0.1092,0.2461,0.0347,0.1385,0.3564,0.1679,0.0459,0.235,0.6459,35.6382,35.6441,62.5945,29.3918
yolov8m,25.9,ladder,8,GPU,L3_vlm,0.004,0.0177,0.0081,0.003,0.0107,0.0153,0.0056,0.0209,0.0485,466.0959,477.6324,100.0,30.0931
yolov8m,25.9,ladder,9,GPU,L1_light,0.1808,0.2563,0.0088,0.1757,0.3431,0.2189,0.0122,0.2505,0.4694,20.1128,20.0986,0.4785,13.2175
yolov8m,25.9,ladder,9,GPU,L1_heavy,0.1804,0.2563,0.0086,0.1757,0.3422,0.2189,0.0122,0.2505,0.4694,22.8132,22.7952,1.5949,14.9903
yolov8m,25.9,ladder,9,GPU,L2_lm,0.1436,0.2158,0.0068,0.1048,0.2723,0.202,0.0113,0.2306,0.4369,35.9206,35.9414,61.6319,21.7932
yolov8m,25.9,ladder,9,GPU,L3_vlm,0.0232,0.0668,0.0028,0.0069,0.0479,0.0195,0.0022,0.021,0.0514,434.2363,451.3354,100.0,22.1171
yolov8m,25.9,ladder,10,GPU,L1_light,0.1855,0.3238,0.0395,0.1834,0.3638,0.2606,0.0508,0.312,0.5227,19.7088,19.719,0.2294,9.1979
yolov8m,25.9,ladder,10,GPU,L1_heavy,0.1832,0.321,0.039,0.1809,0.3579,0.2606,0.0508,0.312,0.5227,22.1303,22.1734,2.2936,10.3426
yolov8m,25.9,ladder,10,GPU,L2_lm,0.14,0.2743,0.0271,0.1182,0.2733,0.2514,0.049,0.3009,0.5059,34.0976,34.0831,51.4286,15.3483
yolov8m,25.9,ladder,10,GPU,L3_vlm,0.009,0.0355,0.0007,0.0039,0.0187,0.024,0.0049,0.0229,0.0584,385.1402,456.5768,100.0,15.9814
yolov8m,25.9,ladder,11,GPU,L1_light,0.2993,0.4289,0.0095,0.2229,0.6255,0.3163,0.0119,0.2712,0.7544,20.0927,20.1247,0.1148,18.1496
yolov8m,25.9,ladder,11,GPU,L1_heavy,0.299,0.4289,0.0095,0.2217,0.6228,0.3163,0.0119,0.2712,0.7544,22.848,22.8483,2.1814,20.6055
yolov8m,25.9,ladder,11,GPU,L2_lm,0.2731,0.3984,0.0063,0.1577,0.4904,0.2977,0.011,0.2534,0.705,35.2125,35.2461,59.2411,29.876
yolov8m,25.9,ladder,11,GPU,L3_vlm,0.1761,0.3056,0.002,0.0676,0.2922,0.0273,0.004,0.0232,0.0629,439.7325,448.1267,100.0,30.475
yolov8m,25.9,ladder,12,GPU,L1_light,0.4738,0.6245,0.0784,0.4538,0.8916,0.4871,0.0785,0.5239,0.9307,19.8356,19.8356,0.0,9.3116
yolov8m,25.9,ladder,12,GPU,L1_heavy,0.4738,0.6245,0.0784,0.4539,0.8914,0.4871,0.0785,0.5239,0.9307,22.7095,22.806,0.9112,10.7069
