detector,params_M,phase,sid,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolov8n,3.2,ladder,0,GPU,L1_light,0.049,0.0809,0.0068,0.0947,0.3825,0.06,0.0086,0.1076,0.4729,17.299,17.296,0.1148,15.6006
yolov8n,3.2,ladder,0,GPU,L1_heavy,0.0489,0.0808,0.0067,0.0943,0.3815,0.06,0.0086,0.1076,0.4729,18.5975,18.5436,0.4592,16.7268
yolov8n,3.2,ladder,0,GPU,L2_lm,0.0467,0.0816,0.0063,0.0926,0.3656,0.0599,0.0086,0.1075,0.4707,27.0583,27.0166,14.023,24.3323
yolov8n,3.2,ladder,0,GPU,L3_vlm,0.0028,0.0093,0.0001,0.0009,0.0387,0.0071,0.002,0.01,0.0527,375.5802,382.6099,100.0,30.2288
yolov8n,3.2,ladder,1,GPU,L1_light,0.0475,0.1021,0.0006,0.042,0.1911,0.0676,0.0006,0.0533,0.3263,17.2492,17.2751,0.0,15.5822
yolov8n,3.2,ladder,1,GPU,L1_heavy,0.0474,0.1021,0.0006,0.042,0.1909,0.0676,0.0006,0.0533,0.3263,18.4546,18.4384,0.2296,16.6309
yolov8n,3.2,ladder,1,GPU,L2_lm,0.0452,0.0993,0.0009,0.0408,0.1801,0.0676,0.0006,0.0533,0.3263,26.3761,26.3314,11.9403,23.7455
yolov8n,3.2,ladder,1,GPU,L3_vlm,0.0028,0.0102,0.0001,0.0023,0.0067,0.0093,0.0007,0.0069,0.0427,379.7484,362.4278,100.0,30.0844
yolov8n,3.2,ladder,2,GPU,L1_light,0.0985,0.1454,0.0046,0.121,0.5486,0.1162,0.0048,0.1717,0.7534,18.0066,18.046,0.0,8.4729
yolov8n,3.2,ladder,2,GPU,L1_heavy,0.0985,0.1454,0.0046,0.121,0.5443,0.1162,0.0048,0.1717,0.7534,18.8073,18.9392,0.2278,8.8923
yolov8n,3.2,ladder,2,GPU,L2_lm,0.0919,0.1347,0.0047,0.1057,0.4857,0.1162,0.0048,0.1717,0.7534,28.6847,28.6197,18.6788,13.4323
yolov8n,3.2,ladder,2,GPU,L3_vlm,0.0253,0.0622,0.001,0.0225,0.1253,0.0154,0.001,0.0198,0.0889,367.6797,347.8989,100.0,15.657
yolov8n,3.2,ladder,3,GPU,L1_light,0.109,0.2789,0.0008,0.1151,0.3417,0.2474,0.001,0.1751,0.4997,17.8932,17.8931,0.0,8.508
yolov8n,3.2,ladder,3,GPU,L1_heavy,0.1091,0.2792,0.0008,0.1151,0.3416,0.2474,0.001,0.1751,0.4997,19.0764,19.0178,0.6742,9.043
yolov8n,3.2,ladder,3,GPU,L2_lm,0.0994,0.2488,0.0013,0.1104,0.3164,0.2461,0.001,0.1751,0.4968,27.924,28.0202,16.6667,13.3034
yolov8n,3.2,ladder,3,GPU,L3_vlm,0.0134,0.0431,0.0001,0.0158,0.017,0.029,0.0,0.023,0.0322,338.2116,348.4855,100.0,16.0319
yolov8n,3.2,ladder,4,GPU,L1_light,0.2129,0.2798,0.0,0.0394,0.5173,0.2129,0.0,0.0389,0.5187,18.0468,18.0563,0.0,12.1112
yolov8n,3.2,ladder,4,GPU,L1_heavy,0.2124,0.279,0.0,0.0394,0.5166,0.2129,0.0,0.0389,0.5187,19.2295,19.2126,0.9375,12.8892
yolov8n,3.2,ladder,4,GPU,L2_lm,0.2133,0.2804,0.0,0.0395,0.518,0.2129,0.0,0.0389,0.5187,28.4327,28.4594,19.6875,19.0903
yolov8n,3.2,ladder,4,GPU,L3_vlm,0.2302,0.3069,0.0,0.0393,0.5474,0.0258,0.0,0.0054,0.0577,308.4616,356.3355,100.0,22.4513
yolov8n,3.2,ladder,5,GPU,L1_light,0.3354,0.4309,0.0058,0.137,0.5433,0.3487,0.0063,0.1423,0.5718,17.7893,17.8138,0.0,7.8822
yolov8n,3.2,ladder,5,GPU,L1_heavy,0.3352,0.4307,0.0058,0.137,0.5433,0.3487,0.0063,0.1423,0.5718,18.7972,18.7935,0.2427,8.3157
yolov8n,3.2,ladder,5,GPU,L2_lm,0.3278,0.4295,0.0058,0.1367,0.5291,0.3487,0.0063,0.1423,0.5718,27.8644,27.8693,17.9612,12.3288
yolov8n,3.2,ladder,5,GPU,L3_vlm,0.0324,0.1326,0.0,0.025,0.0481,0.033,0.0,0.0148,0.0508,412.4015,400.2906,100.0,15.2123
