detector,params_M,phase,sid,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolov8s,11.2,ladder,0,GPU,L1_light,0.0652,0.111,0.0166,0.1379,0.42,0.0784,0.0194,0.1499,0.5244,17.811,17.8049,0.1148,16.0594
yolov8s,11.2,ladder,0,GPU,L1_heavy,0.0649,0.1097,0.0165,0.138,0.4186,0.0784,0.0194,0.1499,0.5244,19.315,19.2688,0.9185,17.3792
yolov8s,11.2,ladder,0,GPU,L2_lm,0.0558,0.1048,0.0138,0.1098,0.3788,0.0783,0.0194,0.1494,0.523,29.3507,29.3505,22.9263,26.3847
yolov8s,11.2,ladder,0,GPU,L3_vlm,0.0033,0.0111,0.0008,0.001,0.0364,0.0096,0.0035,0.0136,0.0579,385.8181,364.5812,96.2264,30.263
yolov8s,11.2,ladder,1,GPU,L1_light,0.0762,0.162,0.0012,0.0897,0.2558,0.1121,0.0012,0.1199,0.4527,18.1011,18.0987,0.2296,16.325
yolov8s,11.2,ladder,1,GPU,L1_heavy,0.0751,0.1609,0.0011,0.0883,0.2488,0.1121,0.0012,0.1199,0.4527,19.4969,19.5104,0.9185,17.5974
yolov8s,11.2,ladder,1,GPU,L2_lm,0.0657,0.1411,0.0012,0.0778,0.2248,0.1118,0.0012,0.119,0.4523,28.807,28.899,23.1567,25.9893
yolov8s,11.2,ladder,1,GPU,L3_vlm,0.0031,0.0134,0.0007,0.0053,0.005,0.0131,0.0004,0.0157,0.0436,398.2609,407.5272,100.0,30.5671
yolov8s,11.2,ladder,2,GPU,L1_light,0.1165,0.1838,0.0129,0.1651,0.5733,0.1432,0.0133,0.2444,0.7864,17.8844,17.8952,0.0,8.4023
yolov8s,11.2,ladder,2,GPU,L1_heavy,0.1165,0.1836,0.0129,0.1644,0.5744,0.1432,0.0133,0.2444,0.7864,19.7203,19.6956,0.4556,9.247
yolov8s,11.2,ladder,2,GPU,L2_lm,0.1027,0.1622,0.0125,0.128,0.4692,0.1425,0.0133,0.2436,0.7856,31.0432,31.1693,33.2569,14.5376
