detector,params_M,phase,sid,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolov8x,68.2,ladder,0,GPU,L1_light,0.1,0.1831,0.0325,0.1853,0.5504,0.1318,0.0397,0.2438,0.6896,23.0541,23.0574,0.1148,20.7929
yolov8x,68.2,ladder,0,GPU,L1_heavy,0.0976,0.1814,0.0311,0.1817,0.5375,0.1318,0.0397,0.2438,0.6896,26.444,26.4732,7.8071,23.8723
yolov8x,68.2,ladder,0,GPU,L2_lm,0.0621,0.1331,0.0185,0.1058,0.4105,0.1223,0.0373,0.2245,0.6403,35.5948,35.5777,57.302,29.8407
yolov8x,68.2,ladder,0,GPU,L3_vlm,0.0032,0.0106,0.0009,0.0018,0.0354,0.0117,0.0039,0.0174,0.0528,461.8604,465.839,100.0,30.2819
yolov8x,68.2,ladder,1,GPU,L1_light,0.1251,0.2361,0.0128,0.1424,0.4173,0.1877,0.0131,0.2337,0.6627,22.6132,22.6011,0.1148,20.3814
yolov8x,68.2,ladder,1,GPU,L1_heavy,0.1201,0.2316,0.0126,0.1374,0.3985,0.1877,0.0131,0.2337,0.6627,25.8808,25.824,5.8553,23.2868
yolov8x,68.2,ladder,1,GPU,L2_lm,0.0712,0.1631,0.012,0.0867,0.2153,0.1779,0.0126,0.2224,0.6329,34.6689,34.7173,53.2847,29.61
yolov8x,68.2,ladder,1,GPU,L3_vlm,0.0031,0.0134,0.0011,0.0055,0.0038,0.0184,0.0024,0.0257,0.0528,450.2926,467.5963,100.0,30.3961
yolov8x,68.2,ladder,2,GPU,L1_light,0.1563,0.261,0.0452,0.2601,0.5916,0.1995,0.0503,0.3816,0.848,23.5967,23.5869,0.0,11.0717
yolov8x,68.2,ladder,2,GPU,L1_heavy,0.1496,0.2489,0.0444,0.2432,0.5511,0.1995,0.0503,0.3816,0.848,26.9892,26.9649,10.4784,12.6581
yolov8x,68.2,ladder,2,GPU,L2_lm,0.1109,0.1891,0.0323,0.1523,0.42,0.1704,0.0434,0.3297,0.7256,38.8862,38.9068,72.5067,15.6187
yolov8x,68.2,ladder,2,GPU,L3_vlm,0.0205,0.062,0.005,0.0193,0.0879,0.0168,0.0056,0.0296,0.0808,553.3736,476.0079,100.0,15.7095
yolov8x,68.2,ladder,3,GPU,L1_light,0.2561,0.5239,0.022,0.4036,0.4228,0.4786,0.0272,0.5414,0.6446,22.8748,22.9101,0.2247,10.8918
yolov8x,68.2,ladder,3,GPU,L1_heavy,0.2441,0.4985,0.0172,0.3885,0.4007,0.4786,0.0272,0.5414,0.6446,27.1755,27.0571,12.1348,12.8626
yolov8x,68.2,ladder,3,GPU,L2_lm,0.1743,0.3585,0.0149,0.3167,0.2522,0.4317,0.0267,0.4874,0.5294,36.6867,36.8573,64.0704,15.7886
yolov8x,68.2,ladder,3,GPU,L3_vlm,0.0107,0.0401,0.0001,0.0144,0.0102,0.0391,0.0051,0.0438,0.0341,575.2399,496.6879,100.0,15.8952
yolov8x,68.2,ladder,4,GPU,L1_light,0.2633,0.3191,0.001,0.1647,0.6223,0.2633,0.001,0.1646,0.6222,22.8368,22.8242,0.4688,15.3054
yolov8x,68.2,ladder,4,GPU,L1_heavy,0.2634,0.3193,0.001,0.1647,0.6224,0.2633,0.001,0.1646,0.6222,26.4638,26.362,8.4375,17.6766
yolov8x,68.2,ladder,4,GPU,L2_lm,0.2632,0.319,0.001,0.1643,0.6225,0.2311,0.001,0.1459,0.5467,37.6896,37.7228,68.984,22.3069
yolov8x,68.2,ladder,4,GPU,L3_vlm,0.2755,0.3353,0.0,0.1674,0.6374,0.0206,0.0003,0.0113,0.0461,536.0869,514.7909,100.0,22.6523
yolov8x,68.2,ladder,5,GPU,L1_light,0.5526,0.6543,0.0547,0.2479,0.6699,0.5967,0.0578,0.2632,0.7312,23.2559,23.2373,0.0,10.2797
yolov8x,68.2,ladder,5,GPU,L1_heavy,0.5453,0.6531,0.0541,0.245,0.6596,0.5967,0.0578,0.2632,0.7312,26.3077,26.3582,7.767,11.6598
yolov8x,68.2,ladder,5,GPU,L2_lm,0.4899,0.6512,0.0469,0.2209,0.5841,0.5379,0.0526,0.2387,0.6616,36.6283,36.9159,65.7609,14.7048
yolov8x,68.2,ladder,5,GPU,L3_vlm,0.0422,0.1531,0.006,0.0277,0.0405,0.0479,0.0065,0.0196,0.0562,0.0,491.2245,0.0,14.7378
yolov8x,68.2,ladder,6,GPU,L1_light,0.1457,0.266,0.0331,0.1357,0.4443,0.229,0.0388,0.2512,0.7258,22.5784,22.6066,0.6834,10.6117
yolov8x,68.2,ladder,6,GPU,L1_heavy,0.1393,0.255,0.0322,0.1294,0.4188,0.229,0.0388,0.2512,0.7258,26.088,26.067,7.2893,12.2358
yolov8x,68.2,ladder,6,GPU,L2_lm,0.0948,0.2021,0.0215,0.0902,0.2636,0.2138,0.0361,0.2383,0.6699,35.5964,35.689,60.4938,15.5341
yolov8x,68.2,ladder,6,GPU,L3_vlm,0.0038,0.0144,0.0025,0.0036,0.0086,0.0186,0.0048,0.0194,0.0525,355.4056,514.4673,100.0,15.9496
yolov8x,68.2,ladder,7,GPU,L1_light,0.3203,0.4921,0.0107,0.3133,0.512,0.4139,0.0098,0.3867,0.7091,22.9473,22.9501,0.4566,10.75
yolov8x,68.2,ladder,7,GPU,L1_heavy,0.3107,0.4831,0.0105,0.3049,0.4924,0.4139,0.0098,0.3867,0.7091,26.124,26.0316,7.3059,12.1929
yolov8x,68.2,ladder,7,GPU,L2_lm,0.2371,0.4449,0.0087,0.2388,0.3531,0.3893,0.01,0.3597,0.6724,35.6287,35.7081,62.963,15.5434
yolov8x,68.2,ladder,7,GPU,L3_vlm,0.0158,0.0544,0.0,0.0117,0.0297,0.0367,0.0017,0.0314,0.0608,451.0411,468.558,100.0,15.9322
yolov8x,68.2,ladder,8,GPU,L1_light,0.1722,0.3249,0.0608,0.234,0.5707,0.2064,0.0713,0.2839,0.7566,22.6947,22.6873,0.2326,20.2094
yolov8x,68.2,ladder,8,GPU,L1_heavy,0.166,0.3219,0.0599,0.2218,0.545,0.2064,0.0713,0.2839,0.7566,27.0378,27.0955,9.7674,24.135
yolov8x,68.2,ladder,8,GPU,L2_lm,0.1235,0.2902,0.0484,0.1502,0.3704,0.1833,0.0641,0.2545,0.6683,37.3699,37.3874,70.6037,29.6403
yolov8x,68.2,ladder,8,GPU,L3_vlm,0.0039,0.0181,0.0049,0.0039,0.0094,0.0177,0.0078,0.0217,0.0533,481.3175,481.8568,100.0,29.8773
yolov8x,68.2,ladder,9,GPU,L1_light,0.1926,0.2721,0.0123,0.2025,0.3488,0.235,0.0144,0.2873,0.4744,23.0901,23.074,0.4785,15.1729
yolov8x,68.2,ladder,9,GPU,L1_heavy,0.1863,0.2621,0.0119,0.1848,0.342,0.235,0.0144,0.2873,0.4744,26.58,26.5501,7.9745,17.4581
yolov8x,68.2,ladder,9,GPU,L2_lm,0.1518,0.2338,0.0105,0.126,0.2653,0.2113,0.0131,0.2595,0.4369,36.8054,36.8124,66.4298,21.8511
yolov8x,68.2,ladder,9,GPU,L3_vlm,0.0204,0.0575,0.003,0.0116,0.0396,0.018,0.0018,0.0193,0.046,550.8611,508.2615,100.0,22.3651
yolov8x,68.2,ladder,10,GPU,L1_light,0.2037,0.3547,0.0574,0.1962,0.3953,0.2934,0.075,0.3388,0.5807,23.1234,23.1745,0.4587,10.8087
yolov8x,68.2,ladder,10,GPU,L1_heavy,0.1963,0.3475,0.0559,0.1894,0.3709,0.2934,0.075,0.3388,0.5807,26.1881,26.0817,9.4037,12.1643
yolov8x,68.2,ladder,10,GPU,L2_lm,0.141,0.2843,0.0353,0.1198,0.2673,0.2666,0.0676,0.3139,0.5257,37.0695,37.1742,63.8243,15.5148
yolov8x,68.2,ladder,10,GPU,L3_vlm,0.0052,0.0234,0.0004,0.0042,0.0083,0.0238,0.0074,0.0255,0.0469,1006.4795,511.985,100.0,15.8726
