detector,params_M,phase,sid,device,infer_mode,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11l,25.3,baseline,0,GPU,,L0,0.1012,0.1828,0.026,0.1954,0.5568,0.1302,0.034,0.241,0.69,12.0194,12.0163,0.0,10.8405
yolo11l,25.3,baseline,0,NPU,global8,L0,0.0539,0.1189,0.0115,0.1288,0.3503,0.0876,0.0244,0.1865,0.5077,40.093,40.2569,67.9083,29.3228
yolo11l,25.3,baseline,1,GPU,,L0,0.1071,0.2087,0.0111,0.1205,0.3462,0.1548,0.0116,0.1712,0.5683,11.9318,11.9397,0.0,10.7717
yolo11l,25.3,baseline,1,NPU,global8,L0,0.0483,0.0998,0.0065,0.0611,0.1374,0.0963,0.006,0.0886,0.4148,41.4752,41.4468,70.5279,29.5266
yolo11l,25.3,baseline,2,GPU,,L0,0.1481,0.2379,0.0401,0.2309,0.6003,0.1864,0.0443,0.3407,0.851,12.3784,12.4111,0.0,5.828
yolo11l,25.3,baseline,2,NPU,global8,L0,0.1,0.1623,0.0228,0.1241,0.4159,0.1373,0.03,0.2428,0.6816,40.5787,40.7665,68.9855,15.296
yolo11l,25.3,baseline,3,GPU,,L0,0.237,0.4849,0.0402,0.3876,0.3869,0.4572,0.0479,0.5265,0.6396,12.2393,12.2618,0.0,5.8316
yolo11l,25.3,baseline,3,NPU,global8,L0,0.1339,0.2846,0.0053,0.2505,0.2566,0.3356,0.0076,0.3583,0.5123,40.8311,40.4929,70.904,15.5576
yolo11l,25.3,baseline,4,GPU,,L0,0.2887,0.3569,0.0,0.1482,0.6764,0.2893,0.0,0.1477,0.6782,12.3171,12.334,0.0,8.274
yolo11l,25.3,baseline,4,NPU,global8,L0,0.2774,0.3413,0.0,0.1527,0.6588,0.222,0.0,0.1224,0.5255,41.4302,41.6095,71.0579,22.1064
yolo11l,25.3,baseline,5,GPU,,L0,0.5172,0.6111,0.037,0.2438,0.6874,0.556,0.0396,0.257,0.7487,12.3606,12.3789,0.0,5.4783
yolo11l,25.3,baseline,5,NPU,global8,L0,0.4405,0.6071,0.0248,0.1971,0.5894,0.4235,0.0247,0.1811,0.5856,43.0944,43.1232,76.6234,14.5832
yolo11l,25.3,baseline,6,GPU,,L0,0.1318,0.2424,0.0305,0.1198,0.4096,0.2061,0.0373,0.2132,0.6803,12.0019,12.005,0.0,5.6375
yolo11l,25.3,baseline,6,NPU,global8,L0,0.0763,0.1703,0.0174,0.0719,0.2144,0.1606,0.0286,0.1577,0.5507,40.7226,40.5623,70.4871,15.3816
yolo11l,25.3,baseline,7,GPU,,L0,0.2924,0.4531,0.0015,0.2701,0.5363,0.3773,0.0,0.3324,0.7262,12.0944,12.1111,0.0,5.6754
yolo11l,25.3,baseline,7,NPU,global8,L0,0.1652,0.3323,0.0005,0.1448,0.3051,0.2461,0.0,0.2002,0.5086,40.703,41.1886,65.9824,15.2897
yolo11l,25.3,baseline,8,GPU,,L0,0.1533,0.3018,0.0514,0.2196,0.4992,0.1851,0.0609,0.2702,0.6695,12.5431,12.5375,0.0,11.1723
yolo11l,25.3,baseline,8,NPU,global8,L0,0.0789,0.2019,0.0279,0.0777,0.3034,0.1136,0.0365,0.1291,0.5069,40.4013,40.6688,67.7843,29.135
yolo11l,25.3,baseline,9,GPU,,L0,0.1448,0.2107,0.0134,0.147,0.2964,0.1816,0.0164,0.2187,0.4185,12.4608,12.4753,0.0,8.2064
yolo11l,25.3,baseline,9,NPU,global8,L0,0.1306,0.2036,0.0057,0.0905,0.2437,0.16,0.0082,0.178,0.3457,44.4848,44.478,78.3843,21.7168
yolo11l,25.3,baseline,10,GPU,,L0,0.211,0.3643,0.0556,0.1935,0.4269,0.3007,0.0703,0.3251,0.6125,11.9906,12.0128,0.0,5.605
yolo11l,25.3,baseline,10,NPU,global8,L0,0.1293,0.2712,0.0248,0.1015,0.2559,0.2068,0.0469,0.2242,0.4212,42.0563,41.7164,74.1071,15.2764
yolo11l,25.3,baseline,11,GPU,,L0,0.3147,0.4389,0.0112,0.2299,0.6451,0.3323,0.013,0.2844,0.7767,12.3786,12.3891,0.0,11.1765
yolo11l,25.3,baseline,11,NPU,global8,L0,0.2723,0.3808,0.0049,0.1447,0.493,0.2528,0.0088,0.2071,0.6091,41.4135,41.2952,72.0117,29.5833
yolo11l,25.3,baseline,12,GPU,,L0,0.5041,0.6222,0.0957,0.4924,0.8901,0.5157,0.0957,0.4599,0.9236,12.2569,12.2814,0.0,5.7672
