detector,params_M,phase,sid,device,infer_mode,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11m,20.1,baseline,0,GPU,,L0,0.0833,0.1525,0.0241,0.1545,0.5102,0.1091,0.0297,0.1955,0.643,10.099,10.097,0.0,9.1113
yolo11m,20.1,baseline,0,NPU,global8,L0,0.0513,0.1077,0.0083,0.1275,0.3494,0.083,0.0195,0.1627,0.5081,39.6518,39.6205,64.6564,29.4576
yolo11m,20.1,baseline,1,GPU,,L0,0.1087,0.208,0.0123,0.1242,0.3485,0.1585,0.0128,0.1757,0.5864,9.9079,9.9313,0.0,8.9622
yolo11m,20.1,baseline,1,NPU,global8,L0,0.048,0.0954,0.0065,0.0579,0.14,0.0928,0.0066,0.0882,0.4035,37.7294,37.5924,58.6253,29.0416
yolo11m,20.1,baseline,2,GPU,,L0,0.1409,0.2265,0.0336,0.2159,0.5985,0.1775,0.0369,0.3171,0.8463,10.5358,10.5628,0.0,4.9618
yolo11m,20.1,baseline,2,NPU,global8,L0,0.0971,0.1557,0.0187,0.1199,0.418,0.1367,0.0243,0.2402,0.6973,39.388,39.3834,66.759,15.4092
yolo11m,20.1,baseline,3,GPU,,L0,0.2089,0.4514,0.01,0.3674,0.379,0.4123,0.0143,0.4903,0.5805,10.3625,10.3824,0.0,4.9392
yolo11m,20.1,baseline,3,NPU,global8,L0,0.1311,0.2803,0.0013,0.2387,0.2258,0.3325,0.0017,0.3441,0.5397,37.8533,38.2094,59.2992,15.3334
yolo11m,20.1,baseline,4,GPU,,L0,0.2544,0.3209,0.0003,0.159,0.6164,0.2544,0.0003,0.1589,0.617,10.6959,10.6957,0.0,7.1768
yolo11m,20.1,baseline,4,NPU,global8,L0,0.2598,0.3387,0.0,0.1601,0.6291,0.2088,0.0,0.1286,0.5051,40.8122,40.7972,70.8661,21.9631
yolo11m,20.1,baseline,5,GPU,,L0,0.4462,0.534,0.0323,0.2411,0.594,0.4747,0.0342,0.2524,0.6428,10.6637,10.6995,0.0,4.7361
yolo11m,20.1,baseline,5,NPU,global8,L0,0.394,0.526,0.017,0.195,0.548,0.3783,0.0159,0.1823,0.5492,40.1158,39.8564,65.4545,14.3581
yolo11m,20.1,baseline,6,GPU,,L0,0.1232,0.2239,0.0234,0.1065,0.4083,0.1911,0.0295,0.1861,0.6718,10.0682,10.0839,0.0,4.7368
yolo11m,20.1,baseline,6,NPU,global8,L0,0.0745,0.1551,0.0129,0.0658,0.2257,0.1478,0.0203,0.1371,0.5337,38.6784,39.0315,60.221,15.3106
yolo11m,20.1,baseline,7,GPU,,L0,0.2995,0.4658,0.001,0.2902,0.486,0.3822,0.0025,0.351,0.6642,10.1054,10.1179,0.0,4.7427
yolo11m,20.1,baseline,7,NPU,global8,L0,0.18,0.3609,0.0,0.1645,0.3022,0.2586,0.0025,0.2195,0.4945,39.5063,39.6704,64.3059,15.204
yolo11m,20.1,baseline,8,GPU,,L0,0.1438,0.2793,0.0333,0.217,0.4651,0.1762,0.0402,0.2692,0.6326,10.5568,10.5522,0.0,9.4053
yolo11m,20.1,baseline,8,NPU,global8,L0,0.0834,0.2067,0.0183,0.1071,0.2807,0.1192,0.025,0.1679,0.4679,39.5994,39.592,66.0511,29.0796
yolo11m,20.1,baseline,9,GPU,,L0,0.1293,0.1921,0.0091,0.1416,0.2649,0.1635,0.0113,0.2106,0.3909,10.4613,10.4705,0.0,6.8895
yolo11m,20.1,baseline,9,NPU,global8,L0,0.1185,0.1904,0.0023,0.0924,0.2264,0.1539,0.0046,0.1793,0.379,41.4801,41.4226,70.5285,21.6366
yolo11m,20.1,baseline,10,GPU,,L0,0.2051,0.3603,0.0528,0.1954,0.3954,0.2946,0.0672,0.3341,0.5734,10.0994,10.1346,0.0,4.7302
yolo11m,20.1,baseline,10,NPU,global8,L0,0.1342,0.2814,0.0296,0.1162,0.2579,0.2211,0.0495,0.2503,0.4242,38.5962,38.9591,63.0252,15.0876
yolo11m,20.1,baseline,11,GPU,,L0,0.3013,0.4254,0.0085,0.2186,0.6218,0.3198,0.0113,0.271,0.7506,10.3797,10.3964,0.0,9.3811
yolo11m,20.1,baseline,11,NPU,global8,L0,0.2582,0.3616,0.0056,0.1173,0.4714,0.2469,0.0083,0.1834,0.5916,39.7118,39.9097,64.194,29.1935
yolo11m,20.1,baseline,12,GPU,,L0,0.4598,0.5818,0.0851,0.4585,0.907,0.4748,0.0851,0.4272,0.9494,10.2508,10.2782,0.0,4.8279
yolo11m,20.1,baseline,12,NPU,global8,L0,0.4001,0.5265,0.0388,0.3185,0.8566,0.3701,0.0399,0.2836,0.8091,36.695,36.855,53.5809,15.0105
yolo11m,20.1,baseline,13,GPU,,L0,0.2398,0.3558,0.0234,0.1519,0.4695,0.2899,0.0252,0.2139,0.5981,9.9255,9.931,0.0,8.9023
yolo11m,20.1,baseline,13,NPU,global8,L0,0.1838,0.3119,0.0107,0.0932,0.3929,0.234,0.0116,0.1513,0.4503,38.9094,39.1956,65.0704,29.0244
yolo11m,20.1,baseline,14,GPU,,L0,0.4928,0.6192,0.1087,0.2213,0.575,0.5439,0.114,0.2455,0.638,9.6721,9.6989,0.0,8.7527
yolo11m,20.1,baseline,14,NPU,global8,L0,0.3976,0.5711,0.0761,0.1838,0.459,0.4463,0.0701,0.1934,0.5253,37.2594,37.4342,58.311,29.0696
yolo11m,20.1,baseline,15,GPU,,L0,0.1392,0.2507,0.03,0.1584,0.4027,0.2222,0.043,0.2598,0.692,9.9745,9.9935,0.0,8.8982
yolo11m,20.1,baseline,15,NPU,global8,L0,0.0859,0.1838,0.0114,0.087,0.2544,0.173,0.0199,0.193,0.5912,37.2121,37.5038,58.5831,28.6732
yolo11m,20.1,baseline,16,GPU,,L0,0.3361,0.4683,0.0153,0.4813,0.6237,0.3712,0.0193,0.5183,0.743,10.2214,10.2464,0.0,4.8129
yolo11m,20.1,baseline,16,NPU,global8,L0,0.3786,0.5625,0.0091,0.6004,0.6126,0.3962,0.0123,0.5872,0.7436,38.5924,38.8681,61.4325,15.2856
yolo11m,20.1,baseline,17,GPU,,L0,0.3026,0.4376,0.031,0.3201,0.7601,0.3383,0.0342,0.355,0.8455,10.2918,10.2871,0.0,4.8938
yolo11m,20.1,baseline,17,NPU,global8,L0,0.2246,0.3759,0.0214,0.2219,0.6045,0.2572,0.0242,0.2558,0.6726,37.7051,37.9555,58.6667,15.3826
yolo11m,20.1,baseline,18,GPU,,L0,0.2208,0.2729,0.0263,0.116,0.7849,0.2468,0.0303,0.1756,0.8773,9.8459,9.8609,0.0,8.8996
yolo11m,20.1,baseline,18,NPU,global8,L0,0.1778,0.2398,0.011,0.077,0.6571,0.1939,0.0148,0.1415,0.7238,37.6231,37.6563,58.8076,28.9402
yolo11m,20.1,baseline,19,GPU,,L0,0.1432,0.2481,0.0239,0.1591,0.4082,0.2286,0.037,0.3297,0.6717,10.0706,10.109,0.0,4.7182
yolo11m,20.1,baseline,19,NPU,global8,L0,0.0836,0.1617,0.0129,0.0743,0.2213,0.1458,0.0197,0.1838,0.466,39.9419,39.6264,64.7727,15.1473
yolo11m,20.1,baseline,20,GPU,,L0,0.1241,0.2076,0.0138,0.1045,0.3727,0.194,0.0153,0.2361,0.6421,10.0293,10.0133,0.0,4.7036
yolo11m,20.1,baseline,20,NPU,global8,L0,0.0861,0.1556,0.0145,0.0758,0.2077,0.1467,0.0133,0.1757,0.4653,38.7872,39.3908,64.4258,15.2544
yolo11m,20.1,baseline,21,GPU,,L0,0.1322,0.3232,0.0173,0.0754,0.2754,0.3346,0.0203,0.3816,0.55,10.1899,10.2043,0.0,4.7932
yolo11m,20.1,baseline,21,NPU,global8,L0,0.0647,0.1501,0.0019,0.031,0.1818,0.2156,0.004,0.2476,0.3708,40.1414,40.2916,67.0455,15.4015
yolo11m,20.1,baseline,22,GPU,,L0,0.2984,0.4461,0.0107,0.2758,0.693,0.3109,0.0113,0.278,0.7372,10.4861,10.4964,0.0,4.9934
yolo11m,20.1,baseline,22,NPU,global8,L0,0.2399,0.4087,0.0104,0.2245,0.5841,0.2208,0.0091,0.1863,0.5579,40.8599,40.6116,70.0565,15.6051
yolo11m,20.1,baseline,23,GPU,,L0,0.1849,0.3605,0.0506,0.2117,0.4998,0.3309,0.0771,0.4774,0.6989,10.4205,10.4363,0.0,4.9647
yolo11m,20.1,baseline,23,NPU,global8,L0,0.1125,0.2377,0.0373,0.1139,0.3307,0.2384,0.0574,0.3299,0.5514,39.8861,40.1875,64.3258,15.5225
