detector,params_M,phase,sid,device,infer_mode,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11s,9.4,baseline,0,GPU,,L0,0.0677,0.1161,0.0178,0.1355,0.4507,0.0823,0.0204,0.1552,0.5601,8.2741,8.3123,0.0,7.5036
yolo11s,9.4,baseline,0,NPU,global8,L0,0.0434,0.0873,0.0087,0.0736,0.3303,0.0631,0.013,0.1013,0.4745,37.1903,37.294,59.919,28.7733
yolo11s,9.4,baseline,1,GPU,,L0,0.0739,0.156,0.0033,0.0838,0.2553,0.107,0.0033,0.1086,0.4311,8.1128,8.137,0.0,7.3456
yolo11s,9.4,baseline,1,NPU,global8,L0,0.0365,0.0776,0.0019,0.0397,0.1054,0.0758,0.0025,0.0664,0.3266,35.874,36.0519,53.4301,28.4299
yolo11s,9.4,baseline,2,GPU,,L0,0.1214,0.1914,0.0164,0.1749,0.5773,0.1492,0.0182,0.2557,0.7927,8.6442,8.6832,0.0,4.0798
yolo11s,9.4,baseline,2,NPU,global8,L0,0.0878,0.1324,0.0094,0.0904,0.4307,0.115,0.0111,0.181,0.6793,37.0313,37.0763,57.1046,14.9521
yolo11s,9.4,baseline,3,GPU,,L0,0.1557,0.375,0.0034,0.2575,0.3488,0.3315,0.005,0.3534,0.5203,8.7489,8.7704,0.0,4.1734
yolo11s,9.4,baseline,3,NPU,global8,L0,0.0984,0.2265,0.0012,0.1802,0.2306,0.276,0.0025,0.2687,0.4894,35.8155,36.0309,51.6883,14.9634
yolo11s,9.4,baseline,4,GPU,,L0,0.2133,0.283,0.0,0.1327,0.532,0.2133,0.0,0.1327,0.5324,8.789,8.783,0.0,5.8951
yolo11s,9.4,baseline,4,NPU,global8,L0,0.2178,0.263,0.0,0.0809,0.5712,0.1876,0.0,0.0694,0.4903,37.404,37.9404,60.4478,21.4886
yolo11s,9.4,baseline,5,GPU,,L0,0.4337,0.5258,0.0179,0.2182,0.5954,0.4607,0.019,0.231,0.6421,8.9516,8.9698,0.0,3.9716
yolo11s,9.4,baseline,5,NPU,global8,L0,0.3814,0.4967,0.0109,0.1641,0.5364,0.3935,0.0103,0.1659,0.572,35.1627,35.6025,52.0776,13.9306
yolo11s,9.4,baseline,6,GPU,,L0,0.0971,0.1826,0.0117,0.0831,0.3483,0.1493,0.0139,0.1396,0.5766,8.2796,8.2966,0.0,3.8985
