detector,params_M,phase,sid,device,infer_mode,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11x,56.9,baseline,0,GPU,,L0,0.1108,0.1982,0.0356,0.1922,0.5811,0.1432,0.0442,0.2453,0.7205,14.3271,14.3291,0.0,12.9251
yolo11x,56.9,baseline,0,NPU,global8,L0,0.0606,0.1306,0.0111,0.157,0.3426,0.0924,0.0291,0.1851,0.4628,49.0549,48.8641,89.8973,30.0171
yolo11x,56.9,baseline,1,GPU,,L0,0.1246,0.2331,0.0178,0.1432,0.3916,0.1786,0.0184,0.2155,0.6197,14.0272,14.0515,0.0,12.6745
yolo11x,56.9,baseline,1,NPU,global8,L0,0.0492,0.1071,0.0093,0.0662,0.1315,0.0925,0.008,0.0959,0.3772,47.8762,47.5587,88.3527,30.0248
yolo11x,56.9,baseline,2,GPU,,L0,0.1656,0.271,0.0578,0.274,0.5988,0.2086,0.0642,0.3918,0.8428,14.6594,14.6849,0.0,6.8947
yolo11x,56.9,baseline,2,NPU,global8,L0,0.105,0.1733,0.0292,0.1499,0.3939,0.1342,0.0354,0.2502,0.5678,47.0873,47.4128,84.9498,15.6062
yolo11x,56.9,baseline,3,GPU,,L0,0.2332,0.4974,0.025,0.3965,0.3969,0.4574,0.032,0.5377,0.6218,14.4674,14.4935,0.0,6.8919
yolo11x,56.9,baseline,3,NPU,global8,L0,0.1284,0.295,0.0006,0.2406,0.2164,0.315,0.0019,0.3319,0.4382,48.0826,48.0918,86.6221,15.8299
yolo11x,56.9,baseline,4,GPU,,L0,0.2764,0.3319,0.0167,0.1616,0.6434,0.2767,0.0167,0.1617,0.6434,14.5437,14.5555,0.0,9.7629
yolo11x,56.9,baseline,4,NPU,global8,L0,0.2874,0.3463,0.0052,0.1605,0.6825,0.2102,0.003,0.1175,0.4971,45.4608,45.9943,83.4437,22.2267
yolo11x,56.9,baseline,5,GPU,,L0,0.5754,0.682,0.0571,0.2593,0.7398,0.622,0.0607,0.2722,0.8076,14.5542,14.5775,0.0,6.4505
yolo11x,56.9,baseline,5,NPU,global8,L0,0.4675,0.6567,0.0314,0.2058,0.6172,0.4015,0.029,0.1699,0.5447,49.7622,49.4647,91.0112,14.6981
yolo11x,56.9,baseline,6,GPU,,L0,0.1514,0.2698,0.0369,0.14,0.4528,0.2397,0.0446,0.2716,0.7303,14.3265,14.3261,0.0,6.7265
yolo11x,56.9,baseline,6,NPU,global8,L0,0.0726,0.1633,0.0125,0.0681,0.2056,0.1415,0.0223,0.1431,0.4683,50.1241,50.0359,92.5795,15.6683
yolo11x,56.9,baseline,7,GPU,,L0,0.3129,0.4869,0.0012,0.3287,0.4895,0.4063,0.0,0.4027,0.6801,14.3633,14.3836,0.0,6.7391
yolo11x,56.9,baseline,7,NPU,global8,L0,0.1681,0.3539,0.0,0.1673,0.25,0.2351,0.0,0.2202,0.4081,47.5331,47.2584,86.9565,15.5557
yolo11x,56.9,baseline,8,GPU,,L0,0.1734,0.3215,0.0711,0.2393,0.4983,0.2097,0.0827,0.2948,0.6823,14.7266,14.7202,0.0,13.1149
yolo11x,56.9,baseline,8,NPU,global8,L0,0.091,0.2402,0.0411,0.1039,0.266,0.1202,0.0426,0.1657,0.418,48.923,48.6912,88.4283,29.6668
yolo11x,56.9,baseline,9,GPU,,L0,0.1888,0.2658,0.0115,0.1962,0.3567,0.2314,0.0151,0.2824,0.4887,14.672,14.6768,0.0,9.6532
yolo11x,56.9,baseline,9,NPU,global8,L0,0.1363,0.218,0.0051,0.0943,0.2484,0.1651,0.0074,0.1913,0.3512,47.8973,48.0806,87.3239,21.9359
yolo11x,56.9,baseline,10,GPU,,L0,0.2398,0.4062,0.0676,0.2191,0.4616,0.3391,0.0882,0.3615,0.6635,14.277,14.2892,0.0,6.6662
yolo11x,56.9,baseline,10,NPU,global8,L0,0.1372,0.2922,0.0282,0.096,0.2668,0.2214,0.0569,0.2175,0.4502,47.0367,47.0269,87.0,15.5268
yolo11x,56.9,baseline,11,GPU,,L0,0.3203,0.4385,0.0131,0.2628,0.6086,0.3398,0.0156,0.319,0.7485,14.578,14.5903,0.0,13.1599
yolo11x,56.9,baseline,11,NPU,global8,L0,0.2726,0.3707,0.0043,0.1424,0.4609,0.2175,0.0085,0.1835,0.5009,49.5163,49.4668,87.3043,29.9411
