detector,params_M,phase,sid,device,infer_mode,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11l,25.3,ladder,0,GPU,,L1_light,0.101,0.1828,0.026,0.1951,0.5556,0.1302,0.034,0.241,0.69,26.2957,26.2884,0.4592,23.7025
yolo11l,25.3,ladder,0,GPU,,L1_heavy,0.0794,0.1517,0.0175,0.1445,0.4834,0.1287,0.0338,0.2381,0.6817,30.7517,30.742,31.3225,27.4406
yolo11l,25.3,ladder,0,GPU,,L2_lm,0.0592,0.1274,0.0105,0.1098,0.385,0.1078,0.0277,0.1996,0.5661,40.49,40.5058,83.4037,30.0339
yolo11l,25.3,ladder,0,GPU,,L3_vlm,0.0026,0.0091,0.001,0.0007,0.026,0.0078,0.0028,0.0113,0.0401,647.8755,672.0138,100.0,30.2421
yolo11l,25.3,ladder,1,GPU,,L1_light,0.1069,0.2086,0.011,0.1204,0.3459,0.1546,0.0116,0.171,0.5683,27.1455,27.1454,0.9195,24.4482
yolo11l,25.3,ladder,1,GPU,,L1_heavy,0.0765,0.1656,0.0106,0.0913,0.2219,0.1542,0.0116,0.1707,0.5681,30.4856,30.4826,32.4511,27.4226
yolo11l,25.3,ladder,1,GPU,,L2_lm,0.0556,0.1243,0.0096,0.0703,0.1406,0.1339,0.0102,0.1462,0.4916,38.259,38.2822,72.679,30.0441
yolo11l,25.3,ladder,1,GPU,,L3_vlm,0.0031,0.0133,0.0005,0.0051,0.0045,0.0109,0.0015,0.0152,0.0228,645.0914,639.0881,100.0,30.6778
yolo11l,25.3,ladder,2,GPU,,L1_light,0.1471,0.2375,0.0397,0.2302,0.599,0.1864,0.0443,0.3407,0.851,27.071,27.0442,0.9112,12.6927
yolo11l,25.3,ladder,2,GPU,,L1_heavy,0.1257,0.2057,0.035,0.1758,0.4962,0.1861,0.0443,0.34,0.85,30.4927,30.5365,30.5936,14.3023
yolo11l,25.3,ladder,2,GPU,,L2_lm,0.1043,0.1727,0.0275,0.13,0.4053,0.1536,0.0367,0.2778,0.6995,40.4858,40.433,83.7079,15.615
yolo11l,25.3,ladder,2,GPU,,L3_vlm,0.0128,0.0396,0.0017,0.0086,0.0598,0.012,0.0046,0.0169,0.0365,0.0,660.7727,0.0,15.8593
yolo11l,25.3,ladder,3,GPU,,L1_light,0.2361,0.4802,0.0402,0.3874,0.3857,0.4572,0.0479,0.5265,0.6396,27.148,27.169,0.4494,12.9142
yolo11l,25.3,ladder,3,GPU,,L1_heavy,0.2021,0.4088,0.0393,0.3487,0.3136,0.4546,0.0478,0.525,0.6371,31.3103,31.3275,34.1629,14.7964
yolo11l,25.3,ladder,3,GPU,,L2_lm,0.1563,0.3262,0.0325,0.2975,0.223,0.3664,0.0414,0.4216,0.519,41.2558,41.7131,88.0,15.866
yolo11l,25.3,ladder,3,GPU,,L3_vlm,0.0098,0.0406,0.0001,0.0107,0.0115,0.0307,0.0053,0.0346,0.0256,0.0,624.7041,0.0,16.2432
yolo11l,25.3,ladder,4,GPU,,L1_light,0.2887,0.3571,0.0,0.1482,0.6765,0.2893,0.0,0.1477,0.6782,26.8685,26.8962,0.7812,18.0331
yolo11l,25.3,ladder,4,GPU,,L1_heavy,0.2886,0.3566,0.0,0.148,0.6736,0.2881,0.0,0.1477,0.6725,31.337,31.3142,36.5204,20.9311
yolo11l,25.3,ladder,4,GPU,,L2_lm,0.287,0.3552,0.0,0.1481,0.6708,0.2378,0.0,0.122,0.557,40.1387,40.1655,80.7985,22.3558
yolo11l,25.3,ladder,4,GPU,,L3_vlm,0.299,0.3739,0.0,0.1422,0.6871,0.0203,0.0,0.01,0.0444,778.1103,663.8407,100.0,23.2356
yolo11l,25.3,ladder,5,GPU,,L1_light,0.5159,0.611,0.037,0.2438,0.6855,0.556,0.0396,0.257,0.7487,26.1329,26.1055,0.4854,11.5469
yolo11l,25.3,ladder,5,GPU,,L1_heavy,0.4921,0.611,0.0347,0.2322,0.6468,0.554,0.0391,0.2551,0.7462,30.5511,30.6084,32.1168,13.5072
yolo11l,25.3,ladder,5,GPU,,L2_lm,0.4527,0.608,0.0312,0.2176,0.5922,0.4674,0.0331,0.2146,0.631,39.6133,39.6788,83.5777,14.7312
yolo11l,25.3,ladder,5,GPU,,L3_vlm,0.0403,0.1494,0.0007,0.021,0.0498,0.0414,0.0045,0.0168,0.0534,0.0,575.3453,0.0,14.9598
yolo11l,25.3,ladder,6,GPU,,L1_light,0.1304,0.2412,0.0301,0.1159,0.4078,0.2061,0.0373,0.2132,0.6803,26.3968,26.3853,0.9112,12.3835
yolo11l,25.3,ladder,6,GPU,,L1_heavy,0.1031,0.2036,0.0247,0.0962,0.2932,0.2048,0.0369,0.2125,0.6713,30.9081,30.9049,33.0275,14.4113
yolo11l,25.3,ladder,6,GPU,,L2_lm,0.0777,0.175,0.0195,0.071,0.2184,0.1714,0.032,0.1721,0.5704,40.1823,39.9899,81.7175,15.6546
yolo11l,25.3,ladder,6,GPU,,L3_vlm,0.0042,0.0134,0.0017,0.0031,0.0086,0.0175,0.0041,0.0234,0.0406,0.0,633.8248,0.0,15.8464
yolo11l,25.3,ladder,7,GPU,,L1_light,0.2924,0.4531,0.0015,0.2701,0.5363,0.3773,0.0,0.3324,0.7262,26.9863,26.9322,0.0,12.613
yolo11l,25.3,ladder,7,GPU,,L1_heavy,0.2481,0.4309,0.0015,0.2314,0.4403,0.3754,0.0,0.3307,0.7188,30.8415,30.7602,31.7972,14.2824
yolo11l,25.3,ladder,7,GPU,,L2_lm,0.1917,0.3813,0.001,0.182,0.332,0.3124,0.0,0.2704,0.6116,40.3085,40.5507,81.3559,15.5848
yolo11l,25.3,ladder,7,GPU,,L3_vlm,0.0118,0.0424,0.0,0.011,0.0234,0.0239,0.0,0.0217,0.0429,0.0,611.7025,0.0,15.9051
yolo11l,25.3,ladder,8,GPU,,L1_light,0.153,0.3017,0.0511,0.2193,0.4985,0.1851,0.0609,0.2702,0.6695,26.3909,26.3933,0.4651,23.5071
yolo11l,25.3,ladder,8,GPU,,L1_heavy,0.1272,0.2821,0.0462,0.1679,0.3949,0.1836,0.0607,0.2658,0.6661,31.6773,31.6427,36.8545,27.9268
yolo11l,25.3,ladder,8,GPU,,L2_lm,0.1032,0.2547,0.0362,0.1346,0.2986,0.1523,0.0497,0.2228,0.5359,41.059,40.8923,88.0576,29.6645
yolo11l,25.3,ladder,8,GPU,,L3_vlm,0.0033,0.0126,0.0056,0.0025,0.0103,0.0121,0.006,0.0167,0.034,539.2326,664.4998,100.0,29.904
yolo11l,25.3,ladder,9,GPU,,L1_light,0.1434,0.2121,0.0134,0.1447,0.2938,0.1793,0.0164,0.2182,0.4175,27.046,27.0286,1.76,17.7165
yolo11l,25.3,ladder,9,GPU,,L1_heavy,0.1212,0.1924,0.0125,0.0997,0.2383,0.1783,0.0161,0.2143,0.4137,32.0123,32.1471,39.5122,20.7487
yolo11l,25.3,ladder,9,GPU,,L2_lm,0.1027,0.1729,0.0106,0.0757,0.1978,0.1509,0.0134,0.185,0.3603,40.5864,40.6358,83.89,21.919
yolo11l,25.3,ladder,9,GPU,,L3_vlm,0.0051,0.0217,0.0014,0.0028,0.0096,0.0132,0.0019,0.0123,0.0318,573.3303,656.6345,100.0,22.3267
yolo11l,25.3,ladder,10,GPU,,L1_light,0.2099,0.3633,0.055,0.1919,0.4258,0.3007,0.0703,0.3251,0.6125,26.8164,26.7984,0.6881,12.4968
yolo11l,25.3,ladder,10,GPU,,L1_heavy,0.1777,0.3348,0.0452,0.1474,0.3608,0.2999,0.0699,0.3251,0.6123,30.4469,30.4365,32.4138,14.1632
yolo11l,25.3,ladder,10,GPU,,L2_lm,0.1383,0.2885,0.0311,0.1092,0.2652,0.252,0.0587,0.2716,0.5093,40.0002,40.0523,86.5922,15.558
yolo11l,25.3,ladder,10,GPU,,L3_vlm,0.0068,0.0265,0.0002,0.0038,0.0133,0.0209,0.005,0.0189,0.0457,0.0,654.0954,0.0,16.3532
yolo11l,25.3,ladder,11,GPU,,L1_light,0.3143,0.4387,0.0112,0.2285,0.6449,0.3323,0.013,0.2844,0.7767,26.4399,26.4311,1.2629,23.8313
yolo11l,25.3,ladder,11,GPU,,L1_heavy,0.3002,0.4244,0.0085,0.1948,0.5666,0.3309,0.013,0.2827,0.7743,31.1851,31.1907,36.6051,27.9661
yolo11l,25.3,ladder,11,GPU,,L2_lm,0.2842,0.4016,0.006,0.1566,0.4926,0.2708,0.0107,0.2305,0.6178,41.1905,41.1696,86.4286,30.0957
yolo11l,25.3,ladder,11,GPU,,L3_vlm,0.1725,0.2965,0.0007,0.0639,0.2808,0.0238,0.004,0.0201,0.0465,686.5862,658.551,100.0,30.9535
yolo11l,25.3,ladder,12,GPU,,L1_light,0.5041,0.6222,0.0957,0.4923,0.8898,0.5157,0.0957,0.4599,0.9236,26.2925,26.2905,0.4556,12.339
yolo11l,25.3,ladder,12,GPU,,L1_heavy,0.4955,0.6168,0.0953,0.4472,0.8704,0.5132,0.0954,0.4548,0.9186,31.2824,31.2547,36.4679,14.5744
yolo11l,25.3,ladder,12,GPU,,L2_lm,0.4876,0.6178,0.0938,0.4426,0.8474,0.4259,0.081,0.3776,0.762,40.3048,40.0921,84.4444,15.6468
yolo11l,25.3,ladder,12,GPU,,L3_vlm,0.2677,0.4044,0.0796,0.1963,0.4258,0.0327,0.0078,0.0281,0.0554,0.0,625.5832,0.0,15.6404
yolo11l,25.3,ladder,13,GPU,,L1_light,0.2467,0.3699,0.03,0.1761,0.4462,0.3026,0.0331,0.2499,0.5793,26.0961,26.0882,0.578,23.3662
yolo11l,25.3,ladder,13,GPU,,L1_heavy,0.224,0.3612,0.0286,0.1484,0.4131,0.2999,0.0329,0.2468,0.5693,31.1012,31.0081,33.2164,27.4614
yolo11l,25.3,ladder,13,GPU,,L2_lm,0.1859,0.3346,0.0244,0.1167,0.3603,0.268,0.0287,0.2145,0.4734,39.2197,39.2347,77.9452,29.8524
yolo11l,25.3,ladder,13,GPU,,L3_vlm,0.0124,0.0364,0.0018,0.0086,0.0293,0.0225,0.0044,0.0169,0.0333,698.5749,633.9469,100.0,30.4311
yolo11l,25.3,ladder,14,GPU,,L1_light,0.5569,0.6917,0.1301,0.3201,0.7789,0.6171,0.1364,0.3578,0.8559,26.5026,26.5006,0.9185,23.8941
yolo11l,25.3,ladder,14,GPU,,L1_heavy,0.5226,0.6884,0.1286,0.3135,0.7363,0.6166,0.1364,0.3575,0.8549,29.9949,29.975,29.0323,26.9357
yolo11l,25.3,ladder,14,GPU,,L2_lm,0.4692,0.6845,0.1268,0.2998,0.6687,0.5266,0.1167,0.3097,0.7202,39.1349,39.1444,77.5815,30.0131
yolo11l,25.3,ladder,14,GPU,,L3_vlm,0.1388,0.2256,0.0823,0.1569,0.2802,0.0397,0.0098,0.0213,0.048,631.3549,623.3065,100.0,30.5437
yolo11l,25.3,ladder,15,GPU,,L1_light,0.1482,0.266,0.0304,0.1653,0.4218,0.2358,0.0466,0.2729,0.7174,27.1114,27.0961,0.9313,24.105
yolo11l,25.3,ladder,15,GPU,,L1_heavy,0.121,0.2452,0.0271,0.1325,0.3173,0.2335,0.0466,0.2698,0.7097,30.9214,30.8649,34.5838,27.2739
yolo11l,25.3,ladder,15,GPU,,L2_lm,0.0911,0.2138,0.0192,0.0938,0.2422,0.197,0.0371,0.2301,0.6012,39.6399,39.6196,81.59,29.6237
yolo11l,25.3,ladder,15,GPU,,L3_vlm,0.0023,0.0079,0.0002,0.0025,0.0027,0.0181,0.0043,0.0214,0.0414,598.0567,616.4068,100.0,30.2056
yolo11l,25.3,ladder,16,GPU,,L1_light,0.346,0.4992,0.0225,0.6968,0.6084,0.385,0.025,0.7432,0.7374,27.0704,27.0969,0.9112,12.7173
yolo11l,25.3,ladder,16,GPU,,L1_heavy,0.3181,0.4868,0.0208,0.6505,0.5338,0.3828,0.0247,0.7077,0.734,31.8595,31.7722,38.4793,14.7516
yolo11l,25.3,ladder,16,GPU,,L2_lm,0.2929,0.4827,0.0191,0.5957,0.4659,0.3212,0.0209,0.5534,0.6192,39.5866,39.7568,79.3956,15.6812
yolo11l,25.3,ladder,16,GPU,,L3_vlm,0.0117,0.0472,0.0013,0.0836,0.0373,0.0245,0.0023,0.0743,0.0372,0.0,694.4319,0.0,15.9727
yolo11l,25.3,ladder,17,GPU,,L1_light,0.2721,0.4053,0.0299,0.3003,0.6277,0.3091,0.0343,0.336,0.7218,27.0937,27.0854,1.3483,12.8745
yolo11l,25.3,ladder,17,GPU,,L1_heavy,0.2513,0.4,0.028,0.276,0.5812,0.3077,0.034,0.3338,0.7189,30.6349,30.6196,30.2483,14.4936
yolo11l,25.3,ladder,17,GPU,,L2_lm,0.2147,0.3767,0.0248,0.2358,0.5001,0.2618,0.03,0.2837,0.6105,39.2807,39.2564,81.016,15.8757
yolo11l,25.3,ladder,17,GPU,,L3_vlm,0.0307,0.0824,0.0008,0.0336,0.0985,0.0204,0.005,0.0201,0.0396,0.0,673.1825,0.0,16.1573
yolo11l,25.3,ladder,18,GPU,,L1_light,0.2178,0.2772,0.0271,0.117,0.7676,0.2444,0.0313,0.1693,0.8637,26.955,26.9781,1.7241,24.298
yolo11l,25.3,ladder,18,GPU,,L1_heavy,0.2055,0.2702,0.0248,0.1013,0.7225,0.2438,0.0312,0.1692,0.8608,30.7626,30.692,32.4106,27.5495
yolo11l,25.3,ladder,18,GPU,,L2_lm,0.1903,0.2668,0.0186,0.0867,0.6628,0.2151,0.0273,0.1505,0.7507,38.1903,38.2076,74.6032,30.0557
yolo11l,25.3,ladder,18,GPU,,L3_vlm,0.0721,0.1335,0.0022,0.0047,0.2146,0.0142,0.0023,0.0077,0.0499,604.1384,649.8153,100.0,30.5429
yolo11l,25.3,ladder,19,GPU,,L1_light,0.1309,0.2383,0.0265,0.1598,0.366,0.2242,0.0405,0.3441,0.6289,26.8245,26.9605,0.9174,12.5727
yolo11l,25.3,ladder,19,GPU,,L1_heavy,0.1062,0.2061,0.0232,0.1264,0.3008,0.2237,0.0405,0.3423,0.6277,31.439,31.3804,35.8621,14.602
yolo11l,25.3,ladder,19,GPU,,L2_lm,0.0859,0.182,0.0195,0.0969,0.2202,0.1926,0.0349,0.2914,0.5432,38.7393,38.494,78.3422,15.5596
yolo11l,25.3,ladder,19,GPU,,L3_vlm,0.0051,0.0146,0.0029,0.0006,0.0143,0.0158,0.0045,0.0205,0.0404,0.0,658.0617,0.0,15.7943
yolo11l,25.3,ladder,20,GPU,,L1_light,0.122,0.2099,0.0115,0.1056,0.3744,0.193,0.0135,0.2376,0.6615,27.0518,27.0432,0.9112,12.6921
yolo11l,25.3,ladder,20,GPU,,L1_heavy,0.1037,0.1803,0.0105,0.0915,0.2935,0.193,0.0135,0.2373,0.6612,30.661,30.5407,32.8767,14.3026
yolo11l,25.3,ladder,20,GPU,,L2_lm,0.0852,0.1582,0.0087,0.0745,0.2159,0.1667,0.0116,0.2054,0.5599,38.933,38.7925,76.9437,15.6446
yolo11l,25.3,ladder,20,GPU,,L3_vlm,0.0104,0.0344,0.0006,0.0088,0.0218,0.0133,0.0028,0.0152,0.0456,0.0,688.1496,0.0,15.8282
yolo11l,25.3,ladder,21,GPU,,L1_light,0.1363,0.3262,0.0185,0.0769,0.2837,0.3442,0.0215,0.3905,0.5561,26.2545,26.2688,0.4556,12.3288
yolo11l,25.3,ladder,21,GPU,,L1_heavy,0.1067,0.249,0.0164,0.0518,0.2425,0.3422,0.0212,0.3887,0.5531,31.0025,30.9356,32.1101,14.4254
yolo11l,25.3,ladder,21,GPU,,L2_lm,0.0797,0.1807,0.0138,0.0314,0.2034,0.2733,0.0182,0.305,0.4528,41.7826,41.5742,87.5723,15.6493
yolo11l,25.3,ladder,21,GPU,,L3_vlm,0.0078,0.0276,0.0005,0.002,0.0192,0.0181,0.0023,0.0184,0.0368,0.0,659.9726,0.0,15.8402
