detector,params_M,phase,sid,device,infer_mode,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11m,20.1,ladder,0,GPU,,L1_light,0.0826,0.151,0.0237,0.1529,0.5074,0.1091,0.0297,0.1955,0.643,21.7965,21.8045,2.1814,19.6662
yolo11m,20.1,ladder,0,GPU,,L1_heavy,0.0797,0.1452,0.0222,0.1466,0.5009,0.1091,0.0297,0.1955,0.643,24.858,24.849,7.9219,22.4094
yolo11m,20.1,ladder,0,GPU,,L2_lm,0.0524,0.1113,0.0135,0.0852,0.3745,0.1004,0.0281,0.1772,0.5969,35.3223,35.4707,55.8025,29.8227
yolo11m,20.1,ladder,0,GPU,,L3_vlm,0.0025,0.0097,0.0002,0.0013,0.0298,0.0085,0.0035,0.0111,0.0431,564.8575,538.7586,100.0,30.1725
yolo11m,20.1,ladder,1,GPU,,L1_light,0.1073,0.2076,0.0123,0.1227,0.3455,0.1585,0.0128,0.1757,0.5864,21.7571,21.7628,2.7555,19.6277
yolo11m,20.1,ladder,1,GPU,,L1_heavy,0.1038,0.2033,0.0121,0.1188,0.3311,0.1579,0.0127,0.1755,0.5856,24.5717,24.5933,5.5236,22.1295
yolo11m,20.1,ladder,1,GPU,,L2_lm,0.064,0.1405,0.0113,0.0804,0.1658,0.151,0.0122,0.1689,0.5542,33.9522,34.0047,48.4487,29.5442
yolo11m,20.1,ladder,1,GPU,,L3_vlm,0.003,0.0137,0.0016,0.0059,0.0051,0.0128,0.0018,0.0177,0.039,515.0923,528.181,100.0,30.6365
yolo11m,20.1,ladder,2,GPU,,L1_light,0.1396,0.2244,0.0336,0.2125,0.5937,0.1775,0.0369,0.3171,0.8463,22.1408,22.2104,2.7335,10.4266
yolo11m,20.1,ladder,2,GPU,,L1_heavy,0.1373,0.2201,0.0328,0.2072,0.5839,0.1775,0.0369,0.3171,0.8463,24.9151,24.9571,6.1503,11.7162
yolo11m,20.1,ladder,2,GPU,,L2_lm,0.1045,0.1729,0.025,0.1304,0.4244,0.1587,0.0337,0.284,0.7723,37.286,37.4258,67.4419,15.6167
yolo11m,20.1,ladder,2,GPU,,L3_vlm,0.0166,0.0521,0.0035,0.0149,0.0833,0.0152,0.0042,0.0255,0.049,389.3071,494.4967,100.0,15.825
yolo11m,20.1,ladder,3,GPU,,L1_light,0.2058,0.4443,0.0098,0.3641,0.3761,0.4123,0.0143,0.4903,0.5805,22.373,22.2839,3.8202,10.5958
yolo11m,20.1,ladder,3,GPU,,L1_heavy,0.1976,0.4305,0.009,0.3562,0.3582,0.4123,0.0143,0.4903,0.5805,24.9028,24.8873,7.4157,11.832
yolo11m,20.1,ladder,3,GPU,,L2_lm,0.1402,0.313,0.0076,0.282,0.2295,0.3762,0.0136,0.4434,0.5209,36.2081,36.3213,63.6139,15.7767
