detector,params_M,phase,sid,device,infer_mode,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11s,9.4,ladder,0,GPU,,L1_light,0.0675,0.1159,0.0176,0.1341,0.4493,0.0823,0.0204,0.1552,0.5601,18.5528,18.5608,0.9185,16.7415
yolo11s,9.4,ladder,0,GPU,,L1_heavy,0.0673,0.1162,0.0177,0.1353,0.4478,0.0823,0.0204,0.1552,0.5601,21.5645,21.5349,2.5258,19.424
yolo11s,9.4,ladder,0,GPU,,L2_lm,0.0548,0.1046,0.0135,0.1082,0.3743,0.0809,0.02,0.1542,0.5465,31.5251,31.5304,33.683,28.0646
yolo11s,9.4,ladder,0,GPU,,L3_vlm,0.0032,0.0111,0.0006,0.001,0.0338,0.0082,0.0024,0.0125,0.0501,464.7739,435.4305,100.0,30.4826
yolo11s,9.4,ladder,1,GPU,,L1_light,0.0727,0.153,0.0033,0.0829,0.2508,0.107,0.0033,0.1086,0.4311,19.5163,19.5016,2.5258,17.5913
yolo11s,9.4,ladder,1,GPU,,L1_heavy,0.0734,0.1546,0.0034,0.0835,0.2541,0.107,0.0033,0.1086,0.4311,21.1487,21.1103,1.9518,19.0397
yolo11s,9.4,ladder,1,GPU,,L2_lm,0.0541,0.1155,0.0031,0.0664,0.1555,0.1065,0.0033,0.1073,0.4269,29.9872,29.9984,29.7578,26.9545
yolo11s,9.4,ladder,1,GPU,,L3_vlm,0.0043,0.0144,0.0004,0.0048,0.0135,0.0131,0.0013,0.0115,0.0519,396.3348,431.0208,97.5,30.1739
yolo11s,9.4,ladder,2,GPU,,L1_light,0.1209,0.1896,0.0163,0.1734,0.5768,0.1492,0.0182,0.2557,0.7927,19.7022,19.6884,1.3667,9.2443
yolo11s,9.4,ladder,2,GPU,,L1_heavy,0.1201,0.1893,0.0164,0.1726,0.5724,0.1492,0.0182,0.2557,0.7927,22.0747,22.1093,2.7335,10.3808
yolo11s,9.4,ladder,2,GPU,,L2_lm,0.1016,0.1604,0.0147,0.1245,0.4618,0.1465,0.0178,0.2519,0.7863,31.8776,31.9512,38.6574,14.7843
yolo11s,9.4,ladder,2,GPU,,L3_vlm,0.0208,0.0564,0.0016,0.017,0.0979,0.0149,0.0038,0.024,0.065,455.1151,448.6856,100.0,16.1539
yolo11s,9.4,ladder,3,GPU,,L1_light,0.1549,0.3739,0.0034,0.2566,0.348,0.3315,0.005,0.3534,0.5203,18.7359,18.7143,1.573,8.899
yolo11s,9.4,ladder,3,GPU,,L1_heavy,0.1556,0.3747,0.0035,0.2582,0.3485,0.3315,0.005,0.3534,0.5203,21.2368,21.236,2.0225,10.0973
yolo11s,9.4,ladder,3,GPU,,L2_lm,0.1146,0.2752,0.0021,0.2133,0.2793,0.3262,0.005,0.347,0.515,32.6591,32.5312,41.1494,15.148
yolo11s,9.4,ladder,3,GPU,,L3_vlm,0.0122,0.0498,0.0001,0.0386,0.0123,0.0345,0.0016,0.0406,0.031,421.2885,446.7513,100.0,16.0843
yolo11s,9.4,ladder,4,GPU,,L1_light,0.2132,0.2828,0.0,0.1326,0.5324,0.2133,0.0,0.1327,0.5324,19.617,19.5858,1.0938,13.1394
yolo11s,9.4,ladder,4,GPU,,L1_heavy,0.2135,0.2835,0.0,0.1327,0.5326,0.2133,0.0,0.1327,0.5324,21.583,21.5588,1.5625,14.459
yolo11s,9.4,ladder,4,GPU,,L2_lm,0.2139,0.2841,0.0,0.1303,0.5327,0.2115,0.0,0.1297,0.5297,31.7637,31.8511,39.4945,21.1617
yolo11s,9.4,ladder,4,GPU,,L3_vlm,0.2173,0.2924,0.0,0.1345,0.54,0.0188,0.0,0.0129,0.046,486.812,452.9406,100.0,22.6488
yolo11s,9.4,ladder,5,GPU,,L1_light,0.433,0.526,0.0179,0.2175,0.5938,0.4607,0.019,0.231,0.6421,19.2825,19.307,1.9417,8.5427
yolo11s,9.4,ladder,5,GPU,,L1_heavy,0.4315,0.5257,0.0179,0.2171,0.5914,0.4607,0.019,0.2309,0.6403,22.0262,21.9899,3.4063,9.707
yolo11s,9.4,ladder,5,GPU,,L2_lm,0.4137,0.5288,0.016,0.2066,0.5586,0.4593,0.019,0.2303,0.6384,31.84,31.852,37.0732,14.0315
yolo11s,9.4,ladder,5,GPU,,L3_vlm,0.0384,0.1574,0.0004,0.0212,0.0473,0.0404,0.0033,0.0196,0.055,382.5696,442.6078,100.0,15.0499
yolo11s,9.4,ladder,6,GPU,,L1_light,0.0962,0.1824,0.0117,0.0829,0.3455,0.1493,0.0139,0.1396,0.5766,18.963,18.9627,1.3667,8.9031
yolo11s,9.4,ladder,6,GPU,,L1_heavy,0.096,0.1816,0.0116,0.0828,0.3443,0.1493,0.0139,0.1396,0.5766,21.608,21.5167,2.2779,10.1017
yolo11s,9.4,ladder,6,GPU,,L2_lm,0.0693,0.1412,0.0099,0.0588,0.2298,0.1442,0.0134,0.1332,0.5624,32.6476,32.6137,39.5294,14.854
yolo11s,9.4,ladder,6,GPU,,L3_vlm,0.0044,0.0181,0.0009,0.0025,0.0136,0.0165,0.003,0.017,0.0485,419.0278,440.4636,100.0,16.2985
yolo11s,9.4,ladder,7,GPU,,L1_light,0.2217,0.3798,0.0005,0.178,0.4122,0.2845,0.0035,0.2164,0.5623,18.7295,18.7053,0.6849,8.764
yolo11s,9.4,ladder,7,GPU,,L1_heavy,0.2198,0.3786,0.0005,0.1772,0.405,0.2845,0.0035,0.2164,0.5623,21.4018,21.3705,1.8265,10.0124
yolo11s,9.4,ladder,7,GPU,,L2_lm,0.1802,0.33,0.0005,0.1487,0.3194,0.2845,0.0035,0.2162,0.5623,31.8761,31.9209,38.3028,14.8908
yolo11s,9.4,ladder,7,GPU,,L3_vlm,0.0174,0.0572,0.0,0.0139,0.0319,0.0257,0.0,0.0192,0.0564,405.7473,450.149,100.0,15.7564
yolo11s,9.4,ladder,8,GPU,,L1_light,0.1018,0.1775,0.0089,0.1529,0.4327,0.1269,0.0121,0.1874,0.5863,19.48,19.4684,0.9302,17.3448
yolo11s,9.4,ladder,8,GPU,,L1_heavy,0.1017,0.1786,0.0087,0.1532,0.4257,0.1269,0.0121,0.1874,0.5863,22.2994,22.2834,2.5581,19.8525
yolo11s,9.4,ladder,8,GPU,,L2_lm,0.0774,0.1581,0.0079,0.11,0.3056,0.1245,0.0119,0.1851,0.5779,33.1559,33.1812,46.8009,29.0387
yolo11s,9.4,ladder,8,GPU,,L3_vlm,0.0016,0.0076,0.0006,0.0019,0.0073,0.0115,0.0019,0.0159,0.0441,470.3771,472.6194,100.0,29.7772
yolo11s,9.4,ladder,9,GPU,,L1_light,0.1128,0.1747,0.0044,0.1261,0.235,0.1443,0.0063,0.1889,0.3525,19.5403,19.5253,2.5518,12.8418
yolo11s,9.4,ladder,9,GPU,,L1_heavy,0.1122,0.1734,0.0042,0.127,0.2286,0.1443,0.0063,0.1889,0.3525,22.178,22.1921,3.8278,14.5951
yolo11s,9.4,ladder,9,GPU,,L2_lm,0.0962,0.1569,0.0046,0.092,0.2082,0.1439,0.0063,0.1886,0.3509,31.5065,31.4942,36.48,20.665
yolo11s,9.4,ladder,9,GPU,,L3_vlm,0.0067,0.0246,0.0021,0.004,0.0132,0.0163,0.0016,0.0219,0.0284,395.2879,426.8088,100.0,22.1959
yolo11s,9.4,ladder,10,GPU,,L1_light,0.1534,0.2739,0.023,0.142,0.3321,0.2113,0.028,0.2429,0.4881,19.3965,19.3894,1.1468,9.0458
yolo11s,9.4,ladder,10,GPU,,L1_heavy,0.1524,0.2723,0.0228,0.1396,0.3324,0.2113,0.028,0.2429,0.4881,21.4272,21.5265,2.2936,10.0417
yolo11s,9.4,ladder,10,GPU,,L2_lm,0.1301,0.2513,0.0175,0.107,0.28,0.2104,0.0279,0.2421,0.487,31.2641,31.3617,34.2593,14.5128
