detector,params_M,phase,sid,device,infer_mode,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11x,56.9,ladder,0,GPU,,L1_light,0.1095,0.1972,0.035,0.1876,0.5786,0.1432,0.0442,0.2453,0.7205,28.5378,28.5463,1.1481,25.7377
yolo11x,56.9,ladder,0,GPU,,L1_heavy,0.0813,0.1639,0.0219,0.1424,0.4707,0.1398,0.0434,0.2375,0.7105,32.6198,32.5948,44.1211,28.9949
yolo11x,56.9,ladder,0,GPU,,L2_lm,0.0622,0.1406,0.0147,0.1086,0.3911,0.109,0.0352,0.187,0.5672,42.0212,41.963,84.2336,30.0284
yolo11x,56.9,ladder,0,GPU,,L3_vlm,0.0022,0.0083,0.0002,0.0008,0.0256,0.0106,0.0038,0.0163,0.0445,563.2188,604.7168,100.0,30.2375
yolo11x,56.9,ladder,1,GPU,,L1_light,0.1176,0.2281,0.0176,0.1361,0.365,0.1785,0.0183,0.2155,0.6197,29.1772,29.2445,3.6824,26.3085
yolo11x,56.9,ladder,1,GPU,,L1_heavy,0.0833,0.1763,0.0163,0.1037,0.2169,0.1784,0.0182,0.2152,0.6193,31.7535,31.7971,36.8786,28.4763
yolo11x,56.9,ladder,1,GPU,,L2_lm,0.0617,0.141,0.0151,0.0794,0.1555,0.148,0.0153,0.1782,0.5167,40.3946,40.3287,83.0532,30.0383
yolo11x,56.9,ladder,1,GPU,,L3_vlm,0.0038,0.0157,0.0018,0.0065,0.0059,0.014,0.0015,0.0152,0.0273,695.7315,676.7535,100.0,30.4554
yolo11x,56.9,ladder,2,GPU,,L1_light,0.1638,0.2674,0.0574,0.2705,0.594,0.2086,0.0642,0.3918,0.8428,28.7877,28.7897,1.3667,13.5113
yolo11x,56.9,ladder,2,GPU,,L1_heavy,0.1321,0.2247,0.0457,0.197,0.4629,0.2042,0.0629,0.3805,0.8307,32.9953,32.9909,45.1163,15.1857
yolo11x,56.9,ladder,2,GPU,,L2_lm,0.1137,0.1967,0.0393,0.1569,0.4065,0.1623,0.0506,0.2966,0.6585,42.7602,42.831,90.1493,15.6437
yolo11x,56.9,ladder,2,GPU,,L3_vlm,0.017,0.0453,0.0041,0.0118,0.0834,0.016,0.0053,0.0253,0.0468,0.0,623.9278,0.0,16.223
yolo11x,56.9,ladder,3,GPU,,L1_light,0.2322,0.4974,0.0248,0.3955,0.3953,0.4571,0.032,0.5376,0.6207,29.0102,29.0049,1.8018,13.7575
