detector,params_M,phase,sid,device,infer_mode,mxq_path,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11l,25.3,baseline,0,GPU,,,L0,0.1012,0.1828,0.026,0.1954,0.5568,0.1302,0.034,0.241,0.69,12.0299,12.027,0.0,10.8509
yolo11l,25.3,baseline,0,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,L0,0.0413,0.0991,0.0072,0.0909,0.2874,0.0695,0.0189,0.1535,0.3848,55.0061,55.1972,98.2524,30.0951
yolo11l,25.3,baseline,1,GPU,,,L0,0.1071,0.2087,0.0111,0.1205,0.3462,0.1548,0.0116,0.1712,0.5683,11.8681,11.8804,0.0,10.7185
yolo11l,25.3,baseline,1,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,L0,0.0405,0.0934,0.006,0.0547,0.1075,0.0779,0.0049,0.0717,0.3259,53.6258,53.9125,96.0152,30.0425
yolo11l,25.3,baseline,2,GPU,,,L0,0.1481,0.2379,0.0401,0.2309,0.6003,0.1864,0.0443,0.3407,0.851,12.3911,12.4198,0.0,5.8321
yolo11l,25.3,baseline,2,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,L0,0.0878,0.1432,0.0183,0.0979,0.3696,0.1026,0.0226,0.1788,0.4877,56.5656,56.7533,97.1545,15.6705
yolo11l,25.3,baseline,3,GPU,,,L0,0.237,0.4849,0.0402,0.3876,0.3869,0.4572,0.0479,0.5265,0.6396,12.2422,12.264,0.0,5.8328
yolo11l,25.3,baseline,3,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,L0,0.1089,0.2482,0.003,0.2108,0.153,0.2524,0.0068,0.2694,0.4079,53.2225,52.807,97.037,15.849
yolo11l,25.3,baseline,4,GPU,,,L0,0.2887,0.3569,0.0,0.1482,0.6764,0.2893,0.0,0.1477,0.6782,12.3713,12.3829,0.0,8.3071
yolo11l,25.3,baseline,4,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,L0,0.2756,0.3385,0.0,0.1529,0.6584,0.1656,0.0,0.0926,0.3918,56.1241,56.8258,96.978,22.3989
yolo11l,25.3,baseline,5,GPU,,,L0,0.5172,0.6111,0.037,0.2438,0.6874,0.556,0.0396,0.257,0.7487,12.4356,12.4576,0.0,5.5134
yolo11l,25.3,baseline,5,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,L0,0.4181,0.6072,0.0241,0.1875,0.5515,0.339,0.0208,0.1454,0.4626,54.6305,54.586,97.9167,14.7448
yolo11l,25.3,baseline,6,GPU,,,L0,0.1318,0.2424,0.0305,0.1198,0.4096,0.2061,0.0373,0.2132,0.6803,12.0155,12.0257,0.0,5.6474
yolo11l,25.3,baseline,6,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,L0,0.0626,0.1479,0.0114,0.0567,0.1794,0.1199,0.0204,0.1154,0.4084,54.4281,54.7814,98.4375,15.6739
yolo11l,25.3,baseline,7,GPU,,,L0,0.2924,0.4531,0.0015,0.2701,0.5363,0.3773,0.0,0.3324,0.7262,12.1338,12.1473,0.0,5.6924
yolo11l,25.3,baseline,7,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,L0,0.1357,0.2911,0.0005,0.118,0.2491,0.1911,0.0,0.1511,0.4087,54.1591,54.2124,96.5116,15.6198
yolo11l,25.3,baseline,8,GPU,,,L0,0.1533,0.3018,0.0514,0.2196,0.4992,0.1851,0.0609,0.2702,0.6695,12.57,12.564,0.0,11.196
yolo11l,25.3,baseline,8,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,L0,0.0654,0.1774,0.0246,0.0558,0.2569,0.085,0.0293,0.094,0.3711,54.8563,55.1192,98.2318,29.7218
yolo11l,25.3,baseline,9,GPU,,,L0,0.1448,0.2107,0.0134,0.147,0.2964,0.1816,0.0164,0.2187,0.4185,12.7329,12.7417,0.0,8.3815
