detector,params_M,phase,sid,device,infer_mode,mxq_path,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11m,20.1,baseline,0,GPU,,,L0,0.0833,0.1525,0.0241,0.1545,0.5102,0.1091,0.0297,0.1955,0.643,9.9071,9.9091,0.0,8.9426
yolo11m,20.1,baseline,0,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,L0,0.0403,0.0958,0.0058,0.084,0.2919,0.0663,0.0155,0.129,0.4015,50.9427,51.0644,94.9911,30.0928
yolo11m,20.1,baseline,1,GPU,,,L0,0.1087,0.208,0.0123,0.1242,0.3485,0.1585,0.0128,0.1757,0.5864,9.7743,9.789,0.0,8.8347
yolo11m,20.1,baseline,1,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,L0,0.0379,0.0859,0.0057,0.0506,0.0994,0.0709,0.0052,0.0665,0.2958,52.2966,52.3957,93.7385,30.0386
yolo11m,20.1,baseline,2,GPU,,,L0,0.1409,0.2265,0.0336,0.2159,0.5985,0.1775,0.0369,0.3171,0.8463,10.2677,10.3002,0.0,4.8382
yolo11m,20.1,baseline,2,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,L0,0.089,0.1412,0.0156,0.1024,0.3818,0.1107,0.019,0.1897,0.5148,50.3467,50.8094,91.7266,15.6575
yolo11m,20.1,baseline,3,GPU,,,L0,0.2089,0.4514,0.01,0.3674,0.379,0.4123,0.0143,0.4903,0.5805,10.2164,10.2508,0.0,4.8768
yolo11m,20.1,baseline,3,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,L0,0.1095,0.249,0.0001,0.2154,0.1699,0.2563,0.0016,0.2646,0.3988,49.5789,49.7512,92.3611,15.8293
yolo11m,20.1,baseline,4,GPU,,,L0,0.2544,0.3209,0.0003,0.159,0.6164,0.2544,0.0003,0.1589,0.617,10.2212,10.2245,0.0,6.861
yolo11m,20.1,baseline,4,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,L0,0.2573,0.3344,0.0,0.161,0.6242,0.1648,0.0,0.1037,0.3984,52.1209,52.3217,92.6952,22.3529
yolo11m,20.1,baseline,5,GPU,,,L0,0.4462,0.534,0.0323,0.2411,0.594,0.4747,0.0342,0.2524,0.6428,10.2711,10.302,0.0,4.5606
yolo11m,20.1,baseline,5,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,L0,0.3763,0.5301,0.0159,0.1861,0.5156,0.3158,0.015,0.1493,0.4495,51.4246,51.4978,92.9688,14.7362
yolo11m,20.1,baseline,6,GPU,,,L0,0.1232,0.2239,0.0234,0.1065,0.4083,0.1911,0.0295,0.1861,0.6718,10.143,10.1423,0.0,4.7642
yolo11m,20.1,baseline,6,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,L0,0.0594,0.1373,0.01,0.0502,0.1826,0.1162,0.0164,0.1069,0.4178,51.8314,51.5624,93.7956,15.6831
yolo11m,20.1,baseline,7,GPU,,,L0,0.2995,0.4658,0.001,0.2902,0.486,0.3822,0.0025,0.351,0.6642,10.0005,10.0225,0.0,4.6981
yolo11m,20.1,baseline,7,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,L0,0.1472,0.3139,0.0,0.1354,0.2342,0.2063,0.0,0.1755,0.3936,52.7514,53.0104,93.9623,15.6466
yolo11m,20.1,baseline,8,GPU,,,L0,0.1438,0.2793,0.0333,0.217,0.4651,0.1762,0.0402,0.2692,0.6326,10.4026,10.4154,0.0,9.2839
yolo11m,20.1,baseline,8,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,L0,0.0696,0.186,0.0162,0.0827,0.2365,0.0933,0.0208,0.1284,0.3699,51.7921,51.8672,95.203,29.6832
yolo11m,20.1,baseline,9,GPU,,,L0,0.1293,0.1921,0.0091,0.1416,0.2649,0.1635,0.0113,0.2106,0.3909,10.3436,10.3583,0.0,6.816
yolo11m,20.1,baseline,9,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,L0,0.1058,0.1775,0.0014,0.0766,0.2045,0.1247,0.0034,0.1451,0.2807,53.0142,53.0229,94.517,21.91
yolo11m,20.1,baseline,10,GPU,,,L0,0.2051,0.3603,0.0528,0.1954,0.3954,0.2946,0.0672,0.3341,0.5734,9.908,9.9297,0.0,4.6346
yolo11m,20.1,baseline,10,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,L0,0.108,0.2496,0.0218,0.0845,0.2092,0.1666,0.0375,0.1886,0.3151,53.4447,52.6175,95.0943,15.5304
yolo11m,20.1,baseline,11,GPU,,,L0,0.3013,0.4254,0.0085,0.2186,0.6218,0.3198,0.0113,0.271,0.7506,10.2574,10.2715,0.0,9.2688
yolo11m,20.1,baseline,11,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,L0,0.2501,0.3505,0.0038,0.1041,0.4572,0.1954,0.0075,0.1477,0.4787,51.7806,51.8133,93.2727,30.0679
yolo11m,20.1,baseline,12,GPU,,,L0,0.4598,0.5818,0.0851,0.4585,0.907,0.4748,0.0851,0.4272,0.9494,10.2072,10.2359,0.0,4.8083
yolo11m,20.1,baseline,12,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,L0,0.3874,0.5217,0.0398,0.3044,0.8272,0.2794,0.028,0.2118,0.6188,49.9683,50.4625,93.2384,15.7024
yolo11m,20.1,baseline,13,GPU,,,L0,0.2398,0.3558,0.0234,0.1519,0.4695,0.2899,0.0252,0.2139,0.5981,9.7946,9.8058,0.0,8.7904
yolo11m,20.1,baseline,13,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,L0,0.1605,0.3012,0.0092,0.0777,0.3511,0.1755,0.009,0.1188,0.3583,50.9405,51.1788,94.7559,29.8536
yolo11m,20.1,baseline,14,GPU,,,L0,0.4928,0.6192,0.1087,0.2213,0.575,0.5439,0.114,0.2455,0.638,9.5791,9.597,0.0,8.6611
yolo11m,20.1,baseline,14,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,L0,0.3564,0.5663,0.0767,0.1769,0.4055,0.3424,0.0553,0.1504,0.403,50.6961,50.9819,93.0357,30.0952
yolo11m,20.1,baseline,15,GPU,,,L0,0.1392,0.2507,0.03,0.1584,0.4027,0.2222,0.043,0.2598,0.692,9.8578,9.8765,0.0,8.7941
yolo11m,20.1,baseline,15,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,L0,0.062,0.1589,0.0082,0.0588,0.1752,0.1269,0.0154,0.1414,0.4203,52.4705,52.6344,96.2477,29.6481
yolo11m,20.1,baseline,16,GPU,,,L0,0.3361,0.4683,0.0153,0.4813,0.6237,0.3712,0.0193,0.5183,0.743,10.4181,10.4413,0.0,4.9043
yolo11m,20.1,baseline,16,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,L0,0.3475,0.5548,0.0087,0.5467,0.548,0.3073,0.01,0.423,0.5752,51.6943,52.065,90.3704,15.6265
yolo11m,20.1,baseline,17,GPU,,,L0,0.3026,0.4376,0.031,0.3201,0.7601,0.3383,0.0342,0.355,0.8455,10.3968,10.397,0.0,4.9459
yolo11m,20.1,baseline,17,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,L0,0.1961,0.3438,0.0185,0.1921,0.5396,0.1884,0.0192,0.1875,0.4918,53.5129,53.6761,95.4717,15.8412
yolo11m,20.1,baseline,18,GPU,,,L0,0.2208,0.2729,0.0263,0.116,0.7849,0.2468,0.0303,0.1756,0.8773,9.9642,9.9823,0.0,9.0079
yolo11m,20.1,baseline,18,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,L0,0.166,0.2355,0.0087,0.0656,0.6017,0.1453,0.0116,0.1036,0.5419,51.9562,51.8683,91.6211,30.0451
yolo11m,20.1,baseline,19,GPU,,,L0,0.1432,0.2481,0.0239,0.1591,0.4082,0.2286,0.037,0.3297,0.6717,10.1627,10.1797,0.0,4.7509
yolo11m,20.1,baseline,19,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,L0,0.0706,0.1467,0.0112,0.059,0.1901,0.1127,0.0155,0.1432,0.3727,52.9947,52.9172,93.5606,15.5649
