detector,params_M,phase,sid,device,infer_mode,mxq_path,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11s,9.4,baseline,0,GPU,,,L0,0.0677,0.1161,0.0178,0.1355,0.4507,0.0823,0.0204,0.1552,0.5601,8.316,8.341,0.0,7.5299
yolo11s,9.4,baseline,0,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.0408,0.0833,0.0062,0.0776,0.316,0.0618,0.0116,0.1077,0.4591,37.2164,37.3403,57.7236,28.697
yolo11s,9.4,baseline,1,GPU,,,L0,0.0739,0.156,0.0033,0.0838,0.2553,0.107,0.0033,0.1086,0.4311,8.1147,8.1409,0.0,7.3492
yolo11s,9.4,baseline,1,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.0361,0.0755,0.0013,0.0392,0.11,0.0766,0.0014,0.0637,0.3571,36.3091,36.3557,54.6667,28.3781
yolo11s,9.4,baseline,2,GPU,,,L0,0.1214,0.1914,0.0164,0.1749,0.5773,0.1492,0.0182,0.2557,0.7927,8.7218,8.7588,0.0,4.1154
yolo11s,9.4,baseline,2,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.0846,0.1277,0.009,0.0857,0.4041,0.1117,0.0107,0.1754,0.6334,38.3542,38.2692,60.1648,15.0883
yolo11s,9.4,baseline,3,GPU,,,L0,0.1557,0.375,0.0034,0.2575,0.3488,0.3315,0.005,0.3534,0.5203,8.581,8.5918,0.0,4.0887
yolo11s,9.4,baseline,3,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.0839,0.1979,0.0005,0.1491,0.2039,0.2496,0.0007,0.2159,0.4576,37.1222,37.4321,59.2493,15.0954
yolo11s,9.4,baseline,4,GPU,,,L0,0.2133,0.283,0.0,0.1327,0.532,0.2133,0.0,0.1327,0.5324,8.6258,8.6298,0.0,5.7925
yolo11s,9.4,baseline,4,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.2023,0.2435,0.0,0.0816,0.5421,0.179,0.0,0.0708,0.4767,36.5913,36.5527,55.8984,21.2518
yolo11s,9.4,baseline,5,GPU,,,L0,0.4337,0.5258,0.0179,0.2182,0.5954,0.4607,0.019,0.231,0.6421,8.6601,8.6839,0.0,3.8456
yolo11s,9.4,baseline,5,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.3979,0.5194,0.0083,0.1589,0.5566,0.421,0.0098,0.1609,0.6086,35.1499,35.0768,52.3161,13.9358
yolo11s,9.4,baseline,6,GPU,,,L0,0.0971,0.1826,0.0117,0.0831,0.3483,0.1493,0.0139,0.1396,0.5766,8.3301,8.3373,0.0,3.9177
yolo11s,9.4,baseline,6,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.0642,0.1255,0.0064,0.0617,0.2031,0.1219,0.0093,0.115,0.4798,36.3492,36.3815,52.5333,14.7454
yolo11s,9.4,baseline,7,GPU,,,L0,0.2219,0.3798,0.0005,0.1781,0.4125,0.2845,0.0035,0.2164,0.5623,8.3914,8.4015,0.0,3.9395
yolo11s,9.4,baseline,7,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.1502,0.2678,0.0,0.1175,0.2901,0.2148,0.0,0.1503,0.4648,37.138,37.2671,56.3342,14.9551
yolo11s,9.4,baseline,8,GPU,,,L0,0.102,0.1779,0.0089,0.1535,0.4327,0.1269,0.0121,0.1874,0.5863,8.8336,8.8221,0.0,7.8662
yolo11s,9.4,baseline,8,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.0519,0.1085,0.0054,0.0574,0.2691,0.0775,0.0081,0.0902,0.4489,36.7839,36.564,58.0081,28.2831
yolo11s,9.4,baseline,9,GPU,,,L0,0.1136,0.1749,0.0044,0.1278,0.2362,0.1443,0.0063,0.1889,0.3525,8.6987,8.7204,0.0,5.7398
yolo11s,9.4,baseline,9,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.1199,0.1864,0.0012,0.0763,0.2442,0.1539,0.002,0.159,0.352,37.5328,37.6978,58.8015,21.2758
yolo11s,9.4,baseline,10,GPU,,,L0,0.1536,0.2742,0.023,0.1421,0.3341,0.2113,0.028,0.2429,0.4881,8.3663,8.3726,0.0,3.9092
yolo11s,9.4,baseline,10,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.1043,0.2167,0.0124,0.0893,0.2223,0.1749,0.0168,0.2064,0.399,37.027,37.4652,55.7065,14.9215
yolo11s,9.4,baseline,11,GPU,,,L0,0.288,0.3989,0.006,0.1851,0.6158,0.3017,0.0065,0.2226,0.7415,8.7995,8.8149,0.0,7.9577
yolo11s,9.4,baseline,11,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.261,0.3551,0.0044,0.1184,0.4765,0.2509,0.0058,0.1708,0.6054,36.9513,37.0737,54.5699,28.715
yolo11s,9.4,baseline,12,GPU,,,L0,0.4825,0.6272,0.0678,0.4786,0.8864,0.4935,0.0686,0.4349,0.9175,8.5682,8.6039,0.0,4.0427
yolo11s,9.4,baseline,12,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.4191,0.5465,0.0283,0.3284,0.844,0.3822,0.0247,0.2911,0.7839,37.6607,37.5239,61.8529,14.907
yolo11s,9.4,baseline,13,GPU,,,L0,0.1986,0.2934,0.0096,0.1104,0.4074,0.2415,0.0097,0.155,0.5245,8.2866,8.2876,0.0,7.4318
yolo11s,9.4,baseline,13,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.1465,0.2578,0.0035,0.0607,0.3297,0.187,0.0043,0.1068,0.4199,35.19,35.3654,49.4751,28.0293
yolo11s,9.4,baseline,14,GPU,,,L0,0.4502,0.5738,0.0568,0.2154,0.6734,0.4963,0.0591,0.23,0.7463,7.9875,8.018,0.0,7.2389
yolo11s,9.4,baseline,14,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.3486,0.5143,0.014,0.1884,0.5548,0.3971,0.0137,0.1903,0.622,35.7282,35.6749,53.4641,28.382
yolo11s,9.4,baseline,15,GPU,,,L0,0.1172,0.2263,0.0196,0.1353,0.3795,0.1787,0.0246,0.2084,0.6261,8.2329,8.2543,0.0,7.352
yolo11s,9.4,baseline,15,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.0721,0.1647,0.0069,0.0708,0.2337,0.1428,0.0092,0.1618,0.5324,35.9331,35.9368,53.8564,28.1228
yolo11s,9.4,baseline,16,GPU,,,L0,0.246,0.3781,0.0077,0.643,0.492,0.2698,0.0086,0.6372,0.6,8.5716,8.5887,0.0,4.0357
yolo11s,9.4,baseline,16,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.3202,0.4915,0.0043,0.4865,0.5594,0.3464,0.0041,0.4802,0.7028,35.7451,35.5565,52.3316,14.802
yolo11s,9.4,baseline,17,GPU,,,L0,0.2481,0.3782,0.0213,0.2504,0.6281,0.277,0.0216,0.2789,0.7011,8.5558,8.572,0.0,4.0795
yolo11s,9.4,baseline,17,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.1737,0.3019,0.0097,0.1498,0.5206,0.2077,0.0113,0.1892,0.5932,34.8696,34.8308,50.3817,14.744
yolo11s,9.4,baseline,18,GPU,,,L0,0.2034,0.2543,0.0179,0.0974,0.7561,0.2208,0.0201,0.1206,0.8401,8.1196,8.1338,0.0,7.3431
yolo11s,9.4,baseline,18,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.1635,0.2243,0.0057,0.0686,0.6232,0.176,0.0073,0.102,0.7039,35.8377,35.7097,53.2808,28.3023
yolo11s,9.4,baseline,19,GPU,,,L0,0.1208,0.2035,0.0127,0.1223,0.3753,0.1831,0.0182,0.2346,0.6045,8.3489,8.3903,0.0,3.9174
yolo11s,9.4,baseline,19,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.082,0.1494,0.0075,0.0637,0.2647,0.1298,0.0086,0.1447,0.4993,36.1339,36.5309,52.2788,14.7326
yolo11s,9.4,baseline,20,GPU,,,L0,0.1058,0.1787,0.0083,0.0795,0.3138,0.1607,0.0091,0.1798,0.5289,8.3234,8.3324,0.0,3.9154
yolo11s,9.4,baseline,20,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.0805,0.1451,0.0079,0.0546,0.2171,0.1334,0.0068,0.1415,0.4091,35.5267,35.7646,48.9529,14.7455
yolo11s,9.4,baseline,21,GPU,,,L0,0.1149,0.2931,0.01,0.0469,0.2617,0.2865,0.0117,0.2904,0.5051,8.449,8.4591,0.0,3.975
yolo11s,9.4,baseline,21,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.0579,0.1325,0.0014,0.0095,0.1651,0.2005,0.0015,0.2257,0.358,35.9956,36.0608,50.7895,14.7957
yolo11s,9.4,baseline,22,GPU,,,L0,0.211,0.3635,0.0014,0.193,0.647,0.2189,0.0023,0.1946,0.682,8.7468,8.7489,0.0,4.1634
yolo11s,9.4,baseline,22,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.1768,0.3303,0.001,0.1709,0.5589,0.1711,0.0023,0.1488,0.5659,37.2603,37.5959,60.4278,15.199
yolo11s,9.4,baseline,23,GPU,,,L0,0.1555,0.3045,0.0344,0.1692,0.4839,0.2616,0.0491,0.3623,0.6662,8.4724,8.4928,0.0,4.0418
yolo11s,9.4,baseline,23,NPU,global8,models/mobilint_backup/yolo11s.mxq,L0,0.0976,0.2079,0.0209,0.0939,0.3336,0.2058,0.0326,0.2773,0.56,35.766,35.9498,56.0102,15.1457
