detector,params_M,phase,sid,device,infer_mode,mxq_path,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11x,56.9,baseline,0,GPU,,,L0,0.1108,0.1982,0.0356,0.1922,0.5811,0.1432,0.0442,0.2453,0.7205,13.6446,13.6572,0.0,12.3209
yolo11x,56.9,baseline,0,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,L0,0.0399,0.097,0.0051,0.0984,0.2481,0.0616,0.0183,0.1259,0.3147,71.479,71.7796,100.0,30.0883
yolo11x,56.9,baseline,1,GPU,,,L0,0.1246,0.2331,0.0178,0.1432,0.3916,0.1786,0.0184,0.2155,0.6197,13.536,13.5516,0.0,12.2257
yolo11x,56.9,baseline,1,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,L0,0.0371,0.0979,0.008,0.0554,0.0868,0.0626,0.0059,0.0697,0.2326,68.572,68.6879,100.0,30.0985
yolo11x,56.9,baseline,2,GPU,,,L0,0.1656,0.271,0.0578,0.274,0.5988,0.2086,0.0642,0.3918,0.8428,14.0854,14.1058,0.0,6.624
yolo11x,56.9,baseline,2,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,L0,0.0874,0.1482,0.0216,0.1193,0.3414,0.0861,0.0232,0.1616,0.377,74.46,74.7071,100.0,15.6949
yolo11x,56.9,baseline,3,GPU,,,L0,0.2332,0.4974,0.025,0.3965,0.3969,0.4574,0.032,0.5377,0.6218,14.0505,14.0744,0.0,6.694
yolo11x,56.9,baseline,3,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,L0,0.0948,0.2444,0.0001,0.1778,0.1267,0.2001,0.0014,0.2149,0.3163,71.6902,73.359,100.0,15.8521
yolo11x,56.9,baseline,4,GPU,,,L0,0.2764,0.3319,0.0167,0.1616,0.6434,0.2767,0.0167,0.1617,0.6434,14.0597,14.0701,0.0,9.4392
yolo11x,56.9,baseline,4,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,L0,0.2854,0.3443,0.0047,0.1603,0.6785,0.1325,0.0024,0.075,0.3154,71.8199,72.0809,100.0,22.3543
