detector,params_M,phase,sid,device,infer_mode,mxq_path,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11l,25.3,ladder,0,GPU,,,L1_light,0.1008,0.1816,0.026,0.1951,0.5553,0.1302,0.034,0.241,0.69,25.6786,25.6868,0.9185,23.1617
yolo11l,25.3,ladder,0,GPU,,,L1_heavy,0.0779,0.1499,0.0183,0.1377,0.481,0.1296,0.0339,0.2402,0.6842,30.9966,30.8982,33.9884,27.6725
yolo11l,25.3,ladder,0,GPU,,,L2_lm,0.0616,0.1315,0.0142,0.1099,0.3953,0.1156,0.0298,0.2177,0.589,39.2246,39.2694,79.7003,30.0324
yolo11l,25.3,ladder,0,GPU,,,L3_vlm,0.0025,0.0092,0.0005,0.0015,0.0263,0.0092,0.0029,0.0137,0.0458,622.6805,607.2991,100.0,30.3666
yolo11l,25.3,ladder,1,GPU,,,L1_light,0.1061,0.2067,0.0111,0.1187,0.3452,0.1548,0.0116,0.1712,0.5683,25.6733,25.6762,0.8037,23.1516
yolo11l,25.3,ladder,1,GPU,,,L1_heavy,0.0789,0.1622,0.0107,0.0912,0.2426,0.1544,0.0116,0.1708,0.564,30.6409,30.6414,34.1772,27.5668
yolo11l,25.3,ladder,1,GPU,,,L2_lm,0.0564,0.1295,0.0096,0.072,0.1436,0.1323,0.0099,0.148,0.4881,38.8711,38.8721,75.8435,29.9991
yolo11l,25.3,ladder,1,GPU,,,L3_vlm,0.003,0.0122,0.0007,0.005,0.0046,0.0115,0.0012,0.0125,0.0358,606.9801,641.0571,100.0,30.7724
yolo11l,25.3,ladder,2,GPU,,,L1_light,0.1481,0.2379,0.04,0.2309,0.6003,0.1864,0.0443,0.3407,0.851,26.2961,26.4119,0.2278,12.3959
yolo11l,25.3,ladder,2,GPU,,,L1_heavy,0.1239,0.2064,0.0339,0.1702,0.4875,0.1856,0.0443,0.3374,0.85,31.3357,31.3276,36.6133,14.6403
yolo11l,25.3,ladder,2,GPU,,,L2_lm,0.1043,0.175,0.0281,0.1294,0.4082,0.1522,0.0372,0.2757,0.7122,40.9218,40.9834,88.0682,15.6693
yolo11l,25.3,ladder,2,GPU,,,L3_vlm,0.0103,0.0291,0.0022,0.0088,0.048,0.0113,0.0042,0.0212,0.0506,0.0,731.2338,0.0,16.0879
yolo11l,25.3,ladder,3,GPU,,,L1_light,0.2372,0.4869,0.0408,0.3874,0.3859,0.4572,0.0479,0.5265,0.6396,25.7452,25.7427,1.1236,12.2368
yolo11l,25.3,ladder,3,GPU,,,L1_heavy,0.1987,0.4062,0.0404,0.343,0.2972,0.4545,0.0479,0.524,0.6376,30.8794,30.7779,32.2799,14.5681
yolo11l,25.3,ladder,3,GPU,,,L2_lm,0.1523,0.3184,0.0332,0.2914,0.2173,0.3554,0.0397,0.4126,0.484,41.9661,41.9037,84.4828,15.8496
yolo11l,25.3,ladder,3,GPU,,,L3_vlm,0.0085,0.0315,0.0,0.0103,0.0083,0.0312,0.0044,0.042,0.0241,0.0,674.223,0.0,16.1822
yolo11l,25.3,ladder,4,GPU,,,L1_light,0.2884,0.3566,0.0,0.1482,0.676,0.2893,0.0,0.1477,0.6782,26.3,26.3005,0.3125,17.6342
yolo11l,25.3,ladder,4,GPU,,,L1_heavy,0.2855,0.3525,0.0,0.1484,0.6684,0.2885,0.0,0.1477,0.673,30.8773,30.8775,33.3333,20.5784
yolo11l,25.3,ladder,4,GPU,,,L2_lm,0.289,0.3572,0.0,0.1479,0.6761,0.2371,0.0,0.122,0.5535,40.6277,40.5604,84.261,22.3698
yolo11l,25.3,ladder,4,GPU,,,L3_vlm,0.3108,0.3887,0.0,0.1477,0.7072,0.0196,0.0,0.0104,0.0437,719.7856,646.7386,100.0,22.637
yolo11l,25.3,ladder,5,GPU,,,L1_light,0.5167,0.611,0.037,0.2434,0.6858,0.555,0.0396,0.2552,0.7481,27.0875,27.0676,1.7032,11.9454
yolo11l,25.3,ladder,5,GPU,,,L1_heavy,0.4948,0.6116,0.0358,0.2311,0.6507,0.5508,0.0379,0.2533,0.7412,31.4689,31.5693,34.2365,13.7748
yolo11l,25.3,ladder,5,GPU,,,L2_lm,0.4481,0.6081,0.0311,0.2137,0.585,0.4502,0.0308,0.2058,0.6065,41.7514,41.5411,88.6154,14.7648
yolo11l,25.3,ladder,5,GPU,,,L3_vlm,0.04,0.1351,0.0002,0.0184,0.0511,0.0321,0.0037,0.0138,0.0445,0.0,702.8921,0.0,14.7615
yolo11l,25.3,ladder,6,GPU,,,L1_light,0.1316,0.2424,0.0303,0.1198,0.4084,0.2061,0.0373,0.2132,0.6803,25.8051,25.7964,0.6834,12.1077
yolo11l,25.3,ladder,6,GPU,,,L1_heavy,0.1043,0.2094,0.0261,0.0937,0.3055,0.206,0.0372,0.2131,0.6792,30.8648,30.7471,33.5616,14.3994
yolo11l,25.3,ladder,6,GPU,,,L2_lm,0.0789,0.1768,0.0187,0.0727,0.221,0.1749,0.0315,0.1821,0.5675,39.6138,39.6082,81.6438,15.6611
yolo11l,25.3,ladder,6,GPU,,,L3_vlm,0.0043,0.0138,0.0017,0.0038,0.0092,0.0153,0.0027,0.015,0.0395,0.0,612.6621,0.0,15.9301
yolo11l,25.3,ladder,7,GPU,,,L1_light,0.2915,0.4527,0.0015,0.2693,0.5346,0.3773,0.0,0.3324,0.7262,25.6526,25.5536,0.6849,11.9681
yolo11l,25.3,ladder,7,GPU,,,L1_heavy,0.2471,0.4333,0.001,0.233,0.4293,0.3756,0.0,0.331,0.7197,31.153,31.0952,35.4023,14.4711
yolo11l,25.3,ladder,7,GPU,,,L2_lm,0.1989,0.3837,0.0,0.1897,0.3393,0.3159,0.0,0.2782,0.6103,40.2438,40.2474,86.5922,15.6452
yolo11l,25.3,ladder,7,GPU,,,L3_vlm,0.0069,0.027,0.0,0.0086,0.0116,0.0231,0.0,0.0197,0.0422,0.0,701.2208,0.0,16.1289
yolo11l,25.3,ladder,8,GPU,,,L1_light,0.1533,0.3018,0.0513,0.2196,0.499,0.1851,0.0609,0.2702,0.6695,25.7132,25.7086,0.6977,22.8976
yolo11l,25.3,ladder,8,GPU,,,L1_heavy,0.1274,0.2822,0.0434,0.1803,0.3823,0.1844,0.0605,0.2689,0.6662,31.2126,31.2496,34.5029,27.6747
yolo11l,25.3,ladder,8,GPU,,,L2_lm,0.1008,0.2553,0.0381,0.1319,0.2969,0.1518,0.0491,0.2263,0.5484,40.9377,40.9936,85.4467,29.7053
yolo11l,25.3,ladder,8,GPU,,,L3_vlm,0.0037,0.0128,0.0022,0.0017,0.0142,0.0131,0.0056,0.0143,0.036,733.0937,710.3025,100.0,29.8341
yolo11l,25.3,ladder,9,GPU,,,L1_light,0.1439,0.2107,0.0134,0.1464,0.2944,0.1795,0.0164,0.2186,0.418,26.4908,26.4798,2.8754,17.3854
yolo11l,25.3,ladder,9,GPU,,,L1_heavy,0.1238,0.1924,0.012,0.1088,0.2482,0.1799,0.0164,0.2166,0.4151,31.4064,31.3829,34.895,20.3816
yolo11l,25.3,ladder,9,GPU,,,L2_lm,0.1027,0.1709,0.0107,0.0744,0.1964,0.1461,0.0134,0.1793,0.3314,41.5665,42.0863,86.7347,21.916
yolo11l,25.3,ladder,9,GPU,,,L3_vlm,0.0075,0.0286,0.0026,0.0029,0.0152,0.013,0.002,0.0128,0.0188,649.9774,633.7361,100.0,22.1819
yolo11l,25.3,ladder,10,GPU,,,L1_light,0.2101,0.364,0.0554,0.1923,0.4256,0.3007,0.0703,0.3251,0.6125,25.9246,25.9077,1.1468,12.082
yolo11l,25.3,ladder,10,GPU,,,L1_heavy,0.1744,0.337,0.0414,0.1461,0.3613,0.2986,0.0698,0.3241,0.6106,30.8334,30.837,33.0254,14.2886
yolo11l,25.3,ladder,10,GPU,,,L2_lm,0.1395,0.2931,0.0294,0.1092,0.2707,0.2508,0.0584,0.2726,0.5089,40.143,40.0569,87.7095,15.5531
yolo11l,25.3,ladder,10,GPU,,,L3_vlm,0.0053,0.0208,0.0008,0.003,0.0106,0.0197,0.0065,0.0209,0.0287,0.0,682.6116,0.0,15.7009
yolo11l,25.3,ladder,11,GPU,,,L1_light,0.3145,0.4389,0.0112,0.2299,0.6452,0.3323,0.013,0.2844,0.7767,26.5471,26.5401,0.8037,23.9299
yolo11l,25.3,ladder,11,GPU,,,L1_heavy,0.2991,0.4228,0.0086,0.1914,0.5554,0.3323,0.013,0.2844,0.7767,31.0987,31.1563,33.5247,28.0904
yolo11l,25.3,ladder,11,GPU,,,L2_lm,0.2841,0.403,0.0063,0.1562,0.4919,0.2687,0.0112,0.2279,0.6147,41.2762,41.3062,87.5179,30.0622
yolo11l,25.3,ladder,11,GPU,,,L3_vlm,0.1607,0.2794,0.0022,0.0551,0.2689,0.0207,0.003,0.0173,0.0456,731.0539,718.1155,100.0,30.1623
yolo11l,25.3,ladder,12,GPU,,,L1_light,0.5039,0.622,0.0955,0.4924,0.8894,0.5157,0.0957,0.4599,0.9236,26.8393,26.8047,1.139,12.5802
yolo11l,25.3,ladder,12,GPU,,,L1_heavy,0.4978,0.6208,0.0932,0.4862,0.8744,0.5143,0.0945,0.4589,0.9188,31.4327,31.2145,36.6133,14.5877
yolo11l,25.3,ladder,12,GPU,,,L2_lm,0.4851,0.6185,0.0941,0.4439,0.8394,0.4059,0.0714,0.3684,0.7275,42.3219,42.2007,89.1496,15.6694
yolo11l,25.3,ladder,12,GPU,,,L3_vlm,0.2848,0.4417,0.0717,0.216,0.4525,0.0312,0.008,0.0306,0.0509,0.0,651.0142,0.0,16.2762
yolo11l,25.3,ladder,13,GPU,,,L1_light,0.2464,0.3694,0.0299,0.1757,0.4461,0.3026,0.0331,0.2499,0.5793,26.8714,26.8789,0.8092,24.0744
yolo11l,25.3,ladder,13,GPU,,,L1_heavy,0.2097,0.3513,0.0268,0.1461,0.4014,0.3001,0.0327,0.2459,0.5737,30.95,30.9075,34.5029,27.3742
yolo11l,25.3,ladder,13,GPU,,,L2_lm,0.1823,0.3332,0.0242,0.117,0.3531,0.2538,0.0281,0.2101,0.4878,39.8189,40.0064,83.3799,29.8697
