detector,params_M,phase,sid,device,infer_mode,mxq_path,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11m,20.1,ladder,0,GPU,,,L1_light,0.0833,0.1525,0.0241,0.1544,0.5099,0.1091,0.0297,0.1955,0.643,21.2221,21.2241,0.1148,19.1394
yolo11m,20.1,ladder,0,GPU,,,L1_heavy,0.0808,0.1491,0.0234,0.1506,0.4985,0.109,0.0297,0.1953,0.6424,24.7614,24.684,6.4442,22.2102
yolo11m,20.1,ladder,0,GPU,,,L2_lm,0.0549,0.1143,0.0139,0.0917,0.3846,0.1015,0.0281,0.1825,0.5981,35.3331,35.2397,57.8106,29.7273
yolo11m,20.1,ladder,0,GPU,,,L3_vlm,0.0036,0.0103,0.0006,0.0011,0.0353,0.0092,0.0031,0.0152,0.0488,525.159,508.7967,100.0,30.5298
yolo11m,20.1,ladder,1,GPU,,,L1_light,0.1086,0.208,0.0123,0.124,0.348,0.1585,0.0128,0.1757,0.5864,21.9649,21.957,0.2296,19.7998
yolo11m,20.1,ladder,1,GPU,,,L1_heavy,0.1056,0.2052,0.0123,0.1213,0.341,0.1585,0.0128,0.1757,0.5864,24.45,24.3607,5.0517,21.9685
yolo11m,20.1,ladder,1,GPU,,,L2_lm,0.0637,0.1437,0.0112,0.0794,0.1678,0.1517,0.012,0.1681,0.5557,34.5577,34.5434,53.6703,29.7714
yolo11m,20.1,ladder,1,GPU,,,L3_vlm,0.0031,0.0132,0.0025,0.0088,0.0037,0.0149,0.002,0.0187,0.0403,520.7471,532.949,100.0,30.38
yolo11m,20.1,ladder,2,GPU,,,L1_light,0.1409,0.2265,0.0336,0.2159,0.5985,0.1775,0.0369,0.3171,0.8463,21.2925,21.2768,0.0,9.9875
yolo11m,20.1,ladder,2,GPU,,,L1_heavy,0.1373,0.2198,0.0332,0.2076,0.5927,0.1775,0.0369,0.3171,0.8463,25.5354,25.5251,6.6059,11.9811
yolo11m,20.1,ladder,2,GPU,,,L2_lm,0.1052,0.1735,0.0255,0.1304,0.4251,0.1624,0.0337,0.2879,0.7682,36.0889,36.1785,63.6591,15.5296
yolo11m,20.1,ladder,2,GPU,,,L3_vlm,0.0157,0.0479,0.0021,0.0151,0.0746,0.0147,0.0048,0.0217,0.0573,0.0,532.4454,0.0,15.9744
yolo11m,20.1,ladder,3,GPU,,,L1_light,0.209,0.4514,0.0101,0.3674,0.3791,0.4123,0.0143,0.4903,0.5805,21.652,21.6283,0.2247,10.282
yolo11m,20.1,ladder,3,GPU,,,L1_heavy,0.2016,0.4435,0.0099,0.3563,0.3747,0.4123,0.0143,0.4903,0.5805,24.6106,24.7267,4.4944,11.7548
yolo11m,20.1,ladder,3,GPU,,,L2_lm,0.1448,0.3224,0.008,0.2954,0.2187,0.3813,0.0137,0.4526,0.4809,35.1822,35.2294,58.9928,15.7645
yolo11m,20.1,ladder,3,GPU,,,L3_vlm,0.016,0.0613,0.0,0.0161,0.0162,0.0331,0.0022,0.0374,0.0301,0.0,548.5133,0.0,15.9078
yolo11m,20.1,ladder,4,GPU,,,L1_light,0.2544,0.3209,0.0003,0.159,0.6164,0.2544,0.0003,0.1589,0.617,21.9481,21.9575,0.3125,14.7242
yolo11m,20.1,ladder,4,GPU,,,L1_heavy,0.2547,0.3212,0.0003,0.159,0.6168,0.2544,0.0003,0.1589,0.617,24.6181,24.6329,6.25,16.5172
yolo11m,20.1,ladder,4,GPU,,,L2_lm,0.2545,0.3217,0.0003,0.159,0.6167,0.2341,0.0003,0.1451,0.5671,36.1367,36.121,61.9454,22.2629
