detector,params_M,phase,sid,device,infer_mode,mxq_path,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11s,9.4,ladder,0,GPU,,,L1_light,0.0676,0.1161,0.0178,0.1353,0.449,0.0823,0.0204,0.1552,0.5601,18.5325,18.5101,0.9185,16.6976
yolo11s,9.4,ladder,0,GPU,,,L1_heavy,0.0668,0.116,0.0173,0.1349,0.4435,0.0823,0.0204,0.1552,0.5601,22.1153,22.0743,3.9036,19.9096
yolo11s,9.4,ladder,0,GPU,,,L2_lm,0.0574,0.1084,0.0119,0.1193,0.3897,0.0811,0.0202,0.1528,0.5507,30.9623,30.8749,32.7907,27.5185
yolo11s,9.4,ladder,0,GPU,,,L3_vlm,0.0033,0.0105,0.0009,0.0011,0.036,0.0084,0.0036,0.0099,0.0485,430.7369,418.8227,100.0,30.1579
yolo11s,9.4,ladder,1,GPU,,,L1_light,0.0733,0.1565,0.0033,0.0837,0.2501,0.107,0.0033,0.1086,0.4311,20.581,20.5502,1.9518,18.5406
yolo11s,9.4,ladder,1,GPU,,,L1_heavy,0.0717,0.1515,0.0033,0.0816,0.249,0.107,0.0033,0.1086,0.4311,22.9316,22.889,3.7887,20.6487
yolo11s,9.4,ladder,1,GPU,,,L2_lm,0.0532,0.1125,0.0031,0.0648,0.1745,0.1057,0.0033,0.1076,0.4292,32.6968,32.8525,41.736,28.6836
yolo11s,9.4,ladder,1,GPU,,,L3_vlm,0.0031,0.013,0.0,0.0028,0.0107,0.0116,0.0012,0.0123,0.0489,431.8382,416.6171,100.0,30.4159
yolo11s,9.4,ladder,2,GPU,,,L1_light,0.1208,0.1893,0.0164,0.173,0.5709,0.1492,0.0182,0.2557,0.7927,20.5749,20.5151,1.8223,9.6347
yolo11s,9.4,ladder,2,GPU,,,L1_heavy,0.1187,0.1874,0.0161,0.1679,0.5609,0.1492,0.0182,0.2557,0.7927,23.5964,23.566,6.8337,11.0659
yolo11s,9.4,ladder,2,GPU,,,L2_lm,0.0962,0.1514,0.0133,0.1136,0.4482,0.1395,0.017,0.2396,0.7415,34.6944,34.8193,50.3667,15.3214
yolo11s,9.4,ladder,2,GPU,,,L3_vlm,0.0189,0.0561,0.0023,0.0129,0.0927,0.0154,0.004,0.0252,0.0713,468.9099,434.4523,100.0,16.5107
yolo11s,9.4,ladder,3,GPU,,,L1_light,0.1552,0.3716,0.0034,0.2569,0.3477,0.3315,0.005,0.3534,0.5203,20.5045,20.4849,1.3483,9.7432
yolo11s,9.4,ladder,3,GPU,,,L1_heavy,0.1521,0.3652,0.0034,0.257,0.3435,0.3315,0.005,0.3534,0.5203,23.9155,23.8515,5.8427,11.3442
yolo11s,9.4,ladder,3,GPU,,,L2_lm,0.1059,0.255,0.0021,0.2068,0.2051,0.3097,0.0048,0.3177,0.5225,34.5233,35.3127,51.5815,15.6046
yolo11s,9.4,ladder,3,GPU,,,L3_vlm,0.0202,0.064,0.0003,0.0331,0.021,0.0294,0.001,0.0332,0.0275,435.9397,438.7511,100.0,16.2353
yolo11s,9.4,ladder,4,GPU,,,L1_light,0.2135,0.2834,0.0,0.1321,0.5326,0.2133,0.0,0.1327,0.5324,20.974,21.0002,0.9375,14.0894
yolo11s,9.4,ladder,4,GPU,,,L1_heavy,0.2138,0.2837,0.0,0.1326,0.5324,0.213,0.0,0.1322,0.5319,23.7688,23.6105,7.5117,15.8155
yolo11s,9.4,ladder,4,GPU,,,L2_lm,0.2134,0.2832,0.0,0.1327,0.5323,0.2012,0.0,0.1231,0.4979,35.1197,35.5194,55.102,22.0041
yolo11s,9.4,ladder,4,GPU,,,L3_vlm,0.2106,0.2862,0.0,0.1289,0.5232,0.0192,0.0,0.0128,0.0466,405.3248,402.379,100.0,22.9387
yolo11s,9.4,ladder,5,GPU,,,L1_light,0.4342,0.5279,0.0179,0.2182,0.5963,0.4607,0.019,0.231,0.6421,19.1541,19.1518,0.4854,8.4756
yolo11s,9.4,ladder,5,GPU,,,L1_heavy,0.4318,0.5255,0.0179,0.2178,0.5921,0.4607,0.019,0.231,0.6421,22.2786,22.2916,3.6408,9.8632
yolo11s,9.4,ladder,5,GPU,,,L2_lm,0.4041,0.5282,0.0166,0.2013,0.5474,0.4536,0.0191,0.2268,0.6304,32.8859,32.9176,49.3827,14.3593
yolo11s,9.4,ladder,5,GPU,,,L3_vlm,0.0479,0.1816,0.0014,0.0349,0.0521,0.0429,0.0037,0.02,0.06,635.2558,440.5478,100.0,14.9798
yolo11s,9.4,ladder,6,GPU,,,L1_light,0.097,0.1826,0.0116,0.0831,0.3476,0.1493,0.0139,0.1396,0.5766,18.7258,18.7,0.6834,8.7802
yolo11s,9.4,ladder,6,GPU,,,L1_heavy,0.0957,0.1811,0.0116,0.0821,0.3432,0.1493,0.0139,0.1396,0.5766,21.2605,21.25,2.0501,9.9772
yolo11s,9.4,ladder,6,GPU,,,L2_lm,0.0754,0.1552,0.0102,0.0628,0.2581,0.1442,0.0135,0.1342,0.5549,31.4689,31.3578,31.7757,14.3966
yolo11s,9.4,ladder,6,GPU,,,L3_vlm,0.0026,0.0119,0.0013,0.0032,0.0076,0.0154,0.0031,0.0174,0.0483,441.2846,437.5868,100.0,15.7544
yolo11s,9.4,ladder,7,GPU,,,L1_light,0.2218,0.3797,0.0005,0.1775,0.4123,0.2845,0.0035,0.2164,0.5623,18.6109,18.5973,1.3699,8.7135
yolo11s,9.4,ladder,7,GPU,,,L1_heavy,0.2213,0.3799,0.0005,0.1772,0.4129,0.2845,0.0035,0.2164,0.5623,22.1279,22.0527,2.5114,10.3316
yolo11s,9.4,ladder,7,GPU,,,L2_lm,0.1788,0.334,0.0005,0.1485,0.3158,0.2832,0.0035,0.2151,0.5603,32.0905,32.1144,40.2299,14.9692
yolo11s,9.4,ladder,7,GPU,,,L3_vlm,0.0187,0.054,0.0,0.0127,0.0339,0.0247,0.0035,0.0184,0.0442,380.7617,438.5592,100.0,15.7894
yolo11s,9.4,ladder,8,GPU,,,L1_light,0.1025,0.1793,0.0096,0.1526,0.4325,0.1269,0.0121,0.1874,0.5863,19.8416,19.846,1.2791,17.6823
yolo11s,9.4,ladder,8,GPU,,,L1_heavy,0.1009,0.1777,0.0088,0.1514,0.4285,0.1269,0.0121,0.1874,0.5863,22.4649,22.383,3.0233,19.9419
yolo11s,9.4,ladder,8,GPU,,,L2_lm,0.0785,0.16,0.0077,0.1109,0.3184,0.1236,0.0119,0.1822,0.5692,33.1224,33.1657,45.4545,28.7584
