detector,params_M,phase,sid,device,infer_mode,mxq_path,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11x,56.9,ladder,0,GPU,,,L1_light,0.1095,0.197,0.0355,0.1909,0.5763,0.1432,0.0442,0.2453,0.7205,28.1742,28.1425,2.1814,25.3763
yolo11x,56.9,ladder,0,GPU,,,L1_heavy,0.0796,0.1634,0.0214,0.1333,0.4655,0.1384,0.0424,0.2368,0.697,33.3302,33.3079,46.8639,29.1643
yolo11x,56.9,ladder,0,GPU,,,L2_lm,0.0604,0.1366,0.0139,0.1034,0.3883,0.1087,0.035,0.1849,0.558,42.724,42.7899,88.0952,30.0687
yolo11x,56.9,ladder,0,GPU,,,L3_vlm,0.0023,0.0083,0.0002,0.0005,0.0258,0.0107,0.003,0.0187,0.0417,679.8387,710.5699,100.0,30.556
yolo11x,56.9,ladder,1,GPU,,,L1_light,0.1244,0.2331,0.0177,0.1432,0.3908,0.1786,0.0184,0.2155,0.6197,28.3878,28.3793,1.0333,25.5884
yolo11x,56.9,ladder,1,GPU,,,L1_heavy,0.0767,0.1741,0.0169,0.0939,0.212,0.1756,0.0183,0.2112,0.6057,32.6127,32.5789,41.9393,28.8853
yolo11x,56.9,ladder,1,GPU,,,L2_lm,0.0581,0.1429,0.0154,0.075,0.1539,0.1364,0.014,0.1704,0.4783,46.5603,46.3259,89.3204,30.0358
yolo11x,56.9,ladder,1,GPU,,,L3_vlm,0.004,0.0175,0.0014,0.0062,0.007,0.0143,0.0019,0.0137,0.0458,595.6746,582.0296,100.0,30.8494
yolo11x,56.9,ladder,2,GPU,,,L1_light,0.1634,0.2687,0.0571,0.2697,0.5919,0.2086,0.0642,0.3918,0.8428,29.2639,29.2475,3.1891,13.727
yolo11x,56.9,ladder,2,GPU,,,L1_heavy,0.1344,0.2279,0.048,0.2023,0.4561,0.2072,0.0633,0.389,0.8311,32.4339,32.4296,42.9561,15.026
yolo11x,56.9,ladder,2,GPU,,,L2_lm,0.1135,0.1948,0.0382,0.1622,0.3944,0.1591,0.0493,0.3006,0.6251,44.0212,43.9758,92.3313,15.6637
yolo11x,56.9,ladder,2,GPU,,,L3_vlm,0.0139,0.0423,0.0032,0.009,0.0683,0.0148,0.0053,0.0248,0.0542,0.0,636.8328,0.0,15.9217
yolo11x,56.9,ladder,3,GPU,,,L1_light,0.225,0.482,0.0247,0.3902,0.3892,0.4574,0.032,0.5377,0.6218,29.1515,29.1418,3.5955,13.8527
yolo11x,56.9,ladder,3,GPU,,,L1_heavy,0.1813,0.3954,0.0209,0.3304,0.2737,0.4391,0.0301,0.5192,0.5735,33.2503,33.1368,43.6195,15.2868
yolo11x,56.9,ladder,3,GPU,,,L2_lm,0.1479,0.3306,0.0199,0.2991,0.2021,0.3499,0.0235,0.4242,0.4801,44.0614,44.1839,93.3131,15.8828
