device,cat_id,cat_name,ap_5095,ap_50,n_gt,n_dets
GPU,0,person,0.11595301697281336,0.26432586637119765,31078,12846
GPU,1,bicycle,0.04548074640998021,0.11087345619423448,1150,324
GPU,2,car,0.30637296233008277,0.47611157173881197,140344,82845
GPU,3,motorcycle,0.01425190496619068,0.03995195437911138,1037,153
GPU,4,bus,0.4227295258461544,0.46892680518097346,10965,6424
GPU,5,truck,0.16388291907271368,0.22490036690064555,18500,8236
GPU,6,traffic_light,0.087141934990408,0.17879417360788738,36610,10848
GPU,7,stop_sign,0.0815645279769241,0.126847031710513,1893,254
NPU,0,person,0.04662625739302825,0.1404487414787789,31078,11931
NPU,1,bicycle,0.027536790428283282,0.08090110406411107,1150,314
NPU,2,car,0.20844522832841017,0.37463994455678,140344,66161
NPU,3,motorcycle,0.0011092775944261093,0.005569306930693069,1037,66
NPU,4,bus,0.4324025647393233,0.4968964744431771,10965,6791
NPU,5,truck,0.13940194223868457,0.20726509017213132,18500,9749
NPU,6,traffic_light,0.04263042606503039,0.09334786714927118,36610,8143
NPU,7,stop_sign,0.03260689070926602,0.070759953173702,1893,169
