detector,placement,size,L_multistream,rel_L_multi
yolo11l,SizeAware,l,0.10984999999999999,0.2050141528507885
yolo11l,SizeAware,m,0.059000000000000025,0.2510504760385087
yolo11l,SizeAware,s,0.004049999999999998,0.11917606669936236
yolo11l,SizeBlindRev,l,0.11389999999999997,0.21257270832685302
yolo11l,SizeBlindRev,m,0.04509999999999999,0.1919046859209616
yolo11l,SizeBlindRev,s,0.0047,0.13830308974987737
yolo11m,SizeAware,l,0.021600000000000008,0.041604802529674745
yolo11m,SizeAware,m,0.02359999999999999,0.1096526890463468
yolo11m,SizeAware,s,0.0005500000000000001,0.019503546099290784
yolo11m,SizeBlindRev,l,0.017500000000000016,0.03370759464209761
yolo11m,SizeBlindRev,m,0.005249999999999991,0.02439307701242881
yolo11m,SizeBlindRev,s,0.0004499999999999973,0.015957446808510543
yolo11s,SizeAware,l,0.008599999999999969,0.018036124679954847
yolo11s,SizeAware,m,0.0038000000000000013,0.02066293585880328
yolo11s,SizeAware,s,0.0,0.0
yolo11s,SizeBlindRev,l,0.012199999999999989,0.025586130359936014
yolo11s,SizeBlindRev,m,0.0037500000000000033,0.020391055123819037
yolo11s,SizeBlindRev,s,-5.000000000000143e-05,-0.0031512605042017705
yolo11x,SizeAware,l,0.10765000000000001,0.1951728045325779
yolo11x,SizeAware,m,0.061450000000000005,0.23924857648070336
yolo11x,SizeAware,s,0.004999999999999999,0.11892963330029732
yolo11x,SizeBlindRev,l,0.12059999999999998,0.21865155807365433
yolo11x,SizeBlindRev,m,0.05365000000000002,0.20888016482001204
yolo11x,SizeBlindRev,s,0.008049999999999998,0.19147670961347865
