detector,placement,sid,group,size,n1_GPU_sap,n4_GPU_sap,L_multistream,rel_L_multi
yolo11s,SizeAware,3,large-rich,s,0.0034,0.0034,0.0,0.0
yolo11s,SizeAware,3,large-rich,m,0.2566,0.2541,0.0025000000000000022,0.01359403674921269
yolo11s,SizeAware,3,large-rich,l,0.348,0.3405,0.007499999999999951,0.015729178499960576
yolo11s,SizeAware,21,large-rich,s,0.01,0.01,0.0,0.0
yolo11s,SizeAware,21,large-rich,m,0.0466,0.0415,0.0051,0.027731834968393865
yolo11s,SizeAware,21,large-rich,l,0.2621,0.2524,0.009699999999999986,0.020343070859949117
yolo11s,SizeBlindRev,2,small-rich,s,0.0163,0.0164,-0.00010000000000000286,-0.006302521008403541
yolo11s,SizeBlindRev,2,small-rich,m,0.1734,0.1663,0.007099999999999995,0.03860706436776398
yolo11s,SizeBlindRev,2,small-rich,l,0.5768,0.5555,0.021299999999999986,0.044670866939888296
yolo11s,SizeBlindRev,22,small-rich,s,0.0014,0.0014,0.0,0.0
yolo11s,SizeBlindRev,22,small-rich,m,0.193,0.1926,0.00040000000000001146,0.0021750458798740907
yolo11s,SizeBlindRev,22,small-rich,l,0.6464,0.6433,0.0030999999999999917,0.00650139377998373
yolo11m,SizeAware,3,large-rich,s,0.0098,0.0097,9.99999999999994e-05,0.0035460992907801205
yolo11m,SizeAware,3,large-rich,m,0.3641,0.3387,0.025399999999999978,0.11801602973632236
yolo11m,SizeAware,3,large-rich,l,0.3761,0.352,0.02410000000000001,0.046420173192831544
yolo11m,SizeAware,21,large-rich,s,0.0171,0.0161,0.0010000000000000009,0.03546099290780145
yolo11m,SizeAware,21,large-rich,m,0.0752,0.0534,0.0218,0.10128934835637124
yolo11m,SizeAware,21,large-rich,l,0.2747,0.2556,0.019100000000000006,0.036789431866517945
yolo11m,SizeBlindRev,2,small-rich,s,0.0336,0.0328,0.0007999999999999952,0.028368794326240964
yolo11m,SizeBlindRev,2,small-rich,m,0.2125,0.2026,0.009899999999999992,0.0459983737948658
yolo11m,SizeBlindRev,2,small-rich,l,0.5937,0.568,0.025700000000000056,0.04950201041725198
yolo11m,SizeBlindRev,22,small-rich,s,0.0107,0.0106,9.99999999999994e-05,0.0035460992907801205
yolo11m,SizeBlindRev,22,small-rich,m,0.2756,0.275,0.0005999999999999894,0.00278778022999182
yolo11m,SizeBlindRev,22,small-rich,l,0.6917,0.6824,0.009299999999999975,0.017913178866943238
yolo11l,SizeAware,3,large-rich,s,0.0402,0.0357,0.004499999999999997,0.13241785188818037
yolo11l,SizeAware,3,large-rich,m,0.3874,0.3132,0.07420000000000004,0.31572788681453134
yolo11l,SizeAware,3,large-rich,l,0.3857,0.2343,0.15139999999999998,0.28255933310522874
yolo11l,SizeAware,21,large-rich,s,0.0185,0.0149,0.003599999999999999,0.10593428151054435
yolo11l,SizeAware,21,large-rich,m,0.0769,0.0331,0.0438,0.18637306526248604
yolo11l,SizeAware,21,large-rich,l,0.2837,0.2154,0.0683,0.12746897259634823
yolo11l,SizeBlindRev,2,small-rich,s,0.0397,0.0304,0.0093,0.2736635605689063
yolo11l,SizeBlindRev,2,small-rich,m,0.2302,0.1422,0.088,0.37444816765065686
yolo11l,SizeBlindRev,2,small-rich,l,0.599,0.4247,0.17429999999999995,0.3252978319698901
yolo11l,SizeBlindRev,22,small-rich,s,0.0142,0.0141,0.00010000000000000113,0.002942618930848488
yolo11l,SizeBlindRev,22,small-rich,m,0.2941,0.2919,0.0021999999999999797,0.009361204191266336
yolo11l,SizeBlindRev,22,small-rich,l,0.6782,0.6247,0.05349999999999999,0.09984758468381595
yolo11x,SizeAware,3,large-rich,s,0.0248,0.02,0.004799999999999999,0.1141724479682854
yolo11x,SizeAware,3,large-rich,m,0.3955,0.3088,0.0867,0.3375565757669159
yolo11x,SizeAware,3,large-rich,l,0.3953,0.2458,0.1495,0.2710481586402266
yolo11x,SizeAware,21,large-rich,s,0.0243,0.0191,0.0052,0.12368681863230922
yolo11x,SizeAware,21,large-rich,m,0.0753,0.0391,0.0362,0.14094057719449085
yolo11x,SizeAware,21,large-rich,l,0.2932,0.2274,0.06580000000000003,0.11929745042492922
yolo11x,SizeBlindRev,2,small-rich,s,0.0574,0.0408,0.016599999999999997,0.39484638255698706
yolo11x,SizeBlindRev,2,small-rich,m,0.2705,0.1692,0.10130000000000003,0.39440001297795374
yolo11x,SizeBlindRev,2,small-rich,l,0.594,0.4132,0.18079999999999996,0.32779603399433416
yolo11x,SizeBlindRev,22,small-rich,s,0.0364,0.0369,-0.0005000000000000004,-0.011892963330029744
yolo11x,SizeBlindRev,22,small-rich,m,0.3299,0.3239,0.006000000000000005,0.023360316662070325
yolo11x,SizeBlindRev,22,small-rich,l,0.7551,0.6947,0.06040000000000001,0.10950708215297451
