detector,placement,sid,group,size,L_multistream,rel_L_multi
yolo11s,SizeAware,3,large-rich,s,-0.00010000000000000026,-0.006302521008403377
yolo11s,SizeAware,3,large-rich,m,0.0030999999999999917,0.016856605569023676
yolo11s,SizeAware,3,large-rich,l,0.020699999999999996,0.043412532659891465
yolo11s,SizeAware,21,large-rich,s,-9.99999999999994e-05,-0.0063025210084033225
yolo11s,SizeAware,21,large-rich,m,0.0012999999999999956,0.007068899109590568
yolo11s,SizeAware,21,large-rich,l,0.002799999999999969,0.005872226639985255
yolo11s,SizeBlindRev,2,small-rich,s,0.0,0.0
yolo11s,SizeBlindRev,2,small-rich,m,0.00269999999999998,0.014681559689149585
yolo11s,SizeBlindRev,2,small-rich,l,0.007199999999999984,0.015100011359962218
yolo11s,SizeBlindRev,22,small-rich,s,-0.00010000000000000005,-0.006302521008403364
yolo11s,SizeBlindRev,22,small-rich,m,0.0,0.0
yolo11s,SizeBlindRev,22,small-rich,l,0.0040999999999999925,0.008598617579978488
yolo11m,SizeAware,3,large-rich,s,0.0011999999999999997,0.042553191489361694
yolo11m,SizeAware,3,large-rich,m,0.017199999999999993,0.07991636659310021
yolo11m,SizeAware,3,large-rich,l,0.016000000000000014,0.03081837224420353
yolo11m,SizeAware,21,large-rich,s,0.00040000000000000105,0.014184397163120605
yolo11m,SizeAware,21,large-rich,m,0.017599999999999998,0.08177488674642815
yolo11m,SizeAware,21,large-rich,l,0.015199999999999991,0.02927745363199331
yolo11m,SizeBlindRev,2,small-rich,s,0.0012999999999999956,0.04609929078014169
yolo11m,SizeBlindRev,2,small-rich,m,0.014800000000000008,0.0687652456731328
yolo11m,SizeBlindRev,2,small-rich,l,0.04580000000000006,0.08821759054903265
yolo11m,SizeBlindRev,22,small-rich,s,9.99999999999994e-05,0.0035460992907801205
yolo11m,SizeBlindRev,22,small-rich,m,0.0006000000000000449,0.0027877802299920776
yolo11m,SizeBlindRev,22,small-rich,l,0.0038999999999999035,0.007511978234524418
yolo11l,SizeAware,3,large-rich,s,0.0050000000000000044,0.14713094654242287
yolo11l,SizeAware,3,large-rich,m,0.07570000000000005,0.3221105260358494
yolo11l,SizeAware,3,large-rich,l,0.12610000000000005,0.23534169025475138
yolo11l,SizeAware,21,large-rich,s,0.003299999999999999,0.09710642471799898
yolo11l,SizeAware,21,large-rich,m,0.03880000000000001,0.16509760119142602
yolo11l,SizeAware,21,large-rich,l,0.06190000000000001,0.11552458863417214
yolo11l,SizeBlindRev,2,small-rich,s,0.0097,0.28543403629230013
yolo11l,SizeBlindRev,2,small-rich,m,0.08709999999999998,0.370618584117866
yolo11l,SizeBlindRev,2,small-rich,l,0.16909999999999992,0.3155930200006219
yolo11l,SizeBlindRev,22,small-rich,s,0.0005000000000000004,0.014713094654242287
yolo11l,SizeBlindRev,22,small-rich,m,0.003500000000000003,0.01489282484974205
yolo11l,SizeBlindRev,22,small-rich,l,0.05500000000000005,0.10264704967495109
yolo11x,SizeAware,3,large-rich,s,0.005999999999999998,0.14271555996035676
yolo11x,SizeAware,3,large-rich,m,0.07550000000000001,0.29395065133105136
yolo11x,SizeAware,3,large-rich,l,0.1459,0.2645212464589235
yolo11x,SizeAware,21,large-rich,s,0.0040999999999999995,0.0975222993062438
yolo11x,SizeAware,21,large-rich,m,0.037700000000000004,0.14678065636000842
yolo11x,SizeAware,21,large-rich,l,0.05740000000000001,0.10406798866855524
yolo11x,SizeBlindRev,2,small-rich,s,0.016,0.3805748265609515
yolo11x,SizeBlindRev,2,small-rich,m,0.0986,0.383887870480022
yolo11x,SizeBlindRev,2,small-rich,l,0.1725,0.3127478753541076
yolo11x,SizeBlindRev,22,small-rich,s,-0.0001999999999999988,-0.004757185332011865
yolo11x,SizeBlindRev,22,small-rich,m,0.0041999999999999815,0.01635222166344914
yolo11x,SizeBlindRev,22,small-rich,l,0.05509999999999993,0.099898016997167
