detector,params_M,phase,rep_idx,sid,device,infer_mode,mxq_path,mxq_sha8,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11s,9.4,a3,0,2,GPU,,,,L1_light,0.1214,0.1914,0.0164,0.1749,0.5773,0.1492,0.0182,0.2557,0.7927,18.3565,18.4518,0.0,8.6632
yolo11s,9.4,a3,0,2,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L1_light,0.0719,0.1106,0.0072,0.0632,0.3502,0.0693,0.0071,0.1106,0.3875,65.7099,65.5861,96.1538,15.6163
yolo11s,9.4,a3,0,2,GPU,,,,L1_heavy,0.1206,0.1897,0.0164,0.1732,0.5733,0.1492,0.0182,0.2557,0.7927,21.223,21.3397,1.139,10.0199
yolo11s,9.4,a3,0,2,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L1_heavy,0.0804,0.122,0.0085,0.077,0.3891,0.0972,0.0094,0.1519,0.5282,46.121,46.2955,64.4518,15.3343
yolo11s,9.4,a3,0,2,GPU,,,,L2_lm,0.0931,0.1466,0.0136,0.1051,0.4292,0.1328,0.0164,0.2285,0.679,37.0764,37.1676,63.3075,15.5214
yolo11s,9.4,a3,0,2,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L2_lm,0.0475,0.0926,0.004,0.0364,0.237,0.0301,0.0045,0.0436,0.1477,166.3255,164.6237,100.0,15.6503
yolo11s,9.4,a3,0,2,GPU,,,,L3_vlm,0.0181,0.0517,0.0029,0.0119,0.0859,0.0135,0.0034,0.0186,0.0601,722.4474,504.667,100.0,15.6459
yolo11s,9.4,a3,0,2,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L3_vlm,0.0755,0.1137,0.008,0.0697,0.3677,0.0813,0.0079,0.1281,0.4448,55.2114,54.4843,83.3992,15.4272
yolo11s,9.4,a3,0,22,GPU,,,,L1_light,0.211,0.3635,0.0014,0.193,0.647,0.2189,0.0023,0.1946,0.682,18.7283,18.7411,0.0,8.9117
yolo11s,9.4,a3,0,22,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L1_light,0.1629,0.3203,0.0009,0.1676,0.4972,0.1003,0.0021,0.0884,0.3287,66.5432,66.8301,99.5169,15.8455
yolo11s,9.4,a3,0,22,GPU,,,,L1_heavy,0.2105,0.3634,0.0014,0.1931,0.6459,0.2189,0.0023,0.1946,0.682,20.8383,20.8176,0.2247,9.8985
yolo11s,9.4,a3,0,22,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L1_heavy,0.1756,0.3294,0.0011,0.1693,0.5447,0.1414,0.0009,0.125,0.4565,46.3342,45.9514,62.4183,15.4489
yolo11s,9.4,a3,0,22,GPU,,,,L2_lm,0.2007,0.3561,0.0013,0.1894,0.6118,0.21,0.0022,0.1892,0.6581,32.2092,32.347,39.261,15.0056
yolo11s,9.4,a3,0,22,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L2_lm,0.1297,0.2567,0.0008,0.1591,0.3499,0.0461,0.0006,0.0398,0.1468,159.9476,155.8563,100.0,15.9006
yolo11s,9.4,a3,0,22,GPU,,,,L3_vlm,0.1173,0.1935,0.0007,0.1511,0.3291,0.0201,0.001,0.0169,0.0549,532.0864,456.5481,100.0,15.9804
yolo11s,9.4,a3,0,22,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L3_vlm,0.1667,0.3254,0.0009,0.1697,0.5162,0.1197,0.002,0.1078,0.3885,54.3196,53.6472,79.5367,15.5122
yolo11s,9.4,a3,0,3,GPU,,,,L1_light,0.1553,0.3746,0.0034,0.2569,0.3488,0.3315,0.005,0.3534,0.5203,18.7542,18.7815,0.2247,8.9306
yolo11s,9.4,a3,0,3,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L1_light,0.0531,0.1438,0.0003,0.1112,0.0937,0.1495,0.0005,0.1353,0.2312,66.2392,65.6866,99.5283,15.9028
yolo11s,9.4,a3,0,3,GPU,,,,L1_heavy,0.1531,0.3613,0.0034,0.2564,0.3449,0.3315,0.005,0.3534,0.5203,21.2853,21.253,1.7978,10.1054
yolo11s,9.4,a3,0,3,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L1_heavy,0.0768,0.1811,0.0003,0.1509,0.1727,0.2289,0.0007,0.2016,0.3829,40.2584,41.0135,52.3529,15.1852
yolo11s,9.4,a3,0,3,GPU,,,,L2_lm,0.1196,0.2737,0.0028,0.2171,0.2404,0.3311,0.005,0.3532,0.5191,31.8622,31.7651,40.724,15.0162
yolo11s,9.4,a3,0,3,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L2_lm,0.0246,0.0793,0.0004,0.0734,0.0329,0.0676,0.0001,0.0705,0.1381,159.9744,158.0829,100.0,15.9695
yolo11s,9.4,a3,0,3,GPU,,,,L3_vlm,0.0162,0.063,0.0014,0.0324,0.018,0.0375,0.0016,0.0389,0.0333,427.0167,419.2017,100.0,15.931
yolo11s,9.4,a3,0,3,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L3_vlm,0.0632,0.1663,0.0002,0.1297,0.1549,0.1815,0.0007,0.1536,0.3843,54.5157,55.7869,81.6,15.6282
yolo11s,9.4,a3,0,21,GPU,,,,L1_light,0.1149,0.2931,0.01,0.0469,0.2617,0.2865,0.0117,0.2904,0.5051,18.543,18.5559,0.0,8.712
yolo11s,9.4,a3,0,21,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L1_light,0.0385,0.0913,0.0006,0.0032,0.1202,0.1191,0.0015,0.1336,0.1911,65.7224,65.3184,99.5238,15.683
yolo11s,9.4,a3,0,21,GPU,,,,L1_heavy,0.1145,0.2903,0.0099,0.0455,0.261,0.2865,0.0117,0.2904,0.5051,20.697,20.7039,2.2779,9.7204
yolo11s,9.4,a3,0,21,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L1_heavy,0.0542,0.1249,0.0004,0.0088,0.1544,0.1678,0.0015,0.1967,0.269,43.8234,43.6897,62.5397,15.0827
yolo11s,9.4,a3,0,21,GPU,,,,L2_lm,0.0927,0.2313,0.0092,0.0267,0.2302,0.286,0.0117,0.2904,0.504,31.1147,31.0824,34.2466,14.5801
yolo11s,9.4,a3,0,21,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L2_lm,0.025,0.0652,0.0001,0.002,0.0734,0.0464,0.0002,0.0503,0.0779,147.6014,152.8347,100.0,15.7451
yolo11s,9.4,a3,0,21,GPU,,,,L3_vlm,0.0153,0.0518,0.0028,0.0018,0.0425,0.0299,0.0017,0.0304,0.0523,382.1635,423.4854,100.0,16.0938
yolo11s,9.4,a3,0,21,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L3_vlm,0.0442,0.1039,0.0004,0.004,0.1357,0.1365,0.0017,0.1479,0.2407,53.7645,54.388,81.4961,15.4547
yolo11m,20.1,a3,0,2,GPU,,,,L1_light,0.1403,0.2259,0.0336,0.2149,0.5966,0.1775,0.0369,0.3171,0.8463,21.2722,21.3011,0.4556,9.9998
yolo11m,20.1,a3,0,2,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L1_light,0.0755,0.1247,0.0111,0.0807,0.3366,0.071,0.013,0.1214,0.3286,79.9759,80.0509,99.3976,15.6956
yolo11m,20.1,a3,0,2,GPU,,,,L1_heavy,0.1382,0.2205,0.0333,0.2108,0.5909,0.1775,0.0369,0.3171,0.8463,24.3936,24.4046,4.7836,11.456
yolo11m,20.1,a3,0,2,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L1_heavy,0.0797,0.128,0.0126,0.0886,0.3524,0.0812,0.0146,0.1395,0.3864,68.2358,68.5584,91.9192,15.6378
yolo11m,20.1,a3,0,2,GPU,,,,L2_lm,0.1048,0.1735,0.025,0.1319,0.4361,0.1622,0.0341,0.2888,0.7727,36.3971,36.4638,65.5779,15.6157
yolo11m,20.1,a3,0,2,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L2_lm,0.0531,0.1048,0.0062,0.0492,0.2455,0.0372,0.0078,0.0617,0.1892,161.9736,161.6724,100.0,15.6889
yolo11m,20.1,a3,0,2,GPU,,,,L3_vlm,0.0151,0.0435,0.0016,0.0152,0.0778,0.0147,0.0043,0.0222,0.0634,0.0,551.2872,0.0,15.9884
yolo11m,20.1,a3,0,2,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L3_vlm,0.0773,0.1266,0.0122,0.0853,0.3371,0.0757,0.014,0.1315,0.3729,74.2082,74.4848,97.2222,15.6481
yolo11m,20.1,a3,0,22,GPU,,,,L1_light,0.2981,0.4441,0.0108,0.2758,0.6929,0.3109,0.0113,0.278,0.7372,21.2123,21.2435,0.4494,10.1009
yolo11m,20.1,a3,0,22,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L1_light,0.2207,0.3783,0.0109,0.2209,0.5165,0.1186,0.0052,0.0981,0.2965,79.6476,79.6675,99.4083,15.8597
yolo11m,20.1,a3,0,22,GPU,,,,L1_heavy,0.2975,0.444,0.0106,0.2756,0.6901,0.3109,0.0113,0.278,0.7372,24.7399,24.6835,5.3933,11.7351
yolo11m,20.1,a3,0,22,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L1_heavy,0.2283,0.3907,0.0115,0.222,0.5451,0.144,0.0064,0.1181,0.3654,65.0735,65.2928,89.2019,15.8732
yolo11m,20.1,a3,0,22,GPU,,,,L2_lm,0.2824,0.4442,0.0108,0.273,0.6407,0.2869,0.0107,0.2559,0.6763,36.0668,36.1826,64.7783,15.785
yolo11m,20.1,a3,0,22,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L2_lm,0.1812,0.3101,0.0102,0.207,0.3888,0.0551,0.003,0.0462,0.1383,170.8855,173.2076,100.0,15.9422
yolo11m,20.1,a3,0,22,GPU,,,,L3_vlm,0.1846,0.2813,0.0088,0.2096,0.3563,0.0278,0.0021,0.0226,0.061,522.825,471.7072,100.0,16.511
