detector,params_M,phase,rep_idx,n_streams,bg_level,infer_mode,mxq_path,placement_name,placement_spec,mean_sap,worst_sap,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_skip
yolo11s,9.4,a2,0,4,L1_light,single,models/mobilint_backup/yolo11s.mxq,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1246,0.0844,15.0,GPU,2,0.0976,0.0142,0.1173,0.4367,47.4,GPU,22,0.2009,0.0015,0.1897,0.6132,47.2,GPU,3,0.1156,0.0028,0.2182,0.2667,43.0,GPU,21,0.0844,0.0093,0.0199,0.2168,43.9
yolo11s,9.4,a2,0,4,L1_light,single,models/mobilint_backup/yolo11s.mxq,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1314,0.0966,12.3,NPU,2,0.109,0.0113,0.1426,0.5658,0.2,NPU,22,0.1912,0.001,0.1733,0.614,0.0,GPU,3,0.1287,0.0028,0.2385,0.2851,16.4,GPU,21,0.0966,0.01,0.0259,0.2409,16.9
yolo11s,9.4,a2,0,4,L1_light,single,models/mobilint_backup/yolo11s.mxq,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1327,0.0836,11.8,GPU,2,0.1168,0.0159,0.1655,0.5479,10.1,GPU,22,0.2092,0.0014,0.1929,0.6404,8.1,NPU,3,0.1214,0.0005,0.1816,0.339,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.0
yolo11s,9.4,a2,0,4,L1_light,single,models/mobilint_backup/yolo11s.mxq,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1263,0.0836,8.8,NPU,2,0.109,0.0113,0.1426,0.5659,0.0,NPU,22,0.1912,0.001,0.1733,0.614,0.0,NPU,3,0.1214,0.0005,0.1816,0.339,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.0
yolo11s,9.4,a2,1,4,L1_light,single,models/mobilint_backup/yolo11s.mxq,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1194,0.0794,15.3,GPU,2,0.0931,0.0133,0.1058,0.4169,55.2,GPU,22,0.1946,0.0013,0.1902,0.5976,55.3,GPU,3,0.1104,0.0022,0.2066,0.2234,56.2,GPU,21,0.0794,0.0086,0.0163,0.2078,55.8
yolo11s,9.4,a2,1,4,L1_light,single,models/mobilint_backup/yolo11s.mxq,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1316,0.0966,12.7,NPU,2,0.109,0.0113,0.1426,0.5659,0.0,NPU,22,0.1912,0.001,0.1733,0.614,0.0,GPU,3,0.1295,0.0028,0.2363,0.295,19.3,GPU,21,0.0966,0.0102,0.0266,0.2413,20.6
yolo11s,9.4,a2,1,4,L1_light,single,models/mobilint_backup/yolo11s.mxq,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1322,0.0834,12.1,GPU,2,0.1147,0.0163,0.1599,0.5463,12.1,GPU,22,0.209,0.0015,0.1923,0.6405,9.5,NPU,3,0.1214,0.0005,0.1815,0.3389,0.2,NPU,21,0.0834,0.0014,0.0244,0.2127,0.2
yolo11s,9.4,a2,1,4,L1_light,single,models/mobilint_backup/yolo11s.mxq,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1263,0.0836,8.3,NPU,2,0.109,0.0113,0.1426,0.5659,0.0,NPU,22,0.1912,0.001,0.1733,0.614,0.0,NPU,3,0.1214,0.0005,0.1816,0.339,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.0
yolo11s,9.4,a2,2,4,L1_light,single,models/mobilint_backup/yolo11s.mxq,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1252,0.0833,14.7,GPU,2,0.1002,0.0149,0.1211,0.4482,41.4,GPU,22,0.2005,0.0014,0.19,0.6131,44.6,GPU,3,0.1167,0.0024,0.2148,0.277,42.7,GPU,21,0.0833,0.0088,0.018,0.2165,40.7
yolo11s,9.4,a2,2,4,L1_light,single,models/mobilint_backup/yolo11s.mxq,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1387,0.1077,12.0,NPU,2,0.109,0.0113,0.1426,0.5659,0.0,NPU,22,0.1912,0.001,0.1733,0.614,0.0,GPU,3,0.1467,0.0034,0.2502,0.3256,9.9,GPU,21,0.1077,0.0099,0.0372,0.2552,8.4
yolo11s,9.4,a2,2,4,L1_light,single,models/mobilint_backup/yolo11s.mxq,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.133,0.0836,11.6,GPU,2,0.1167,0.0162,0.164,0.5591,8.9,GPU,22,0.2102,0.0014,0.1923,0.6446,8.1,NPU,3,0.1214,0.0005,0.1816,0.339,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.0
yolo11s,9.4,a2,2,4,L1_light,single,models/mobilint_backup/yolo11s.mxq,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1263,0.0836,8.2,NPU,2,0.109,0.0113,0.1426,0.5659,0.0,NPU,22,0.1912,0.001,0.1733,0.614,0.0,NPU,3,0.1214,0.0005,0.1816,0.339,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.0
