detector,params_M,phase,rep_idx,sid,device,infer_mode,mxq_path,mxq_sha8,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11s,9.4,a1,0,0,GPU,,,,L0,0.0677,0.1161,0.0178,0.1355,0.4507,0.0823,0.0204,0.1552,0.5601,8.7729,8.8061,0.0,7.9506
yolo11s,9.4,a1,0,0,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L0,0.0427,0.0846,0.0076,0.0679,0.3358,0.0649,0.0126,0.1052,0.4912,34.0379,34.162,45.6522,27.7647
yolo11s,9.4,a1,0,1,GPU,,,,L0,0.0739,0.156,0.0033,0.0838,0.2553,0.107,0.0033,0.1086,0.4311,8.5869,8.6116,0.0,7.775
yolo11s,9.4,a1,0,1,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L0,0.0391,0.0795,0.0014,0.0452,0.11,0.0796,0.0015,0.0679,0.353,33.8098,33.95,45.9975,27.7619
yolo11s,9.4,a1,0,2,GPU,,,,L0,0.1214,0.1914,0.0164,0.1749,0.5773,0.1492,0.0182,0.2557,0.7927,9.2345,9.2875,0.0,4.3641
yolo11s,9.4,a1,0,2,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L0,0.0895,0.135,0.0099,0.0942,0.4476,0.1221,0.0115,0.1928,0.6939,34.2612,34.2912,46.1929,14.5521
yolo11s,9.4,a1,0,3,GPU,,,,L0,0.1557,0.375,0.0034,0.2575,0.3488,0.3315,0.005,0.3534,0.5203,9.2627,9.2796,0.0,4.4164
yolo11s,9.4,a1,0,3,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L0,0.084,0.1916,0.0005,0.1561,0.2086,0.2616,0.0009,0.236,0.4634,35.1121,35.5057,50.2564,14.9253
yolo11s,9.4,a1,0,4,GPU,,,,L0,0.2133,0.283,0.0,0.1327,0.532,0.2133,0.0,0.1327,0.5324,9.147,9.1564,0.0,6.1468
yolo11s,9.4,a1,0,4,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L0,0.2052,0.2466,0.0,0.0816,0.5468,0.1872,0.0,0.0744,0.4976,34.0861,34.2817,45.4231,20.8959
