phase,rep_idx,n_streams,bg_level,infer_mode,placement_name,placement_spec,mean_sap,worst_sap,wall_sec,gpu_util_at_start,gpu_temp_at_start,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_skip
rev11_n8,0,8,L1_light,single,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1531,0.0555,25.0,8,55,GPU,2,0.0759,0.0106,0.073,0.3518,0.0739,94.4,GPU,22,0.1778,0.0017,0.1894,0.5353,0.1104,89.5,GPU,13,0.1277,0.0078,0.0849,0.3268,0.1574,33.8,GPU,16,0.1738,0.0062,0.5253,0.255,0.1369,94.3,GPU,3,0.0694,0.0021,0.1362,0.1114,0.1641,94.6,GPU,21,0.0555,0.0061,0.0089,0.1503,0.141,96.8,GPU,14,0.3308,0.0568,0.2049,0.5144,0.3624,32.2,GPU,4,0.2138,0.0,0.1304,0.5323,0.1332,50.9
rev11_n8,0,8,L1_light,single,SizeAware,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1951,0.0595,24.2,2,53,NPU,2,0.1087,0.0114,0.1415,0.5658,0.1329,1.1,NPU,22,0.1891,0.001,0.1736,0.6085,0.1996,6.5,NPU,13,0.1874,0.0038,0.086,0.3989,0.2209,0.3,NPU,16,0.359,0.0051,0.4956,0.6822,0.3906,0.5,GPU,3,0.0802,0.002,0.1704,0.1297,0.1921,85.8,GPU,21,0.0595,0.0082,0.0106,0.1644,0.1553,84.6,GPU,14,0.364,0.0568,0.2069,0.5573,0.4095,33.1,GPU,4,0.2129,0.0,0.1298,0.533,0.1545,48.0
rev11_n8,0,8,L1_light,single,SizeBlindRev,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.176,0.0813,24.0,2,52,GPU,2,0.0813,0.011,0.0869,0.3761,0.088,90.3,GPU,22,0.1822,0.001,0.1846,0.5541,0.1315,89.2,GPU,13,0.1367,0.0084,0.0893,0.3382,0.1645,33.3,GPU,16,0.188,0.007,0.5381,0.3188,0.1626,89.3,NPU,3,0.1206,0.0005,0.1845,0.3375,0.2899,0.9,NPU,21,0.0832,0.0014,0.0245,0.2121,0.2268,0.5,NPU,14,0.4111,0.0136,0.1991,0.6552,0.4512,0.1,NPU,4,0.2046,0.0,0.0816,0.5458,0.2059,0.5
rev11_n8,0,8,L1_light,single,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2083,0.0834,16.5,2,51,NPU,2,0.1089,0.0113,0.1415,0.5653,0.1329,0.9,NPU,22,0.1911,0.001,0.1733,0.6137,0.1996,1.6,NPU,13,0.1874,0.0038,0.086,0.3991,0.2209,0.2,NPU,16,0.3595,0.0051,0.4956,0.6821,0.3906,0.7,NPU,3,0.1199,0.0005,0.1809,0.3378,0.2899,1.1,NPU,21,0.0834,0.0014,0.0244,0.2127,0.2268,0.5,NPU,14,0.411,0.0137,0.199,0.6551,0.4512,0.5,NPU,4,0.2052,0.0,0.0816,0.5465,0.2059,0.8
rev11_n8,1,8,L1_light,single,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1536,0.056,25.0,2,51,GPU,2,0.0765,0.0099,0.0754,0.3524,0.0737,91.5,GPU,22,0.1783,0.001,0.1864,0.5354,0.1045,95.4,GPU,13,0.1339,0.0086,0.0846,0.3301,0.1595,33.5,GPU,16,0.1677,0.0066,0.4773,0.2533,0.13,93.8,GPU,3,0.0716,0.0017,0.1462,0.1007,0.1649,92.2,GPU,21,0.056,0.0065,0.0099,0.1537,0.1387,91.0,GPU,14,0.3315,0.0555,0.204,0.5147,0.3638,33.0,GPU,4,0.2137,0.0,0.1299,0.5327,0.1318,52.4
rev11_n8,1,8,L1_light,single,SizeAware,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1964,0.0646,24.1,2,51,NPU,2,0.1088,0.0115,0.1413,0.5632,0.1329,0.9,NPU,22,0.1909,0.001,0.1734,0.6126,0.1996,1.3,NPU,13,0.1874,0.0038,0.0861,0.3986,0.2209,0.1,NPU,16,0.3565,0.0051,0.4956,0.6794,0.3906,0.2,GPU,3,0.0815,0.0017,0.1678,0.1491,0.1962,80.1,GPU,21,0.0646,0.0079,0.0109,0.175,0.1661,81.9,GPU,14,0.3676,0.0567,0.2062,0.5676,0.4158,33.6,GPU,4,0.2137,0.0,0.1327,0.5329,0.1586,49.4
rev11_n8,1,8,L1_light,single,SizeBlindRev,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1767,0.0816,24.0,7,51,GPU,2,0.0816,0.0114,0.0888,0.3684,0.0884,90.0,GPU,22,0.1844,0.001,0.1875,0.557,0.1347,89.6,GPU,13,0.1327,0.0087,0.0899,0.3335,0.1657,34.1,GPU,16,0.1946,0.0071,0.553,0.3264,0.1686,92.4,NPU,3,0.1212,0.0005,0.1816,0.3383,0.2899,0.7,NPU,21,0.0828,0.0014,0.0232,0.2123,0.2268,0.9,NPU,14,0.4108,0.0136,0.1991,0.6548,0.4512,0.6,NPU,4,0.2056,0.0,0.0816,0.5461,0.2059,0.9
rev11_n8,1,8,L1_light,single,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2082,0.0833,16.5,2,50,NPU,2,0.1084,0.0113,0.1408,0.5588,0.1329,2.1,NPU,22,0.1908,0.001,0.1734,0.6127,0.1996,2.0,NPU,13,0.1875,0.0038,0.0861,0.399,0.2209,0.2,NPU,16,0.3595,0.0051,0.4952,0.682,0.3906,1.1,NPU,3,0.1203,0.0004,0.1812,0.3385,0.2899,1.1,NPU,21,0.0833,0.0014,0.0245,0.2121,0.2268,1.1,NPU,14,0.4109,0.0137,0.199,0.6552,0.4512,0.3,NPU,4,0.2049,0.0,0.0816,0.546,0.2059,0.8
rev11_n8,2,8,L1_light,single,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1533,0.0588,24.8,2,50,GPU,2,0.0767,0.0098,0.0742,0.3552,0.0735,96.0,GPU,22,0.18,0.001,0.1865,0.5405,0.1123,96.1,GPU,13,0.1252,0.0082,0.0852,0.3247,0.1544,33.5,GPU,16,0.1682,0.0064,0.5112,0.2553,0.1402,92.8,GPU,3,0.0715,0.0016,0.1404,0.1254,0.1652,93.7,GPU,21,0.0588,0.007,0.0088,0.1603,0.1433,94.1,GPU,14,0.3313,0.055,0.205,0.5218,0.3663,32.7,GPU,4,0.2143,0.0,0.1328,0.5331,0.1379,50.2
rev11_n8,2,8,L1_light,single,SizeAware,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1965,0.0619,24.2,2,51,NPU,2,0.109,0.0114,0.1423,0.5649,0.1329,0.2,NPU,22,0.1912,0.001,0.1734,0.6133,0.1996,1.1,NPU,13,0.1875,0.0038,0.0861,0.3994,0.2209,0.3,NPU,16,0.3584,0.0051,0.4951,0.6823,0.3906,0.5,GPU,3,0.0814,0.0016,0.1785,0.1302,0.1999,82.9,GPU,21,0.0619,0.0084,0.0103,0.1704,0.1635,85.2,GPU,14,0.3691,0.0545,0.2074,0.5684,0.4188,32.2,GPU,4,0.2134,0.0,0.1325,0.5322,0.1587,48.4
