axis,group,contention_axis,contention_level,contention_index,n_sids,gpu_sap_mean,npu_sap_mean,gap_mean,gap_min,npu_skip_mean,crossed
primary_clean,small-rich,bg_level,L0,0,3,0.177,0.1406,-0.0364,-0.0434,,False
primary_clean,small-rich,bg_level,L1_light,1,3,0.1766,0.1625,-0.0141,-0.02,,False
primary_clean,large-rich,bg_level,L0,0,2,0.1353,0.0695,-0.0658,-0.0717,,False
primary_clean,large-rich,bg_level,L1_light,1,2,0.1351,0.1024,-0.0326,-0.0339,,False
secondary_rev10_cstar,small-rich,bg_level,L0,0,2,0.1662,0.1333,-0.0328,-0.0338,52.6,False
secondary_rev10_cstar,small-rich,bg_level,L1_light,1,2,0.1662,0.1174,-0.0488,-0.0495,97.8,False
secondary_rev10_cstar,small-rich,bg_level,L1_heavy,2,2,0.1656,0.128,-0.0375,-0.0402,63.4,False
secondary_rev10_cstar,small-rich,bg_level,L2_lm,3,2,0.1469,0.0886,-0.0583,-0.071,100.0,False
secondary_rev10_cstar,small-rich,bg_level,L3_vlm,4,2,0.0677,0.1211,0.0534,0.0494,81.5,True
secondary_rev10_cstar,large-rich,bg_level,L0,0,2,0.1353,0.0695,-0.0658,-0.0717,53.0,False
secondary_rev10_cstar,large-rich,bg_level,L1_light,1,2,0.1351,0.0458,-0.0893,-0.1022,99.5,False
secondary_rev10_cstar,large-rich,bg_level,L1_heavy,2,2,0.1338,0.0655,-0.0683,-0.0763,57.4,False
secondary_rev10_cstar,large-rich,bg_level,L2_lm,3,2,0.1061,0.0248,-0.0814,-0.095,100.0,False
secondary_rev10_cstar,large-rich,bg_level,L3_vlm,4,2,0.0158,0.0537,0.038,0.0289,81.5,True
wide_n_two_anchor,small-rich,bg_level,L0,0,8,0.2066,0.1767,-0.0299,-0.0605,,False
wide_n_two_anchor,small-rich,bg_level,L2_lm,3,8,0.184,0.1021,-0.0818,-0.1193,,False
wide_n_two_anchor,large-rich,bg_level,L0,0,8,0.2383,0.193,-0.0453,-0.0955,,False
wide_n_two_anchor,large-rich,bg_level,L2_lm,3,8,0.2114,0.1022,-0.1091,-0.2466,,False
N_at_L1_light,small-rich,n_streams,N=2,2,1,0.1205,0.1081,-0.0124,-0.0124,,False
N_at_L1_light,large-rich,n_streams,N=2,2,1,0.1552,0.1197,-0.0355,-0.0355,,False
N_at_L1_light,small-rich,n_streams,N=3,3,2,0.1634,0.1502,-0.0132,-0.0178,,False
N_at_L1_light,large-rich,n_streams,N=3,3,1,0.1518,0.121,-0.0308,-0.0308,,False
N_at_L1_light,small-rich,n_streams,N=4,4,2,0.1496,0.1498,0.0003,-0.0089,,True
N_at_L1_light,large-rich,n_streams,N=4,4,2,0.1011,0.1025,0.0013,-0.0034,,True
N_at_L1_light,small-rich,n_streams,N=5,5,3,0.1514,0.1621,0.0107,-0.0027,,True
N_at_L1_light,large-rich,n_streams,N=5,5,2,0.0861,0.1025,0.0164,0.0134,,True
N_at_L1_light,small-rich,n_streams,N=6,6,3,0.1405,0.1623,0.0218,0.0025,,True
N_at_L1_light,large-rich,n_streams,N=6,6,3,0.1692,0.205,0.0358,0.0178,,True
N_at_L1_light,small-rich,n_streams,N=8,8,4,0.1303,0.2116,0.0812,0.0136,,True
N_at_L1_light,large-rich,n_streams,N=8,8,4,0.1662,0.2046,0.0384,-0.01,,True
