detector,params_M,phase,sid,device,infer_mode,mxq_path,mxq_sha8,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec,gpu_util_start,gpu_temp_start,ts_iso
yolo11s,9.4,rev12_l2lm,0,GPU,,,,L2_lm,0.0498,0.1002,0.0091,0.1038,0.3452,0.076,0.0187,0.1418,0.5168,35.8162,36.2393,53.6492,29.4446,2,44,2026-06-05T15:08:04
yolo11s,9.4,rev12_l2lm,0,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L2_lm,0.0089,0.0265,0.001,0.0119,0.0921,0.0172,0.0043,0.0265,0.1211,152.8019,154.4202,100.0,30.1183,10,47,2026-06-05T15:08:35
yolo11s,9.4,rev12_l2lm,1,GPU,,,,L2_lm,0.0581,0.1216,0.0031,0.0688,0.1882,0.1068,0.0033,0.1081,0.4305,30.5241,30.5447,33.5253,27.4621,1,49,2026-06-05T15:09:04
yolo11s,9.4,rev12_l2lm,1,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L2_lm,0.0075,0.0322,0.0003,0.0113,0.0174,0.0216,0.0006,0.0196,0.0882,145.8229,145.4364,100.0,30.1124,66,50,2026-06-05T15:09:35
yolo11s,9.4,rev12_l2lm,2,GPU,,,,L2_lm,0.1024,0.1626,0.015,0.1266,0.4708,0.1462,0.0179,0.252,0.7826,31.7791,31.8342,37.4134,14.7678,41,52,2026-06-05T15:09:51
yolo11s,9.4,rev12_l2lm,2,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L2_lm,0.0497,0.0947,0.0044,0.0396,0.25,0.031,0.0042,0.0496,0.1794,150.5184,154.9673,100.0,15.6591,5,51,2026-06-05T15:10:07
yolo11s,9.4,rev12_l2lm,3,GPU,,,,L2_lm,0.1145,0.275,0.002,0.2149,0.2766,0.3301,0.005,0.3497,0.5196,32.0153,32.0018,36.6516,15.1209,77,52,2026-06-05T15:10:24
yolo11s,9.4,rev12_l2lm,3,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L2_lm,0.0281,0.0938,0.0,0.0737,0.0377,0.0679,0.0007,0.0592,0.0931,153.2405,151.7726,100.0,15.9396,7,52,2026-06-05T15:10:41
yolo11s,9.4,rev12_l2lm,4,GPU,,,,L2_lm,0.213,0.2823,0.0,0.1322,0.5317,0.2116,0.0,0.1297,0.5299,31.6339,31.5697,38.959,20.9943,75,54,2026-06-05T15:11:03
yolo11s,9.4,rev12_l2lm,4,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L2_lm,0.2006,0.2433,0.0,0.0846,0.5396,0.0454,0.0,0.02,0.1207,156.0583,155.4679,100.0,22.3919,67,54,2026-06-05T15:11:26
yolo11s,9.4,rev12_l2lm,5,GPU,,,,L2_lm,0.412,0.5274,0.0168,0.2039,0.5598,0.4607,0.019,0.2302,0.6411,31.7143,31.8052,38.0488,14.0153,1,54,2026-06-05T15:11:41
yolo11s,9.4,rev12_l2lm,5,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L2_lm,0.2151,0.4911,0.0023,0.0892,0.2819,0.1067,0.0035,0.0412,0.1509,148.303,151.0972,100.0,14.8147,8,54,2026-06-05T15:11:56
yolo11s,9.4,rev12_l2lm,6,GPU,,,,L2_lm,0.0779,0.1529,0.0106,0.0665,0.2628,0.149,0.0139,0.1394,0.575,30.4094,30.3759,27.9176,14.2126,79,58,2026-06-05T15:12:12
yolo11s,9.4,rev12_l2lm,6,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L2_lm,0.0122,0.0443,0.0023,0.0174,0.0293,0.0345,0.004,0.0313,0.1286,148.7972,148.9825,100.0,15.6514,5,54,2026-06-05T15:12:28
yolo11s,9.4,rev12_l2lm,7,GPU,,,,L2_lm,0.1911,0.3493,0.0005,0.1589,0.3386,0.2845,0.0035,0.2164,0.5623,30.2315,30.2505,28.7671,14.1765,64,54,2026-06-05T15:12:43
yolo11s,9.4,rev12_l2lm,7,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L2_lm,0.0548,0.1246,0.0,0.0349,0.1011,0.0622,0.0,0.0408,0.1327,149.3984,145.0758,100.0,15.6719,64,55,2026-06-05T15:13:00
yolo11s,9.4,rev12_l2lm,8,GPU,,,,L2_lm,0.0828,0.1632,0.008,0.1201,0.3382,0.1264,0.0121,0.1873,0.5847,31.9017,31.9049,41.2383,28.3161,52,57,2026-06-05T15:13:29
yolo11s,9.4,rev12_l2lm,8,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L2_lm,0.0105,0.0411,0.0025,0.0083,0.0634,0.0215,0.0031,0.0247,0.1196,148.2182,148.2446,100.0,29.8035,1,54,2026-06-05T15:14:00
yolo11s,9.4,rev12_l2lm,9,GPU,,,,L2_lm,0.0937,0.153,0.004,0.0896,0.1833,0.1421,0.0063,0.1857,0.3496,31.8003,31.7602,38.2022,20.7622,1,55,2026-06-05T15:14:22
yolo11s,9.4,rev12_l2lm,9,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L2_lm,0.0521,0.1222,0.0001,0.0236,0.1052,0.0431,0.0013,0.0437,0.0927,147.2594,148.0969,100.0,21.9259,4,54,2026-06-05T15:14:45
yolo11s,9.4,rev12_l2lm,10,GPU,,,,L2_lm,0.1281,0.2488,0.0191,0.1064,0.2727,0.2113,0.028,0.2429,0.4881,30.9642,30.8559,33.4862,14.4081,2,55,2026-06-05T15:15:01
yolo11s,9.4,rev12_l2lm,10,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L2_lm,0.0256,0.0778,0.0041,0.0123,0.06,0.047,0.0061,0.0554,0.1012,162.387,159.5719,100.0,15.6412,1,54,2026-06-05T15:15:17
yolo11s,9.4,rev12_l2lm,11,GPU,,,,L2_lm,0.2701,0.3826,0.0042,0.1433,0.5073,0.2952,0.0065,0.2178,0.7298,32.6603,32.6888,43.7939,28.9218,50,54,2026-06-05T15:15:49
yolo11s,9.4,rev12_l2lm,11,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L2_lm,0.225,0.3131,0.0011,0.0759,0.3836,0.0686,0.0032,0.0472,0.1547,149.9302,151.6696,100.0,30.1888,2,53,2026-06-05T15:16:21
yolo11s,9.4,rev12_l2lm,12,GPU,,,,L2_lm,0.4743,0.6269,0.0677,0.4231,0.8607,0.484,0.0682,0.4262,0.9,32.4918,32.4424,41.4352,15.0178,1,53,2026-06-05T15:16:36
yolo11s,9.4,rev12_l2lm,12,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L2_lm,0.3631,0.5427,0.0272,0.2868,0.6831,0.1078,0.0073,0.0762,0.2196,144.4864,145.5526,100.0,15.723,66,54,2026-06-05T15:16:53
yolo11s,9.4,rev12_l2lm,13,GPU,,,,L2_lm,0.1713,0.2771,0.0085,0.0869,0.3626,0.2385,0.0097,0.151,0.5141,32.0452,31.9855,37.7962,28.004,1,54,2026-06-05T15:17:22
yolo11s,9.4,rev12_l2lm,13,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L2_lm,0.052,0.1326,0.0025,0.0232,0.1214,0.0548,0.0016,0.03,0.1063,157.422,154.9033,100.0,29.9106,16,53,2026-06-05T15:17:53
yolo11s,9.4,rev12_l2lm,14,GPU,,,,L2_lm,0.3893,0.5631,0.0563,0.2051,0.5994,0.4674,0.0577,0.2227,0.7093,33.2488,33.1035,42.2007,28.4308,4,53,2026-06-05T15:18:23
yolo11s,9.4,rev12_l2lm,14,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L2_lm,0.1427,0.2799,0.0104,0.1449,0.3077,0.1034,0.0043,0.05,0.1604,148.8721,148.5366,100.0,30.1674,1,53,2026-06-05T15:18:55
yolo11s,9.4,rev12_l2lm,15,GPU,,,,L2_lm,0.0907,0.2036,0.017,0.102,0.2748,0.1777,0.0245,0.206,0.6206,31.4092,31.4147,36.0424,27.6554,46,54,2026-06-05T15:19:23
