variant,device,bg,sap_5095,sap_l,latency_mean_ms,frame_skip_pct,wall_sec,notes
v1,GPU,L0,0.1214,0.5773,9.4,0.0,5.4,NPU loaded before GPU; bg preload max=L1
v1,NPU,L0,0.0844,0.3994,38.0,59.0,15.9,NPU loaded before GPU; bg preload max=L1
v1,GPU,L1_light,0.1174,0.5668,22.6,8.9,11.8,NPU loaded before GPU; bg preload max=L1
v1,NPU,L1_light,0.0711,0.3478,66.8,98.0,16.7,NPU loaded before GPU; bg preload max=L1
v2,GPU,L0,0.1214,0.5773,8.6,0.0,5.0,no BG preload; GPU before NPU
v2,NPU,L0,0.0856,0.4083,37.9,60.8,15.9,no BG preload; GPU before NPU
v2,GPU,L1_light,0.1211,0.5768,18.9,0.7,10.1,no BG preload; GPU before NPU
v2,NPU,L1_light,0.072,0.3551,66.2,99.0,16.7,no BG preload; GPU before NPU
v3,GPU,L0,0.1214,0.5773,8.5,0.0,4.9,extended warmup 200 dummies
v3,NPU,L0,0.0856,0.4201,37.1,57.4,15.9,extended warmup 200 dummies
v3,GPU,L1_light,0.1214,0.5771,18.5,0.2,9.9,extended warmup 200 dummies
v3,NPU,L1_light,0.0722,0.3501,65.4,97.1,16.7,extended warmup 200 dummies
