rep,N,bg,strategy,placement,worst_sap,mean_sap,npu_skip_max
0,2,L1_light,All-GPU,GG,0.1149,0.1181,0.0
0,2,L1_light,Isolated,GN,0.0827,0.102,1.4
0,2,L1_light,Cont-aware,NG,0.1089,0.1119,0.7
0,2,L1_light,All-NPU,NN,0.0836,0.0963,0.0
0,2,L1_light,Oracle,GG,0.1149,0.1181,0.0
1,2,L1_light,All-GPU,GG,0.1149,0.1181,0.0
1,2,L1_light,Isolated,GN,0.0836,0.1025,0.2
1,2,L1_light,Cont-aware,NG,0.109,0.1119,0.2
1,2,L1_light,All-NPU,NN,0.0836,0.0963,0.0
1,2,L1_light,Oracle,GG,0.1149,0.1181,0.0
2,2,L1_light,All-GPU,GG,0.1149,0.1181,0.0
2,2,L1_light,Isolated,GN,0.0826,0.102,1.1
2,2,L1_light,Cont-aware,NG,0.1089,0.1119,0.5
2,2,L1_light,All-NPU,NN,0.0836,0.0963,0.0
2,2,L1_light,Oracle,GG,0.1149,0.1181,0.0
0,4,L1_light,All-GPU,GGGG,0.1149,0.1507,0.0
0,4,L1_light,Isolated,GGNN,0.0831,0.134,1.3
0,4,L1_light,Cont-aware,NNGG,0.1089,0.1426,1.1
0,4,L1_light,All-NPU,NNNN,0.0835,0.1262,0.7
0,4,L1_light,Oracle,GGGG,0.1149,0.1507,0.0
1,4,L1_light,All-GPU,GGGG,0.1149,0.1507,0.0
1,4,L1_light,Isolated,GGNN,0.0831,0.1342,1.1
1,4,L1_light,Cont-aware,NNGG,0.1089,0.1426,0.9
1,4,L1_light,All-NPU,NNNN,0.0836,0.1262,0.9
1,4,L1_light,Oracle,GGGG,0.1149,0.1507,0.0
2,4,L1_light,All-GPU,GGGG,0.1149,0.1507,0.0
2,4,L1_light,Isolated,GGNN,0.0832,0.1341,1.4
2,4,L1_light,Cont-aware,NNGG,0.1089,0.1425,1.1
2,4,L1_light,All-NPU,NNNN,0.0835,0.1263,0.4
2,4,L1_light,Oracle,GGGG,0.1149,0.1507,0.0
