rep,bg,N,strategy,placement,worst_sap,mean_sap,gpu_skip,npu_skip
0,L2_lm,4,All-GPU,GGGG,0.0631,0.1009,81.9,0.0
0,L2_lm,4,Isolated,GGNN,0.0392,0.088,91.8,78.8
0,L2_lm,4,Cont-aware,NNGG,0.0571,0.0899,89.8,83.9
0,L2_lm,4,All-NPU,NNNN,0.0406,0.0883,0.0,78.8
0,L2_lm,4,Oracle,GGGG,0.0631,0.1009,81.9,0.0
1,L2_lm,4,All-GPU,GGGG,0.0588,0.0978,85.2,0.0
1,L2_lm,4,Isolated,GGNN,0.0439,0.0901,90.9,81.9
1,L2_lm,4,Cont-aware,NNGG,0.0611,0.0931,88.6,80.2
1,L2_lm,4,All-NPU,NNNN,0.0437,0.0878,0.0,73.8
1,L2_lm,4,Oracle,GNGG,0.0611,0.0934,86.9,81.2
2,L2_lm,4,All-GPU,GGGG,0.0636,0.1014,83.1,0.0
2,L2_lm,4,Isolated,GGNN,0.0407,0.0907,90.1,80.6
2,L2_lm,4,Cont-aware,NNGG,0.0578,0.0907,91.5,81.7
2,L2_lm,4,All-NPU,NNNN,0.0423,0.0866,0.0,74.9
2,L2_lm,4,Oracle,GGGG,0.0636,0.1014,83.1,0.0
0,L3_vlm,4,All-GPU,GGGG,0.0155,0.0476,100.0,0.0
0,L3_vlm,4,Isolated,GGNN,0.0239,0.0857,100.0,0.1
0,L3_vlm,4,Cont-aware,NNGG,0.0153,0.083,100.0,0.8
0,L3_vlm,4,All-NPU,NNNN,0.0834,0.1262,0.0,0.9
0,L3_vlm,4,Oracle,NNNN,0.0834,0.1262,0.0,0.9
1,L3_vlm,4,All-GPU,GGGG,0.016,0.0475,100.0,0.0
1,L3_vlm,4,Isolated,GGNN,0.0226,0.0873,100.0,0.6
1,L3_vlm,4,Cont-aware,NNGG,0.0149,0.0828,100.0,0.6
1,L3_vlm,4,All-NPU,NNNN,0.0832,0.1259,0.0,1.0
1,L3_vlm,4,Oracle,NGNN,0.0835,0.1072,100.0,0.5
2,L3_vlm,4,All-GPU,GGGG,0.0163,0.0454,100.0,0.0
2,L3_vlm,4,Isolated,GGNN,0.0252,0.0878,100.0,0.9
2,L3_vlm,4,Cont-aware,NNGG,0.0138,0.0828,96.7,0.5
2,L3_vlm,4,All-NPU,NNNN,0.0834,0.1258,0.0,0.7
2,L3_vlm,4,Oracle,NNNN,0.0834,0.1258,0.0,0.7
0,L2_lm,8,All-GPU,GGGGGGGG,0.0431,0.1152,89.8,0.0
0,L2_lm,8,Isolated,GGGGNNNN,0.0361,0.1157,94.4,85.0
0,L2_lm,8,Cont-aware,NNNNGGGG,0.0358,0.1334,94.7,87.7
0,L2_lm,8,All-NPU,NNNNNNNN,0.0541,0.1696,0.0,60.5
1,L2_lm,8,All-GPU,GGGGGGGG,0.0403,0.1247,86.3,0.0
1,L2_lm,8,Isolated,GGGGNNNN,0.0353,0.1201,92.9,82.4
1,L2_lm,8,Cont-aware,NNNNGGGG,0.0373,0.1334,88.3,88.2
1,L2_lm,8,All-NPU,NNNNNNNN,0.0545,0.1707,0.0,63.6
2,L2_lm,8,All-GPU,GGGGGGGG,0.0488,0.1248,83.6,0.0
2,L2_lm,8,Isolated,GGGGNNNN,0.0379,0.1175,93.9,86.5
2,L2_lm,8,Cont-aware,NNNNGGGG,0.0377,0.1366,87.8,86.7
2,L2_lm,8,All-NPU,NNNNNNNN,0.0524,0.1728,0.0,59.5
0,L3_vlm,8,All-GPU,GGGGGGGG,0.0141,0.0708,100.0,0.0
0,L3_vlm,8,Isolated,GGGGNNNN,0.0201,0.1281,100.0,2.2
0,L3_vlm,8,Cont-aware,NNNNGGGG,0.0186,0.15,100.0,3.6
0,L3_vlm,8,All-NPU,NNNNNNNN,0.0831,0.2079,0.0,1.8
1,L3_vlm,8,All-GPU,GGGGGGGG,0.0157,0.0758,98.5,0.0
1,L3_vlm,8,Isolated,GGGGNNNN,0.0135,0.1272,100.0,2.9
1,L3_vlm,8,Cont-aware,NNNNGGGG,0.0161,0.1493,98.9,3.0
1,L3_vlm,8,All-NPU,NNNNNNNN,0.082,0.2079,0.0,2.0
2,L3_vlm,8,All-GPU,GGGGGGGG,0.0111,0.0717,98.1,0.0
2,L3_vlm,8,Isolated,GGGGNNNN,0.0196,0.1274,100.0,2.3
2,L3_vlm,8,Cont-aware,NNNNGGGG,0.0208,0.1516,100.0,3.4
2,L3_vlm,8,All-NPU,NNNNNNNN,0.0826,0.207,0.0,2.1
0,L2_lm,2,All-GPU,GG,0.0729,0.081,72.1,0.0
0,L2_lm,2,Isolated,GN,0.0422,0.0662,70.1,74.9
0,L2_lm,2,Cont-aware,NG,0.0763,0.0766,59.2,71.9
0,L2_lm,2,All-NPU,NN,0.0438,0.0594,0.0,79.4
0,L2_lm,2,Oracle,NG,0.0763,0.0766,59.2,71.9
1,L2_lm,2,All-GPU,GG,0.0764,0.0838,69.7,0.0
1,L2_lm,2,Isolated,GN,0.0482,0.0706,60.4,73.5
1,L2_lm,2,Cont-aware,NG,0.0765,0.0776,53.4,75.8
1,L2_lm,2,All-NPU,NN,0.0439,0.0593,0.0,71.6
1,L2_lm,2,Oracle,NG,0.0765,0.0776,53.4,75.8
2,L2_lm,2,All-GPU,GG,0.076,0.0839,66.7,0.0
2,L2_lm,2,Isolated,GN,0.0423,0.066,71.3,77.2
2,L2_lm,2,Cont-aware,NG,0.0726,0.074,58.6,79.8
2,L2_lm,2,All-NPU,NN,0.0481,0.0623,0.0,69.2
2,L2_lm,2,Oracle,GG,0.076,0.0839,66.7,0.0
0,L3_vlm,2,All-GPU,GG,0.0181,0.0201,100.0,0.0
0,L3_vlm,2,Isolated,GN,0.0204,0.052,100.0,0.2
0,L3_vlm,2,Cont-aware,NG,0.0191,0.064,100.0,1.1
0,L3_vlm,2,All-NPU,NN,0.083,0.096,0.0,0.5
