bg,N,strategy,worst_sap,mean_sap,mean_minus_worst
L1_light,2,All-GPU,0.1149,0.1181,0.0032
L1_light,2,Isolated,0.0833,0.1023,0.0191
L1_light,2,Cont-aware,0.109,0.112,0.003
L1_light,2,All-NPU,0.0834,0.0962,0.0127
L1_light,2,Oracle,0.1149,0.1181,0.0032
L1_light,4,All-GPU,0.0915,0.1308,0.0393
L1_light,4,Isolated,0.0836,0.1322,0.0486
L1_light,4,Cont-aware,0.0985,0.133,0.0344
L1_light,4,All-NPU,0.0832,0.126,0.0428
L1_light,4,Oracle,0.1086,0.1327,0.024
L1_light,8,All-GPU,0.057,0.1537,0.0967
L1_light,8,Isolated,0.0723,0.167,0.0947
L1_light,8,Cont-aware,0.0529,0.1881,0.1352
L1_light,8,All-NPU,0.0826,0.2078,0.1253
L2_lm,2,All-GPU,0.0751,0.0829,0.0078
L2_lm,2,Isolated,0.0442,0.0676,0.0234
L2_lm,2,Cont-aware,0.0751,0.0761,0.0009
L2_lm,2,All-NPU,0.0453,0.0603,0.0151
L2_lm,2,Oracle,0.0763,0.0794,0.0031
L2_lm,4,All-GPU,0.0618,0.1,0.0382
L2_lm,4,Isolated,0.0413,0.0896,0.0483
L2_lm,4,Cont-aware,0.0587,0.0912,0.0326
L2_lm,4,All-NPU,0.0422,0.0876,0.0454
L2_lm,4,Oracle,0.0626,0.0986,0.036
L2_lm,8,All-GPU,0.0441,0.1216,0.0775
L2_lm,8,Isolated,0.0364,0.1178,0.0813
L2_lm,8,Cont-aware,0.0369,0.1345,0.0975
L2_lm,8,All-NPU,0.0537,0.171,0.1174
L3_vlm,2,All-GPU,0.0181,0.0203,0.0022
L3_vlm,2,Isolated,0.0209,0.0522,0.0313
L3_vlm,2,Cont-aware,0.0182,0.0635,0.0454
L3_vlm,2,All-NPU,0.0829,0.0959,0.013
L3_vlm,2,Oracle,0.0829,0.0959,0.013
L3_vlm,4,All-GPU,0.0159,0.0468,0.0309
L3_vlm,4,Isolated,0.0239,0.0869,0.063
L3_vlm,4,Cont-aware,0.0147,0.0829,0.0682
L3_vlm,4,All-NPU,0.0833,0.126,0.0426
L3_vlm,4,Oracle,0.0834,0.1197,0.0363
L3_vlm,8,All-GPU,0.0136,0.0728,0.0591
L3_vlm,8,Isolated,0.0177,0.1276,0.1098
L3_vlm,8,Cont-aware,0.0185,0.1503,0.1318
L3_vlm,8,All-NPU,0.0826,0.2076,0.125
