rep,N,resnet_k,bg_level,strategy,placement,worst_sap,mean_sap,gpu_skip,npu_skip
0,4,0,SWEEP0,All-GPU,GGGG,0.1149,0.1508,0.0,0.0
0,4,0,SWEEP0,All-NPU,NNNN,0.0836,0.1263,0.0,0.0
0,4,0,SWEEP0,mixed2,NNGG,0.109,0.1427,0.0,0.0
1,4,0,SWEEP0,All-GPU,GGGG,0.1149,0.1508,0.3,0.0
1,4,0,SWEEP0,All-NPU,NNNN,0.0836,0.1263,0.0,0.0
1,4,0,SWEEP0,mixed2,NNGG,0.109,0.1427,0.0,0.0
2,4,0,SWEEP0,All-GPU,GGGG,0.1149,0.1508,0.1,0.0
2,4,0,SWEEP0,All-NPU,NNNN,0.0836,0.1263,0.0,0.0
2,4,0,SWEEP0,mixed2,NNGG,0.109,0.1427,0.0,0.0
0,4,1,SWEEP1,All-GPU,GGGG,0.086,0.1274,40.6,0.0
0,4,1,SWEEP1,All-NPU,NNNN,0.0836,0.1263,0.0,0.0
0,4,1,SWEEP1,mixed2,NNGG,0.1053,0.1367,12.1,0.0
1,4,1,SWEEP1,All-GPU,GGGG,0.0949,0.1304,39.6,0.0
1,4,1,SWEEP1,All-NPU,NNNN,0.0836,0.1263,0.0,0.1
1,4,1,SWEEP1,mixed2,NNGG,0.1053,0.1358,12.8,0.0
2,4,1,SWEEP1,All-GPU,GGGG,0.0828,0.1236,45.9,0.0
2,4,1,SWEEP1,All-NPU,NNNN,0.0836,0.1263,0.0,0.0
2,4,1,SWEEP1,mixed2,NNGG,0.1065,0.1379,9.1,0.0
0,4,2,SWEEP2,All-GPU,GGGG,0.0796,0.1179,55.7,0.0
0,4,2,SWEEP2,All-NPU,NNNN,0.0836,0.1263,0.0,0.0
0,4,2,SWEEP2,mixed2,NNGG,0.092,0.1277,28.1,0.0
1,4,2,SWEEP2,All-GPU,GGGG,0.0749,0.1177,59.7,0.0
1,4,2,SWEEP2,All-NPU,NNNN,0.0836,0.1263,0.0,0.0
1,4,2,SWEEP2,mixed2,NNGG,0.0874,0.126,27.3,0.0
2,4,2,SWEEP2,All-GPU,GGGG,0.0749,0.1168,58.2,0.0
2,4,2,SWEEP2,All-NPU,NNNN,0.0836,0.1263,0.0,0.0
2,4,2,SWEEP2,mixed2,NNGG,0.0929,0.1267,27.7,0.0
0,4,3,SWEEP3,All-GPU,GGGG,0.0746,0.1141,66.5,0.0
0,4,3,SWEEP3,All-NPU,NNNN,0.0836,0.1263,0.0,0.0
0,4,3,SWEEP3,mixed2,NNGG,0.0825,0.1215,40.5,0.0
1,4,3,SWEEP3,All-GPU,GGGG,0.0734,0.1147,66.8,0.0
1,4,3,SWEEP3,All-NPU,NNNN,0.0836,0.1263,0.0,0.0
1,4,3,SWEEP3,mixed2,NNGG,0.0828,0.1221,39.0,0.0
2,4,3,SWEEP3,All-GPU,GGGG,0.0737,0.1136,68.6,0.0
2,4,3,SWEEP3,All-NPU,NNNN,0.0836,0.1263,0.0,0.0
2,4,3,SWEEP3,mixed2,NNGG,0.0829,0.1209,40.5,0.0
0,4,4,SWEEP4,All-GPU,GGGG,0.0706,0.1121,71.2,0.0
0,4,4,SWEEP4,All-NPU,NNNN,0.0836,0.1263,0.0,0.0
0,4,4,SWEEP4,mixed2,NNGG,0.0756,0.1188,50.2,0.0
1,4,4,SWEEP4,All-GPU,GGGG,0.0719,0.1116,71.6,0.0
1,4,4,SWEEP4,All-NPU,NNNN,0.0836,0.1263,0.0,0.0
1,4,4,SWEEP4,mixed2,NNGG,0.0764,0.119,51.5,0.0
2,4,4,SWEEP4,All-GPU,GGGG,0.0732,0.1125,71.8,0.0
2,4,4,SWEEP4,All-NPU,NNNN,0.0836,0.1262,0.0,0.3
2,4,4,SWEEP4,mixed2,NNGG,0.0741,0.1184,48.1,0.0
0,4,6,SWEEP6,All-GPU,GGGG,0.0713,0.1107,71.3,0.0
0,4,6,SWEEP6,All-NPU,NNNN,0.0836,0.1263,0.0,0.0
0,4,6,SWEEP6,mixed2,NNGG,0.0693,0.1156,58.0,0.0
1,4,6,SWEEP6,All-GPU,GGGG,0.0702,0.1098,75.9,0.0
1,4,6,SWEEP6,All-NPU,NNNN,0.0836,0.1263,0.0,0.0
1,4,6,SWEEP6,mixed2,NNGG,0.0729,0.1163,54.3,0.0
2,4,6,SWEEP6,All-GPU,GGGG,0.0684,0.1101,73.4,0.0
2,4,6,SWEEP6,All-NPU,NNNN,0.0836,0.1263,0.0,0.0
2,4,6,SWEEP6,mixed2,NNGG,0.0714,0.1154,59.2,0.0
0,4,8,SWEEP8,All-GPU,GGGG,0.066,0.107,80.3,0.0
0,4,8,SWEEP8,All-NPU,NNNN,0.0836,0.1263,0.0,0.0
0,4,8,SWEEP8,mixed2,NNGG,0.065,0.1122,66.1,0.0
1,4,8,SWEEP8,All-GPU,GGGG,0.0686,0.107,75.4,0.0
1,4,8,SWEEP8,All-NPU,NNNN,0.0836,0.1263,0.0,0.0
1,4,8,SWEEP8,mixed2,NNGG,0.0636,0.1124,67.4,0.0
2,4,8,SWEEP8,All-GPU,GGGG,0.0643,0.104,81.8,0.0
2,4,8,SWEEP8,All-NPU,NNNN,0.0836,0.1263,0.0,0.0
2,4,8,SWEEP8,mixed2,NNGG,0.0656,0.1124,67.4,0.0
0,2,0,SWEEP0,All-GPU,GG,0.1149,0.1182,0.0,0.0
0,2,0,SWEEP0,All-NPU,NN,0.0836,0.0963,0.0,0.0
1,2,0,SWEEP0,All-GPU,GG,0.1149,0.1182,0.0,0.0
