co_tenant,N,strategy,worst_sap,worst_std,mean_sap,gpu_skip,npu_skip,n_reps
L1_light,2,Isolated,0.0833,0.0006,0.1023,0.0,0.3,3
L1_light,2,Cont-aware,0.109,0.0,0.112,0.2,0.1,3
L1_light,2,All-GPU,0.1149,0.0,0.1181,0.3,0.0,3
L1_light,2,All-NPU,0.0834,0.0001,0.0962,0.0,0.5,3
L1_light,2,Oracle,0.1149,0.0,0.1181,0.3,0.0,3
L1_light,4,Isolated,0.0836,0.0,0.1322,12.2,0.1,3
L1_light,4,Cont-aware,0.0985,0.0023,0.133,13.6,0.1,3
L1_light,4,All-GPU,0.0915,0.0013,0.1308,35.4,0.0,3
L1_light,4,All-NPU,0.0832,0.0003,0.126,0.0,1.1,3
L1_light,4,Oracle,0.1086,0.0001,0.1327,9.5,0.6,3
L1_light,8,Isolated,0.0723,0.0011,0.167,76.1,4.1,3
L1_light,8,Cont-aware,0.0529,0.001,0.1881,59.7,6.0,3
L1_light,8,All-GPU,0.057,0.0028,0.1537,71.7,0.0,3
L1_light,8,All-NPU,0.0826,0.0011,0.2078,0.0,1.0,3
L2_lm,2,Isolated,0.0442,0.0034,0.0676,67.3,75.2,3
L2_lm,2,Cont-aware,0.0751,0.0022,0.0761,57.1,75.8,3
L2_lm,2,All-GPU,0.0751,0.0019,0.0829,69.5,0.0,3
L2_lm,2,All-NPU,0.0453,0.0025,0.0603,0.0,73.4,3
L2_lm,2,Oracle,0.0763,0.0003,0.0794,59.8,49.2,3
L2_lm,4,Isolated,0.0413,0.0024,0.0896,90.9,80.4,3
L2_lm,4,Cont-aware,0.0587,0.0021,0.0912,90.0,81.9,3
L2_lm,4,All-GPU,0.0618,0.0026,0.1,83.4,0.0,3
L2_lm,4,All-NPU,0.0422,0.0016,0.0876,0.0,75.8,3
L2_lm,4,Oracle,0.0626,0.0013,0.0986,84.0,27.1,3
L2_lm,8,Isolated,0.0364,0.0013,0.1178,93.7,84.6,3
L2_lm,8,Cont-aware,0.0369,0.001,0.1345,90.3,87.5,3
L2_lm,8,All-GPU,0.0441,0.0043,0.1216,86.6,0.0,3
L2_lm,8,All-NPU,0.0537,0.0011,0.171,0.0,61.2,3
L3_vlm,2,Isolated,0.0209,0.001,0.0522,100.0,0.5,3
L3_vlm,2,Cont-aware,0.0182,0.0008,0.0635,100.0,1.0,3
L3_vlm,2,All-GPU,0.0181,0.0005,0.0203,100.0,0.0,3
L3_vlm,2,All-NPU,0.0829,0.0004,0.0959,0.0,0.8,3
L3_vlm,2,Oracle,0.0829,0.0004,0.0959,0.0,0.8,3
L3_vlm,4,Isolated,0.0239,0.0013,0.0869,100.0,0.5,3
L3_vlm,4,Cont-aware,0.0147,0.0008,0.0829,98.9,0.6,3
L3_vlm,4,All-GPU,0.0159,0.0004,0.0468,100.0,0.0,3
L3_vlm,4,All-NPU,0.0833,0.0001,0.126,0.0,0.9,3
L3_vlm,4,Oracle,0.0834,0.0001,0.1197,33.3,0.7,3
L3_vlm,8,Isolated,0.0177,0.0037,0.1276,100.0,2.5,3
L3_vlm,8,Cont-aware,0.0185,0.0024,0.1503,99.6,3.3,3
L3_vlm,8,All-GPU,0.0136,0.0023,0.0728,98.9,0.0,3
L3_vlm,8,All-NPU,0.0826,0.0006,0.2076,0.0,2.0,3
