N,gpu_skip,strategy,worst_mean,worst_std,n_reps
2,0.0,All-GPU,0.1149,0.0,3
2,0.0,All-NPU,0.0836,0.0,3
2,0.1,All-GPU,0.1149,0.0,3
2,0.0,All-NPU,0.0836,0.0,3
2,4.8,All-GPU,0.1122,0.0012,3
2,0.0,All-NPU,0.0836,0.0,3
2,13.6,All-GPU,0.1055,0.0018,3
2,0.0,All-NPU,0.0836,0.0,3
2,23.1,All-GPU,0.1031,0.0042,3
2,0.0,All-NPU,0.0836,0.0,3
2,41.2,All-GPU,0.0885,0.0042,3
2,0.0,All-NPU,0.0836,0.0,3
2,54.5,All-GPU,0.0793,0.0002,3
2,0.0,All-NPU,0.0836,0.0,3
4,0.1,All-GPU,0.1149,0.0,3
4,0.0,All-NPU,0.0836,0.0,3
4,42.0,All-GPU,0.0879,0.0063,3
4,0.0,All-NPU,0.0836,0.0,3
4,57.9,All-GPU,0.0765,0.0027,3
4,0.0,All-NPU,0.0836,0.0,3
4,67.3,All-GPU,0.0739,0.0006,3
4,0.0,All-NPU,0.0836,0.0,3
4,71.5,All-GPU,0.0719,0.0013,3
4,0.0,All-NPU,0.0836,0.0,3
4,73.5,All-GPU,0.07,0.0015,3
4,0.0,All-NPU,0.0836,0.0,3
4,79.2,All-GPU,0.0663,0.0022,3
4,0.0,All-NPU,0.0836,0.0,3
8,63.8,All-GPU,0.0701,0.0017,3
8,0.0,All-NPU,0.0836,0.0,3
8,71.9,All-GPU,0.0556,0.0007,3
8,0.0,All-NPU,0.0833,0.0003,3
8,75.9,All-GPU,0.0554,0.001,3
8,0.0,All-NPU,0.0814,0.0007,3
8,78.4,All-GPU,0.0559,0.0009,3
8,0.0,All-NPU,0.0802,0.002,3
8,82.0,All-GPU,0.0561,0.0009,3
8,0.0,All-NPU,0.0805,0.001,3
8,83.9,All-GPU,0.0532,0.0017,3
8,0.0,All-NPU,0.0815,0.0013,3
8,87.9,All-GPU,0.0507,0.0015,3
8,0.0,All-NPU,0.0811,0.0011,3
