N,resnet_k,gpu_skip,npu_skip,allgpu_worst,allgpu_worst_std,allgpu_mean,allnpu_worst,allnpu_worst_std,allnpu_mean,reps
2,0,0.0,0.0,0.1149,0.0,0.1182,0.0836,0.0,0.0963,3
2,1,0.1,0.0,0.1149,0.0,0.1182,0.0836,0.0,0.0963,3
2,2,4.8,0.0,0.1122,0.0012,0.1158,0.0836,0.0,0.0963,3
2,3,13.6,0.0,0.1055,0.0018,0.1104,0.0836,0.0,0.0963,3
2,4,23.1,0.0,0.1031,0.0042,0.1062,0.0836,0.0,0.0963,3
2,6,41.2,0.0,0.0885,0.0042,0.0944,0.0836,0.0,0.0963,3
2,8,54.5,0.0,0.0793,0.0002,0.0871,0.0836,0.0,0.0963,3
4,0,0.1,0.0,0.1149,0.0,0.1508,0.0836,0.0,0.1263,3
4,1,42.0,0.0,0.0879,0.0063,0.1271,0.0836,0.0,0.1263,3
4,2,57.9,0.0,0.0765,0.0027,0.1175,0.0836,0.0,0.1263,3
4,3,67.3,0.0,0.0739,0.0006,0.1141,0.0836,0.0,0.1263,3
4,4,71.5,0.1,0.0719,0.0013,0.1121,0.0836,0.0,0.1263,3
4,6,73.5,0.0,0.07,0.0015,0.1102,0.0836,0.0,0.1263,3
4,8,79.2,0.0,0.0663,0.0022,0.106,0.0836,0.0,0.1263,3
8,0,63.8,0.2,0.0701,0.0017,0.1749,0.0836,0.0,0.2084,3
8,1,71.9,1.0,0.0556,0.0007,0.1527,0.0833,0.0003,0.2081,3
8,2,75.9,3.0,0.0554,0.001,0.1531,0.0814,0.0007,0.2071,3
8,3,78.4,4.2,0.0559,0.0009,0.1501,0.0802,0.002,0.2063,3
8,4,82.0,4.7,0.0561,0.0009,0.1464,0.0805,0.001,0.2061,3
8,6,83.9,4.1,0.0532,0.0017,0.1427,0.0815,0.0013,0.2069,3
8,8,87.9,4.7,0.0507,0.0015,0.1381,0.0811,0.0011,0.2058,3
