contention_level,resnet_k,split_ratio_npu,strategy,worst_sap,worst_std,mean_sap,gpu_skip,npu_skip,reps
RES0,0,0,All-GPU,0.1148,0.0001,0.1507,0.2,0.0,3
RES0,0,1,split1,0.1149,0.0,0.1421,0.0,0.6,3
RES0,0,2,split2,0.0835,0.0001,0.1344,0.0,0.3,3
RES0,0,3,split3,0.0835,0.0,0.1293,0.1,0.5,3
RES0,0,4,All-NPU,0.0835,0.0002,0.1262,0.0,0.2,3
RES1,1,0,All-GPU,0.0887,0.0018,0.1284,37.8,0.0,3
RES1,1,1,split1,0.091,0.0015,0.1325,19.1,0.1,3
RES1,1,2,split2,0.0836,0.0,0.131,16.4,0.1,3
RES1,1,3,split3,0.0836,0.0,0.1273,13.8,0.3,3
RES1,1,4,All-NPU,0.0834,0.0002,0.1261,0.0,0.5,3
RES2,2,0,All-GPU,0.0813,0.0018,0.1211,51.1,0.0,3
RES2,2,1,split1,0.0795,0.002,0.126,40.3,0.0,3
RES2,2,2,split2,0.0836,0.0,0.1291,25.5,0.1,3
RES2,2,3,split3,0.0835,0.0001,0.1255,23.0,0.1,3
RES2,2,4,All-NPU,0.0834,0.0002,0.1263,0.0,0.2,3
RES4,4,0,All-GPU,0.0766,0.0014,0.1171,59.4,0.0,3
RES4,4,1,split1,0.0726,0.0006,0.1216,52.8,0.0,3
RES4,4,2,split2,0.0836,0.0,0.1266,33.1,0.0,3
RES4,4,3,split3,0.0836,0.0,0.1243,23.6,0.0,3
RES4,4,4,All-NPU,0.0835,0.0001,0.1262,0.0,0.2,3
RES8,8,0,All-GPU,0.0694,0.0009,0.1095,71.8,0.0,3
RES8,8,1,split1,0.0665,0.0005,0.1166,63.7,0.0,3
RES8,8,2,split2,0.0835,0.0001,0.1227,49.3,0.0,3
RES8,8,3,split3,0.0835,0.0001,0.1226,31.1,0.1,3
RES8,8,4,All-NPU,0.0836,0.0,0.1262,0.0,0.1,3
VLM,-1,0,All-GPU,0.0187,0.0015,0.0476,96.8,0.0,3
VLM,-1,1,split1,0.0223,0.0021,0.0728,98.9,0.6,3
VLM,-1,2,split2,0.0244,0.0006,0.087,98.7,0.2,3
VLM,-1,3,split3,0.0219,0.0007,0.1044,100.0,0.3,3
VLM,-1,4,All-NPU,0.0832,0.0003,0.1261,0.0,0.4,3
