epoch,util_gpu,util_mem,mem_used_mib,power_w
1782625014.355,0,0,2642,74.3
1782625014.556,0,0,2642,74.3
1782625014.756,0,0,2642,71.6
1782625014.957,0,0,2642,71.6
1782625015.157,0,0,2642,71.6
1782625015.358,0,0,2642,62.6
1782625015.558,0,0,2642,62.6
1782625015.759,0,0,2642,62.9
1782625015.959,0,0,2642,62.9
1782625016.160,0,0,2642,62.9
1782625016.361,0,0,2842,63.1
1782625016.561,0,0,2986,63.1
1782625016.762,0,0,2986,88.3
1782625016.962,0,0,3000,88.3
1782625017.162,0,0,3000,88.3
1782625017.363,48,2,3000,147.5
1782625017.563,48,2,3000,147.5
1782625017.764,48,2,3000,179.7
1782625017.964,48,2,3000,179.7
1782625018.165,48,2,3000,179.7
1782625018.365,71,3,3000,190.6
1782625018.566,71,3,3000,190.6
1782625018.766,71,3,3000,198.8
1782625018.967,71,3,3012,198.8
1782625019.167,71,3,3012,198.8
1782625019.368,67,3,3012,193.7
1782625019.568,67,3,3012,193.7
1782625019.769,67,3,3012,191.3
1782625019.969,67,3,3012,191.3
1782625020.170,67,3,3012,191.3
1782625020.370,67,3,3012,191.4
1782625020.570,67,3,3012,191.4
1782625020.771,67,3,3012,188.3
1782625020.971,67,3,3012,188.3
1782625021.172,67,3,3012,188.3
1782625021.372,72,3,3012,190.3
1782625021.573,72,3,3012,190.3
1782625021.773,72,3,3012,190.3
1782625021.974,72,3,3012,190.3
1782625022.174,72,3,3012,190.3
1782625022.375,59,3,3012,187.7
1782625022.575,59,3,3012,187.7
1782625022.776,59,3,3012,187.5
1782625022.976,59,3,3012,187.5
1782625023.177,59,3,3012,187.5
1782625023.377,57,2,3012,187.1
1782625023.577,57,2,3012,187.1
1782625023.778,57,2,3012,181.1
1782625023.978,57,2,3012,181.1
1782625024.179,57,2,3012,181.1
1782625024.379,0,0,3012,135.5
1782625024.580,0,0,3012,135.5
1782625024.781,0,0,3012,94.2
1782625024.981,0,0,3012,94.2
1782625025.182,0,0,3012,94.2
1782625025.382,0,0,3012,94.0
1782625025.583,0,0,3012,94.0
1782625025.783,0,0,3012,100.7
1782625025.984,0,0,3012,100.7
1782625026.184,0,0,3012,100.7
1782625026.384,45,2,3012,132.2
1782625026.585,45,2,3012,132.2
1782625026.785,45,2,3012,167.1
1782625026.986,45,2,3012,167.1
1782625027.186,45,2,3012,167.1
1782625027.387,41,2,3012,170.3
1782625027.587,41,2,3012,170.3
1782625027.788,41,2,3012,168.5
1782625027.988,41,2,3012,168.5
1782625028.189,41,2,3012,168.5
1782625028.389,49,2,3012,166.8
1782625028.589,49,2,3012,166.8
1782625028.790,49,2,3012,172.2
1782625028.990,49,2,3012,172.2
1782625029.191,49,2,3012,172.2
1782625029.391,51,2,3012,174.0
1782625029.592,51,2,3012,174.0
1782625029.792,51,2,3012,172.8
1782625029.993,51,2,3012,172.8
1782625030.193,51,2,3012,172.8
1782625030.394,52,2,3012,173.2
1782625030.594,52,2,3012,173.2
1782625030.794,52,2,3012,173.0
1782625030.995,52,2,3012,173.0
1782625031.195,52,2,3012,173.0
1782625031.396,46,2,3012,174.0
1782625031.596,46,2,3012,174.0
1782625031.797,46,2,3012,174.0
1782625031.997,46,2,3012,174.0
1782625032.198,46,2,3012,174.0
1782625032.398,48,2,3012,172.9
1782625032.598,48,2,3012,172.9
1782625032.799,48,2,3012,145.1
1782625032.999,48,2,3012,145.1
1782625033.199,48,2,3012,145.1
1782625033.400,0,0,3012,112.8
1782625033.600,0,0,3012,112.8
1782625033.801,0,0,3012,96.0
1782625034.001,0,0,3012,96.0
1782625034.202,0,0,3012,96.0
1782625034.402,0,0,3012,90.7
1782625034.602,0,0,3012,90.7
1782625034.803,0,0,3012,75.4
1782625035.003,0,0,3012,75.4
1782625035.204,0,0,3012,75.4
1782625035.404,0,0,3012,66.3
1782625035.605,0,0,3012,66.3
1782625035.805,0,0,3012,66.5
1782625036.006,0,0,3012,66.5
1782625036.206,30,1,3012,95.5
1782625036.407,30,1,3012,95.5
1782625036.609,30,1,3012,95.5
1782625036.810,30,1,3012,129.7
1782625037.010,30,1,3012,129.7
1782625037.211,39,2,3012,147.8
1782625037.411,39,2,3012,147.8
1782625037.611,39,2,3012,147.8
1782625037.812,39,2,3012,152.3
1782625038.012,39,2,3012,152.3
1782625038.213,31,1,3012,152.7
1782625038.413,31,1,3012,152.7
1782625038.614,31,1,3012,152.7
1782625038.814,31,1,3012,151.8
1782625039.015,31,1,3012,151.8
1782625039.215,29,1,3012,152.1
1782625039.416,29,1,3012,152.1
1782625039.616,29,1,3012,152.1
1782625039.816,29,1,3012,151.6
1782625040.017,29,1,3012,151.6
1782625040.217,35,1,3012,152.6
1782625040.418,35,1,3012,152.6
1782625040.618,35,1,3012,152.6
1782625040.819,35,1,3012,156.0
1782625041.019,35,1,3012,156.0
1782625041.220,36,1,3012,158.2
1782625041.420,36,1,3012,158.2
1782625041.621,36,1,3012,158.2
1782625041.821,36,1,3012,155.9
1782625042.022,36,1,3012,155.9
1782625042.222,0,0,3012,134.7
