table,tag,n_streams,bg_level,placement_name,placement_spec,mean_sap,worst_sap,mean_map,worst_map,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_skip
capacity,N=2,2,L1_light,Naive_allGPU,"[""GPU"", ""GPU""]",0.1378,0.1205,0.2404,0.1492,9.8,GPU,2,0.1205,0.0165,0.1708,0.5743,0.1492,1.1,GPU,3,0.1551,0.0035,0.2533,0.3483,0.3315,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=2,2,L1_light,SizeAware,"[""NPU"", ""GPU""]",0.1319,0.1086,0.2322,0.1329,10.8,NPU,2,0.1086,0.0113,0.1404,0.5561,0.1329,2.3,GPU,3,0.1552,0.0035,0.2555,0.3481,0.3315,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=2,2,L1_light,SizeBlindRev,"[""GPU"", ""NPU""]",0.1213,0.1212,0.2195,0.1492,10.5,GPU,2,0.1212,0.016,0.1744,0.5769,0.1492,0.9,NPU,3,0.1214,0.0005,0.1818,0.3383,0.2899,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=2,2,L1_light,AllNPU,"[""NPU"", ""NPU""]",0.1138,0.108,0.2114,0.1329,8.5,NPU,2,0.108,0.0112,0.1395,0.5577,0.1329,3.4,NPU,3,0.1196,0.0005,0.183,0.3353,0.2899,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=3,3,L1_light,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU""]",0.1612,0.1192,0.2332,0.1492,11.0,GPU,2,0.1192,0.0164,0.1709,0.5711,0.1492,4.3,GPU,22,0.2102,0.0014,0.1936,0.6443,0.2189,3.6,GPU,3,0.1543,0.0033,0.2561,0.3459,0.3315,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=3,3,L1_light,SizeAware,"[""NPU"", ""NPU"", ""GPU""]",0.1495,0.1084,0.2214,0.1329,11.8,NPU,2,0.1084,0.0112,0.1409,0.565,0.1329,2.3,NPU,22,0.1909,0.001,0.1732,0.6126,0.1996,2.9,GPU,3,0.1493,0.0035,0.2515,0.3204,0.3315,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=3,3,L1_light,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU""]",0.1498,0.1191,0.2193,0.1492,11.6,GPU,2,0.1191,0.0164,0.1701,0.5717,0.1492,5.7,GPU,22,0.21,0.0014,0.1931,0.6433,0.2189,5.4,NPU,3,0.1204,0.0005,0.1823,0.3366,0.2899,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=3,3,L1_light,AllNPU,"[""NPU"", ""NPU"", ""NPU""]",0.1405,0.109,0.2071,0.1329,7.8,NPU,2,0.109,0.0114,0.1428,0.5658,0.1329,0.2,NPU,22,0.1911,0.001,0.1734,0.6133,0.1986,0.2,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=4,4,L1_light,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1268,0.0856,0.2347,0.1438,14.8,GPU,2,0.1009,0.0144,0.1228,0.4452,0.1438,39.8,GPU,22,0.2047,0.0014,0.1918,0.624,0.2109,39.0,GPU,3,0.1161,0.0034,0.2123,0.2501,0.3136,42.8,GPU,21,0.0856,0.0093,0.0196,0.2233,0.2704,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=4,4,L1_light,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1243,0.0857,0.2283,0.1329,13.0,NPU,2,0.1078,0.0115,0.1398,0.5591,0.1329,3.4,NPU,22,0.191,0.001,0.1733,0.611,0.1996,3.1,GPU,3,0.1129,0.0033,0.224,0.233,0.3123,28.8,GPU,21,0.0857,0.0099,0.0184,0.2238,0.2682,30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=4,4,L1_light,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1284,0.0828,0.2173,0.1397,13.1,GPU,2,0.103,0.0155,0.1344,0.48,0.1397,30.7,GPU,22,0.2087,0.0014,0.1913,0.6352,0.2127,27.7,NPU,3,0.1193,0.0005,0.181,0.3293,0.2899,3.1,NPU,21,0.0828,0.0014,0.0236,0.2119,0.2268,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=4,4,L1_light,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1263,0.0836,0.2123,0.1329,8.4,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,0.0,NPU,22,0.1912,0.001,0.1733,0.6139,0.1996,0.7,NPU,3,0.1212,0.0005,0.1816,0.3386,0.2899,0.4,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=5,5,L1_light,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1228,0.0745,0.1991,0.1164,23.6,GPU,2,0.0896,0.0125,0.0969,0.4186,0.1164,74.2,GPU,22,0.1944,0.0013,0.1903,0.5907,0.1708,68.2,GPU,13,0.1604,0.0089,0.0956,0.3624,0.2126,29.0,GPU,3,0.0949,0.0023,0.1898,0.1761,0.2638,66.7,GPU,21,0.0745,0.0081,0.0163,0.1949,0.232,70.0,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=5,5,L1_light,SizeAware,"[""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1405,0.0901,0.2319,0.1329,15.8,NPU,2,0.109,0.0113,0.1423,0.5657,0.1329,0.2,NPU,22,0.1911,0.001,0.1734,0.6137,0.1996,0.4,NPU,13,0.1875,0.0038,0.0855,0.4003,0.2209,1.6,GPU,3,0.1251,0.0031,0.2361,0.2622,0.3246,27.5,GPU,21,0.0901,0.0099,0.0211,0.2324,0.2813,23.5,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=5,5,L1_light,SizeBlindRev,"[""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1311,0.0833,0.203,0.1204,21.7,GPU,2,0.0959,0.0152,0.1228,0.4488,0.1204,42.2,GPU,22,0.2042,0.0014,0.1899,0.6209,0.1925,42.7,GPU,13,0.1524,0.0088,0.0983,0.3607,0.1854,18.9,NPU,3,0.1197,0.0005,0.181,0.336,0.2899,2.5,NPU,21,0.0833,0.0014,0.0242,0.2124,0.2268,1.6,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=5,5,L1_light,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1383,0.0836,0.214,0.1329,15.8,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,0.0,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,0.0,NPU,13,0.1861,0.0038,0.0857,0.3976,0.2209,2.2,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.0,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=6,6,L1_light,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1563,0.0631,0.2057,0.0979,24.0,GPU,2,0.084,0.0112,0.0872,0.3806,0.0979,81.2,GPU,22,0.185,0.0011,0.1865,0.5653,0.1409,81.1,GPU,13,0.1524,0.0087,0.0909,0.3536,0.1901,32.8,GPU,3,0.0877,0.0014,0.1821,0.131,0.2169,76.5,GPU,21,0.0631,0.0077,0.0102,0.1716,0.1811,83.6,GPU,14,0.3657,0.0544,0.2089,0.5655,0.4071,31.6,,,,,,,,,,,,,,,,
