row_kind,bg_level,infer_mode,placement_name,n_streams,mean_sap,worst_sap,worst_sid,mean_map,worst_map,wall_sec
N1_GPU_L0,L0,,GPU_single,1,0.1214,0.1214,2,0.1492,0.1492,4.507
N1_GPU_L0,L0,,GPU_single,1,0.211,0.211,22,0.2189,0.2189,4.1773
N1_GPU_L0,L0,,GPU_single,1,0.1986,0.1986,13,0.2415,0.2415,7.3357
N1_GPU_L0,L0,,GPU_single,1,0.246,0.246,16,0.2698,0.2698,3.995
N1_GPU_L0,L0,,GPU_single,1,0.1557,0.1557,3,0.3315,0.3315,4.4864
N1_GPU_L0,L0,,GPU_single,1,0.1149,0.1149,21,0.2865,0.2865,3.9768
N1_GPU_L0,L0,,GPU_single,1,0.4502,0.4502,14,0.4963,0.4963,7.164
N1_GPU_L0,L0,,GPU_single,1,0.2133,0.2133,4,0.2133,0.2133,6.3234
N1_NPU_L0,L0,global8,NPU_single,1,0.109,0.109,2,0.1329,0.1329,4.931
N1_NPU_L0,L0,global8,NPU_single,1,0.1912,0.1912,22,0.1996,0.1996,4.9302
N1_NPU_L0,L0,global8,NPU_single,1,0.1874,0.1874,13,0.2209,0.2209,8.6895
N1_NPU_L0,L0,global8,NPU_single,1,0.3591,0.3591,16,0.3906,0.3906,4.6703
N1_NPU_L0,L0,global8,NPU_single,1,0.1214,0.1214,3,0.2899,0.2899,5.0449
N1_NPU_L0,L0,global8,NPU_single,1,0.0836,0.0836,21,0.2268,0.2268,4.6091
N1_NPU_L0,L0,global8,NPU_single,1,0.4114,0.4114,14,0.4512,0.4512,8.4641
N1_NPU_L0,L0,global8,NPU_single,1,0.2047,0.2047,4,0.2059,0.2059,7.043
N1_GPU_L1,L1_light,,GPU_single,1,0.1214,0.1214,2,0.1492,0.1492,9.4
N1_GPU_L1,L1_light,,GPU_single,1,0.2111,0.2111,22,0.2189,0.2189,9.7
N1_GPU_L1,L1_light,,GPU_single,1,0.1985,0.1985,13,0.2415,0.2415,18.0
N1_GPU_L1,L1_light,,GPU_single,1,0.246,0.246,16,0.2698,0.2698,9.5
N1_GPU_L1,L1_light,,GPU_single,1,0.1557,0.1557,3,0.3315,0.3315,9.6
N1_GPU_L1,L1_light,,GPU_single,1,0.1149,0.1149,21,0.2865,0.2865,9.4
N1_GPU_L1,L1_light,,GPU_single,1,0.4496,0.4496,14,0.4963,0.4963,17.9
N1_GPU_L1,L1_light,,GPU_single,1,0.2133,0.2133,4,0.2133,0.2133,13.4
N1_NPU_L1,L1_light,global8,NPU_single,1,0.1088,0.1088,2,0.1329,0.1329,6.0
N1_NPU_L1,L1_light,global8,NPU_single,1,0.1913,0.1913,22,0.1996,0.1996,6.0
N1_NPU_L1,L1_light,global8,NPU_single,1,0.1874,0.1874,13,0.2209,0.2209,10.3
N1_NPU_L1,L1_light,global8,NPU_single,1,0.3596,0.3596,16,0.3906,0.3906,5.7
N1_NPU_L1,L1_light,global8,NPU_single,1,0.1212,0.1212,3,0.2899,0.2899,5.8
N1_NPU_L1,L1_light,global8,NPU_single,1,0.0836,0.0836,21,0.2268,0.2268,5.5
N1_NPU_L1,L1_light,global8,NPU_single,1,0.4112,0.4112,14,0.4512,0.4512,10.1
N1_NPU_L1,L1_light,global8,NPU_single,1,0.2047,0.2047,4,0.2059,0.2059,8.2
