table,tag,n_streams,bg_level,placement_name,placement_spec,mean_sap,worst_sap,mean_map,worst_map,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_skip
main-comparison,L1_light,4,L1_light,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1323,0.0879,0.2403,0.1459,14.4,GPU,2,0.1059,0.0153,0.1363,0.4867,0.1459,31.4,GPU,22,0.2027,0.0017,0.1922,0.6203,0.2124,31.9,GPU,3,0.1327,0.0027,0.229,0.2969,0.3284,31.9,GPU,21,0.0879,0.0095,0.022,0.2277,0.2746,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.125,0.0887,0.2321,0.1329,13.6,NPU,2,0.1081,0.0113,0.1397,0.5489,0.1329,3.2,NPU,22,0.1898,0.0009,0.1738,0.6072,0.1996,7.2,GPU,3,0.1133,0.0031,0.226,0.207,0.3191,29.6,GPU,21,0.0887,0.0101,0.0223,0.2278,0.2769,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1292,0.0829,0.2182,0.1434,13.0,GPU,2,0.1051,0.0156,0.1387,0.4877,0.1434,24.9,GPU,22,0.2083,0.0014,0.1906,0.6353,0.2129,28.0,NPU,3,0.1206,0.0005,0.1811,0.3298,0.2899,2.2,NPU,21,0.0829,0.0014,0.0243,0.2119,0.2268,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1259,0.0836,0.2119,0.1329,8.3,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,0.0,NPU,22,0.1911,0.001,0.1734,0.6135,0.1985,0.2,NPU,3,0.1198,0.0005,0.1788,0.3383,0.2894,0.2,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,Oracle_k1_0,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.1286,0.0864,0.2322,0.1329,13.6,NPU,2,0.1087,0.0113,0.1417,0.565,0.1329,0.9,GPU,22,0.2068,0.0015,0.1918,0.6329,0.2152,26.6,GPU,3,0.1124,0.0029,0.2236,0.2169,0.3115,27.8,GPU,21,0.0864,0.0098,0.0185,0.2254,0.2693,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,Oracle_k1_1,"[""GPU"", ""NPU"", ""GPU"", ""GPU""]",0.1247,0.0874,0.2314,0.1451,13.9,GPU,2,0.1038,0.0156,0.1354,0.4802,0.1451,31.8,NPU,22,0.1913,0.001,0.1731,0.6139,0.1996,2.2,GPU,3,0.1163,0.0034,0.2173,0.2505,0.3116,29.4,GPU,21,0.0874,0.0099,0.0189,0.2256,0.2694,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,Oracle_k1_2,"[""GPU"", ""GPU"", ""NPU"", ""GPU""]",0.1304,0.0884,0.2298,0.1425,13.4,GPU,2,0.1051,0.0156,0.1386,0.4943,0.1425,27.3,GPU,22,0.2086,0.0014,0.1903,0.637,0.2129,27.1,NPU,3,0.1198,0.0005,0.1806,0.3249,0.2899,1.6,GPU,21,0.0884,0.0096,0.0201,0.229,0.2742,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,Oracle_k1_3,"[""GPU"", ""GPU"", ""GPU"", ""NPU""]",0.1281,0.0833,0.2241,0.1432,13.6,GPU,2,0.1062,0.0157,0.1405,0.5094,0.1432,25.8,GPU,22,0.2088,0.0014,0.1914,0.6366,0.2128,26.8,GPU,3,0.1141,0.0029,0.2262,0.2337,0.3137,29.7,NPU,21,0.0833,0.0014,0.0245,0.2122,0.2268,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,Oracle_k2_0_2,"[""NPU"", ""GPU"", ""NPU"", ""GPU""]",0.133,0.0954,0.2288,0.1329,12.9,NPU,2,0.1084,0.0111,0.1407,0.5479,0.1329,2.1,GPU,22,0.208,0.0014,0.1918,0.6364,0.2149,25.1,NPU,3,0.1202,0.0005,0.179,0.3382,0.2899,2.7,GPU,21,0.0954,0.0098,0.0286,0.2352,0.2776,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,Oracle_k2_0_3,"[""NPU"", ""GPU"", ""GPU"", ""NPU""]",0.131,0.0821,0.2254,0.1329,13.4,NPU,2,0.1076,0.0113,0.1388,0.5584,0.1329,3.9,GPU,22,0.2081,0.0014,0.1916,0.635,0.2157,27.5,GPU,3,0.1262,0.0033,0.2384,0.2485,0.3261,23.4,NPU,21,0.0821,0.0014,0.0235,0.2112,0.2268,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
